India/State /UT,Number of Teachers in Government Aided Schools,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,775574,78709,103527,34077,85441,56366,44100,137002,148067,54734,33551
Andaman & Nicobar Islands,78,0,0,0,0,0,0,78,0,0,0
Andhra Pradesh,4440,1336,533,0,55,1977,0,0,23,0,516
Arunachal Pradesh,1033,78,274,0,363,0,0,318,0,0,0
Assam,15955,4,18,9288,93,1004,4118,121,124,71,1114
Bihar,3257,57,1214,71,377,375,375,41,254,373,120
Chandigarh,323,0,0,0,0,0,0,250,73,0,0
Chhattisgarh,2512,639,260,276,128,2,7,405,490,305,0
"Dadra & Nagar Haveli andDaman & Diu",217,0,0,0,94,0,0,0,123,0,0
Delhi,4783,192,126,52,179,202,0,2619,1413,0,0
Goa,9252,648,240,22,4155,2222,4,28,0,0,1933
Gujarat,45951,391,1242,1156,6,66,6233,190,1110,35345,212
Haryana,71,6,0,0,0,0,0,59,6,0,0
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,15,0,0,0,15,0,0,0,0,0,0
Jharkhand,6021,1124,3066,33,137,1214,54,99,165,19,110
Karnataka,40176,459,11204,60,1010,462,19753,186,111,1939,4992
Kerala,120575,25022,29151,5629,2449,6439,1355,6645,30726,13089,70
Ladakh,83,58,15,0,10,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,4197,472,610,96,110,17,82,1196,958,656,0
Maharashtra,275475,19328,39177,0,72276,18555,73,102839,8605,155,14467
Manipur,2526,1020,381,114,485,343,66,30,0,0,87
Meghalaya,17747,6589,100,4236,103,1754,2973,197,529,650,616
Mizoram,1873,0,0,540,0,0,969,0,0,0,364
Nagaland,0,0,0,0,0,0,0,0,0,0,0
Odisha,32503,947,425,2459,309,11819,7860,8,0,0,8676
Puducherry,887,21,15,0,300,0,0,551,0,0,0
Punjab,4765,160,150,5,277,104,2,3109,958,0,0
Rajasthan,0,0,0,0,0,0,0,0,0,0,0
Sikkim,119,17,12,0,0,15,0,24,51,0,0
Tamil Nadu,77590,18398,12548,101,947,5086,12,3419,36959,120,0
Telangana,3321,974,419,0,529,1155,0,0,0,0,244
Tripura,1064,16,4,0,54,0,0,739,251,0,0
Uttar Pradesh,92492,485,2286,9278,961,3232,106,12866,61465,1797,16
Uttarakhand,5263,40,48,661,4,293,58,650,3280,215,14
West Bengal,1010,228,9,0,15,30,0,335,393,0,0
