India/State/ UT,Total Schools,Number of schools having drinking water facility within school premises –others,"No. of other schools nothaving drinking waterfacility within schoolpremises","Percentage of otherschools havingdrinking waterfacility within schoolpremises",,,,,,
"",,"Any source ofdrinkingwater",Tap Water,Packed Water,Hand Pump,Well,"UnprotectedWell","Othersources",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,42810,40902,22750,568,15714,754,148,847,1908,95.5
Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,150,150,114,17,15,0,0,4,0,100
Arunachal Pradesh,42,40,29,0,7,2,1,1,2,95.2
Assam,3630,2506,304,17,1840,125,64,123,1124,69
Bihar,6676,6475,3116,115,3230,7,1,6,201,97
Chandigarh,27,27,27,0,0,0,0,0,0,100
Chhattisgarh,245,241,103,4,129,1,1,3,4,98.4
"Dadra & Nagar Haveli andDaman & Diu",1,1,1,0,0,0,0,0,0,100
Delhi,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0
Gujarat,4,4,3,0,1,0,0,0,0,100
Haryana,723,723,640,3,42,6,0,32,0,100
Himachal Pradesh,2,2,2,0,0,0,0,0,0,100
Jammu & Kashmir,58,58,54,0,2,1,0,1,0,100
Jharkhand,5900,5879,3133,181,2370,116,4,65,21,99.6
Karnataka,8,8,7,0,0,1,0,0,0,100
Kerala,811,810,424,28,43,302,1,12,1,99.9
Ladakh,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,1482,1460,1072,7,347,9,0,25,22,98.5
Maharashtra,265,265,242,4,13,3,0,3,0,100
Manipur,118,117,42,17,4,5,2,44,1,99.2
Meghalaya,502,286,226,9,12,17,1,21,216,57
Mizoram,60,60,56,1,0,0,1,2,0,100
Nagaland,1,1,1,0,0,0,0,0,0,100
Odisha,1073,1072,817,38,195,16,0,6,1,99.9
Puducherry,0,0,0,0,0,0,0,0,0,0
Punjab,14,14,14,0,0,0,0,0,0,100
Rajasthan,2795,2666,1883,23,396,82,11,266,129,95.4
Sikkim,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,255,224,214,0,4,0,0,2,31,87.8
Telangana,91,90,74,5,4,1,0,6,1,98.9
Tripura,248,219,128,2,67,10,1,11,29,88.3
Uttar Pradesh,13059,12988,7399,96,5393,7,3,90,71,99.5
Uttarakhand,484,479,321,1,155,0,0,1,5,99
West Bengal,4086,4037,2304,0,1445,43,57,123,49,98.8
