India/State/ UT,Enrolment – Private Unaided Recognized,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1-12),Total (Pre-Primary to Higher Secondary),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,7084350,5532213,12616563,5745988,4764772,10510760,45402333,35480834,80883167,50435526,39601413,90036939
Andaman and Nicobar Islands,1248,1137,2385,661,751,1412,9036,8281,17317,11207,10302,21509
Andhra Pradesh,317164,235813,552977,399804,370306,770110,2244190,1788884,4033074,2528423,2024957,4553380
Arunachal Pradesh,4454,3515,7969,1696,1807,3503,50423,40100,90523,61077,49444,110521
Assam,110713,99489,210202,67886,67315,135201,767509,654432,1421941,850220,722668,1572888
Bihar,186434,131931,318365,145466,109112,254578,1461653,933369,2395022,1627406,1037698,2665104
Chandigarh,7242,6121,13363,7365,5755,13120,43186,35987,79173,50492,42828,93320
Chhattisgarh,95472,78499,173971,66116,61360,127476,735749,629508,1365257,940762,810619,1751381
"Dadra and Nagar Haveli andDaman and Diu",2757,2088,4845,1778,1363,3141,20451,15377,35828,23262,17632,40894
Delhi,122506,83254,205760,110911,78288,189199,937374,669178,1606552,1040741,755189,1795930
Goa,1245,1212,2457,1084,994,2078,16933,14812,31745,21862,18948,40810
Gujarat,337867,225578,563445,246289,188647,434936,2318953,1699284,4018237,2535444,1869117,4404561
Haryana,311185,214277,525462,217591,160931,378522,1767255,1262250,3029505,1908086,1375585,3283671
Himachal Pradesh,42022,32662,74684,26052,20743,46795,268084,215443,483527,328787,265749,594536
Jammu and Kashmir,76264,61273,137537,27030,21331,48361,531815,433103,964918,660902,542162,1203064
Jharkhand,154667,125840,280507,140972,117054,258026,623273,477154,1100427,666776,510229,1177005
Karnataka,415018,348524,763542,321128,327133,648261,2820800,2401653,5222453,2960067,2520610,5480677
Kerala,91947,88211,180158,58808,57597,116405,712830,662325,1375155,847049,785805,1632854
Ladakh,1727,1798,3525,272,259,531,12285,11080,23365,15647,14022,29669
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,420420,304398,724818,276042,206241,482283,3041893,2300435,5342328,3703032,2835507,6538539
Maharashtra,512322,390343,902665,372371,294738,667109,3360888,2660769,6021657,3475860,2760750,6236610
Manipur,30453,29231,59684,21296,20577,41873,185214,172692,357906,211017,195835,406852
Meghalaya,15029,18935,33964,9652,12130,21782,97444,104671,202115,121211,127885,249096
Mizoram,6888,6826,13714,5018,5331,10349,58594,57732,116326,69506,68483,137989
Nagaland,18491,18146,36637,12775,13967,26742,117094,109191,226285,140532,130487,271019
Odisha,80740,62279,143019,158796,145880,304676,789550,628998,1418548,825983,657599,1483582
Puducherry,11260,8831,20091,10325,8649,18974,66549,53680,120229,76580,62466,139046
Punjab,211892,167161,379053,168905,138029,306934,1365049,1082485,2447534,1659478,1322472,2981950
Rajasthan,651082,408531,1059613,513138,325718,838856,4312930,2991970,7304900,4851792,3409703,8261495
Sikkim,1593,1605,3198,697,953,1650,18112,16858,34970,25361,23419,48780
Tamil Nadu,390164,315479,705643,347113,293981,641094,2691014,2250090,4941104,3265101,2762295,6027396
Telangana,305140,252209,557349,291599,254618,546217,2140100,1799127,3939227,2407402,2023978,4431380
Tripura,8446,7062,15508,5400,4609,10009,62490,51922,114412,76485,64278,140763
Uttar Pradesh,1986475,1680664,3667139,1596631,1357311,2953942,10508427,8257883,18766310,11069376,8680808,19750184
Uttarakhand,92050,67985,160035,74691,56700,131391,646041,499286,1145327,725400,564860,1290260
West Bengal,61973,51306,113279,40630,34594,75224,599145,490825,1089970,653200,537024,1190224
