India/State /UT,Repetition Rate,,,,,,,,
"",Primary (1 to 5),Upper Primary (6-8),Secondary (9-10),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,2.2,1.9,2.1,1.9,1.6,1.7,4.3,3.4,3.9
Andaman and Nicobar Islands,0.8,0.8,0.8,0.9,0.3,0.7,3.8,1.7,2.8
Andhra Pradesh,3.8,3.0,3.4,1.3,1.0,1.2,4.1,3.0,3.6
Arunachal Pradesh,11.8,11.2,11.5,10.7,9.1,9.9,11.1,9.3,10.2
Assam,0.8,0.7,0.7,0.8,0.7,0.7,4.6,5.0,4.8
Bihar,2.0,1.7,1.9,1.3,1.0,1.1,1.9,1.9,1.9
Chandigarh,0.0,0.0,0.0,0.4,0.2,0.3,4.7,3.2,4.0
Chhattisgarh,1.7,1.4,1.6,0.9,0.6,0.8,10.5,6.5,8.5
Dadra and Nagar Haveli and Daman and Diu,1.2,0.8,1.0,1.3,0.7,1.0,8.2,4.2,6.3
Delhi,0.0,0.0,0.0,1.1,0.6,0.9,8.2,6.5,7.4
Goa,0.9,0.6,0.8,0.6,0.5,0.6,6.3,3.0,4.7
Gujarat,1.5,1.2,1.3,1.2,0.9,1.0,3.7,2.1,3.0
Haryana,0.0,0.0,0.0,0.0,0.0,0.0,6.6,4.9,5.8
Himachal Pradesh,0.8,0.7,0.8,0.5,0.4,0.5,4.0,2.4,3.2
Jammu and Kashmir,5.3,5.3,5.3,2.9,2.8,2.8,3.7,3.3,3.5
Jharkhand,3.8,3.4,3.6,3.6,3.3,3.5,5.8,5.2,5.5
Karnataka,0.3,0.3,0.3,0.2,0.1,0.2,1.6,1.0,1.3
Kerala,3.2,2.5,2.8,1.8,1.3,1.5,1.8,1.6,1.7
Ladakh,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.2,0.2
Lakshadweep,0.2,0.3,0.2,0.0,0.0,0.0,0.5,0.2,0.3
Madhya Pradesh,4.3,3.8,4.1,4.0,3.3,3.7,11.9,9.9,11.0
Maharashtra,0.0,0.0,0.0,0.5,0.4,0.5,2.5,1.5,2.0
Manipur,6.8,6.3,6.6,5.8,5.1,5.4,6.8,6.1,6.4
Meghalaya,11.2,8.1,9.6,12.1,9.2,10.5,17.8,15.5,16.5
Mizoram,10.9,10.0,10.5,7.8,5.8,6.8,14.7,12.4,13.5
Nagaland,11.3,9.3,10.3,11.8,9.6,10.7,16.2,14.2,15.1
Odisha,1.1,0.6,0.9,1.0,0.8,0.9,1.4,0.9,1.1
Puducherry,0.5,0.3,0.4,0.2,0.2,0.2,0.5,0.2,0.4
Punjab,2.5,2.0,2.3,1.6,1.1,1.4,2.1,1.1,1.6
Rajasthan,2.4,2.0,2.2,1.2,0.8,1.0,5.7,4.1,5.0
Sikkim,5.3,3.8,4.6,6.5,4.8,5.7,10.5,8.0,9.2
Tamil Nadu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Telangana,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.2,0.2
Tripura,2.8,2.4,2.6,2.3,1.7,2.0,5.8,4.4,5.1
Uttar Pradesh,3.4,2.9,3.2,2.8,2.5,2.6,4.5,3.2,3.9
Uttarakhand,2.5,2.2,2.4,1.1,0.9,1.0,4.6,2.9,3.8
West Bengal,0.0,0.0,0.0,1.4,2.2,1.8,6.2,6.7,6.5
