India/State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,119301237,64952574,647706,116380,48664,64139824,12423132,39601413,2324118
Andaman & Nicobar Islands,35484,24294,1520,437,0,22337,888,10302,0
Andhra Pradesh,4210424,2110905,15612,2517,794,2091982,67876,2024957,6686
Arunachal Pradesh,162229,99950,4841,2838,138,92133,10985,49444,1850
Assam,3515225,2622519,26743,6050,1867,2587859,90504,722668,79534
Bihar,10429552,8851014,23270,6165,543,8821036,65618,1037698,475222
Chandigarh,125224,75099,3275,323,701,70800,3966,42828,3331
Chhattisgarh,2882343,2033160,18013,4853,1855,2008439,35077,810619,3487
"Dadra & Nagar Haveli andDaman & Diu",67361,46439,755,508,25,45151,3290,17632,0
Delhi,2136368,1313833,53111,286,0,1260436,67346,755189,0
Goa,148092,20240,2147,395,0,17698,108904,18948,0
Gujarat,5374949,2708084,18469,5246,848,2683521,797180,1869117,568
Haryana,2552200,1139181,16412,4677,643,1117449,1259,1375585,36175
Himachal Pradesh,681718,415956,7161,2955,542,405298,0,265749,13
Jammu & Kashmir,1256726,712128,13792,2605,0,695731,98,542162,2338
Jharkhand,3483117,2471831,15717,4380,2299,2449435,152667,510229,348390
Karnataka,5816257,2584318,30459,5996,1496,2546367,711121,2520610,208
Kerala,3084830,884478,26817,3649,531,853481,1368182,785805,46365
Ladakh,28375,14097,521,484,63,13029,256,14022,0
Lakshadweep,6234,6234,172,97,0,5965,0,0,0
Madhya Pradesh,7339342,4432312,54099,9578,2362,4366273,44275,2835507,27248
Maharashtra,10149434,2684230,36657,6370,5293,2635910,4686014,2760750,18440
Manipur,316275,102279,2917,2693,1781,94888,13203,195835,4958
Meghalaya,537434,209171,2347,2382,0,204442,180796,127885,19582
Mizoram,145941,63375,875,856,40,61604,10804,68483,3279
Nagaland,204966,74433,799,1328,99,72207,0,130487,46
Odisha,3778181,2599135,30507,6123,2255,2560250,482030,657599,39417
Puducherry,119802,43134,2334,852,0,39948,14202,62466,0
Punjab,2781283,1377098,24270,5946,1690,1345192,81361,1322472,352
Rajasthan,7882398,4403361,32355,6356,957,4363693,0,3409703,69334
Sikkim,59707,35969,388,826,21,34734,319,23419,0
Tamil Nadu,6335933,2471105,30330,0,5221,2435554,1089658,2762295,12875
Telangana,3525996,1451346,17845,1525,3774,1428202,48766,2023978,1906
Tripura,342263,260475,3495,1340,0,255640,11892,64278,5618
Uttar Pradesh,19634073,8115651,77147,10665,5132,8022707,2184099,8680808,653515
Uttarakhand,1120904,452034,19000,2305,772,429957,74802,564860,29208
West Bengal,9030597,8043706,33534,2774,6922,8000476,15694,537024,434173
