India/State/ UT,Total Schools,"Schools with Library/Book Bank/Reading Cornerfacility","Percentage of Schools with Library/BookBank/Reading Corner facility",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1471891,1017660,80313,331108,42810,1310284,943047,71528,271535,24174,89,92.7,89.1,82,56.5
Andaman & Nicobar Islands,412,340,2,70,0,412,340,2,70,0,100,100,100,100,0
Andhra Pradesh,61373,45000,991,15232,150,61136,44804,983,15201,148,99.6,99.6,99.2,99.8,98.7
Arunachal Pradesh,3490,2847,72,529,42,1510,1043,66,381,20,43.3,36.6,91.7,72,47.6
Assam,56630,45008,2267,5725,3630,51282,44010,1393,4626,1253,90.6,97.8,61.4,80.8,34.5
Bihar,94686,78120,723,9167,6676,57096,45924,384,6979,3809,60.3,58.8,53.1,76.1,57.1
Chandigarh,230,119,7,77,27,226,119,7,77,23,98.3,100,100,100,85.2
Chhattisgarh,56615,48803,414,7153,245,55610,48419,399,6575,217,98.2,99.2,96.4,91.9,88.6
"Dadra & Nagar Haveli andDaman & Diu",432,360,8,63,1,431,360,8,62,1,99.8,100,100,98.4,100
Delhi,5497,2693,239,2565,0,5495,2691,239,2565,0,100,99.9,100,100,0
Goa,1487,789,557,141,0,1487,789,557,141,0,100,100,100,100,0
Gujarat,53626,34597,5535,13490,4,51774,34336,5442,11992,4,96.5,99.2,98.3,88.9,100
Haryana,23517,14374,5,8415,723,22938,14356,3,8003,576,97.5,99.9,60,95.1,79.7
Himachal Pradesh,17826,15217,0,2607,2,17771,15216,0,2554,1,99.7,100,0,98,50
Jammu & Kashmir,24296,18785,1,5452,58,18000,13564,1,4395,40,74.1,72.2,100,80.6,69
Jharkhand,44475,35795,1146,1634,5900,42258,35232,1080,1583,4363,95,98.4,94.2,96.9,73.9
Karnataka,75869,49306,7013,19542,8,74560,48823,6915,18814,8,98.3,99,98.6,96.3,100
Kerala,15864,4809,7162,3082,811,15681,4782,7149,3013,737,98.8,99.4,99.8,97.8,90.9
Ladakh,995,841,40,114,0,951,812,35,104,0,95.6,96.6,87.5,91.2,0
Lakshadweep,37,37,0,0,0,37,37,0,0,0,100,100,0,0,0
Madhya Pradesh,123412,92439,581,28910,1482,121496,92343,551,27354,1248,98.4,99.9,94.8,94.6,84.2
Maharashtra,108237,65157,24173,18642,265,106598,64831,23695,17830,242,98.5,99.5,98,95.6,91.3
Manipur,4646,2934,584,1010,118,1274,405,68,766,35,27.4,13.8,11.6,75.8,29.7
Meghalaya,14601,7779,4168,2152,502,4067,2486,1103,405,73,27.9,32,26.5,18.8,14.5
Mizoram,3941,2587,230,1064,60,3189,2473,161,529,26,80.9,95.6,70,49.7,43.3
Nagaland,2725,1952,0,772,1,2114,1636,0,477,1,77.6,83.8,0,61.8,100
Odisha,61693,48671,5907,6042,1073,61478,48665,5777,5990,1046,99.7,100,97.8,99.1,97.5
Puducherry,735,420,33,282,0,735,420,33,282,0,100,100,100,100,0
Punjab,27404,19242,444,7704,14,26981,19219,394,7358,10,98.5,99.9,88.7,95.5,71.4
Rajasthan,107757,70233,0,34729,2795,84684,57433,0,26514,737,78.6,81.8,0,76.3,26.4
Sikkim,1254,864,16,374,0,1121,791,12,318,0,89.4,91.6,75,85,0
Tamil Nadu,58722,37672,8314,12481,255,58106,37648,8278,11956,224,99,99.9,99.6,95.8,87.8
Telangana,42901,30022,662,12126,91,39874,28106,512,11217,39,92.9,93.6,77.3,92.5,42.9
Tripura,4923,4238,42,395,248,3825,3459,32,257,77,77.7,81.6,76.2,65.1,31
Uttar Pradesh,255087,137102,8291,96635,13059,209357,134408,5637,63286,6026,82.1,98,68,65.5,46.1
Uttarakhand,22551,16201,614,5252,484,21946,16025,550,4942,429,97.3,98.9,89.6,94.1,88.6
West Bengal,93945,82307,72,7480,4086,84784,77042,62,4919,2761,90.2,93.6,86.1,65.8,67.6
