India/State /UT,Number of teachers by Gender and Classes Taught – Government Aided,,,,,,,,
"",Primary & Upper Primary,Upper Primary Only,Upper Primary & Secondary,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22)
India,25451,19439,44890,65643,62046,127689,37410,22968,60378
Andaman & Nicobar Islands,0,1,1,1,7,8,2,15,17
Andhra Pradesh,120,96,216,163,174,337,464,592,1056
Arunachal Pradesh,165,134,299,77,41,118,102,73,175
Assam,14,21,35,7108,2566,9674,223,113,336
Bihar,202,95,297,726,349,1075,164,64,228
Chandigarh,7,18,25,1,8,9,12,72,84
Chhattisgarh,70,72,142,263,273,536,56,66,122
"Dadra & Nagar Haveli andDaman & Diu",5,3,8,15,36,51,8,12,20
Delhi,7,34,41,266,819,1085,65,247,312
Goa,40,150,190,141,646,787,625,2064,2689
Gujarat,75,84,159,908,986,1894,4,3,7
Haryana,0,5,5,0,3,3,0,14,14
Himachal Pradesh,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2,2,4,4,1,5,0,2,2
Jharkhand,669,754,1423,542,488,1030,326,469,795
Karnataka,5662,3911,9573,442,470,912,66,58,124
Kerala,240,564,804,7436,22426,29862,239,524,763
Ladakh,5,0,5,6,3,9,1,0,1
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,116,288,404,258,293,551,100,151,251
Maharashtra,16925,11249,28174,26285,15221,41506,20917,9338,30255
Manipur,98,114,212,211,169,380,174,174,348
Meghalaya,21,33,54,2505,2310,4815,320,388,708
Mizoram,0,0,0,287,253,540,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,150,117,267,2214,486,2700,2332,741,3073
Puducherry,18,121,139,9,39,48,36,158,194
Punjab,21,165,186,93,374,467,58,252,310
Rajasthan,0,0,0,0,0,0,0,0,0
Sikkim,4,0,4,11,4,15,8,6,14
Tamil Nadu,297,805,1102,3778,9123,12901,2255,3763,6018
Telangana,63,161,224,86,184,270,195,508,703
Tripura,1,0,1,52,35,87,36,10,46
Uttar Pradesh,445,403,848,11172,3839,15011,8175,2624,10799
Uttarakhand,5,25,30,564,377,941,400,364,764
West Bengal,4,14,18,19,43,62,47,103,150
