India/State/ UT,Enrolment – Government,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,1623963,1609811,3233774,30980180,31238561,62218741,17090815,17836284,34927099,48070995,49074845,97145840
Andaman and Nicobar Islands,2509,2537,5046,7328,7220,14548,6143,5819,11962,13471,13039,26510
Andhra Pradesh,36313,37433,73746,793604,850768,1644372,591110,643699,1234809,1384714,1494467,2879181
Arunachal Pradesh,4210,4367,8577,34645,37897,72542,21828,27767,49595,56473,65664,122137
Assam,123937,123678,247615,1231333,1252776,2484109,585173,681834,1267007,1816506,1934610,3751116
Bihar,742,542,1284,4634975,4614183,9249158,2327986,2407020,4735006,6962961,7021203,13984164
Chandigarh,7946,7692,15638,24473,23026,47499,21594,19404,40998,46067,42430,88497
Chhattisgarh,30549,31008,61557,863347,865831,1729178,544153,557185,1101338,1407500,1423016,2830516
"Dadra and Nagar Haveli andDaman and Diu",3329,3228,6557,19930,19546,39476,12723,12119,24842,32653,31665,64318
Delhi,53428,62413,115841,416131,434709,850840,358973,365531,724504,775104,800240,1575344
Goa,948,893,1841,11792,11249,23041,4228,3840,8068,16020,15089,31109
Gujarat,259658,254788,514446,1417072,1377702,2794774,953136,943112,1896248,2370208,2320814,4691022
Haryana,15572,17450,33022,446273,453758,900031,315459,330308,645767,761732,784066,1545798
Himachal Pradesh,24432,24995,49427,143842,143506,287348,103563,102881,206444,247405,246387,493792
Jammu and Kashmir,90014,90894,180908,267601,274882,542483,147514,151177,298691,415115,426059,841174
Jharkhand,19210,19265,38475,1235280,1228493,2463773,659105,692462,1351567,1894385,1920955,3815340
Karnataka,10388,10350,20738,1160640,1212315,2372955,709383,744482,1453865,1870023,1956797,3826820
Kerala,75754,73867,149621,291357,280013,571370,199666,192700,392366,491023,472713,963736
Ladakh,2197,2182,4379,4102,4669,8771,2207,2823,5030,6309,7492,13801
Lakshadweep,660,640,1300,2685,2505,5190,1322,1456,2778,4007,3961,7968
Madhya Pradesh,10002,9910,19912,1951828,2003989,3955817,1187788,1254038,2441826,3139616,3258027,6397643
Maharashtra,33177,32229,65406,1901395,1917269,3818664,551262,576453,1127715,2452657,2493722,4946379
Manipur,7108,6719,13827,56320,54877,111197,16880,18322,35202,73200,73199,146399
Meghalaya,38137,34548,72685,122007,115503,237510,43809,48933,92742,165816,164436,330252
Mizoram,6512,6234,12746,31811,29472,61283,15269,14420,29689,47080,43892,90972
Nagaland,14164,13349,27513,27336,28621,55957,13746,16750,30496,41082,45371,86453
Odisha,682,587,1269,1329640,1312468,2642108,848504,837987,1686491,2178144,2150455,4328599
Puducherry,3934,4061,7995,13507,13662,27169,9904,10276,20180,23411,23938,47349
Punjab,188816,179087,367903,534883,505735,1040618,320314,306176,626490,855197,811911,1667108
Rajasthan,18565,19040,37605,1744466,1888094,3632560,1087269,1217462,2304731,2831735,3105556,5937291
Sikkim,3097,2866,5963,10282,9314,19596,8832,8850,17682,19114,18164,37278
Tamil Nadu,31703,32471,64174,866144,868273,1734417,685681,696664,1382345,1551825,1564937,3116762
Telangana,2190,1996,4186,515637,538657,1054294,421018,452860,873878,936655,991517,1928172
Tripura,4851,4598,9449,108258,110262,218520,66594,70345,136939,174852,180607,355459
Uttar Pradesh,1866,1547,3413,5282483,5363150,10645633,2194703,2378061,4572764,7477186,7741211,15218397
Uttarakhand,578,495,1073,185051,187735,372786,104557,113299,217856,289608,301034,590642
West Bengal,496785,491852,988637,3292722,3196432,6489154,1949419,1929769,3879188,5242141,5126201,10368342
