India/State /UT,Number of Teachers – all types of management,,,,
"",Total,Primary,"UpperPrimary",Secondary,"HigherSecondary"
(1),(2),(3),(4),(5),(6)
India,9807600,2356362,2808479,1591915,3050844
Andaman & Nicobar Islands,5750,996,971,1008,2775
Andhra Pradesh,338293,96824,47298,144415,49756
Arunachal Pradesh,24700,4710,10534,5099,4357
Assam,342199,111632,70022,99529,61016
Bihar,657063,157250,359353,21120,119340
Chandigarh,10237,208,764,2677,6588
Chhattisgarh,278798,86816,85399,20372,86211
"Dadra & Nagar Haveli andDaman & Diu",4995,661,1846,535,1953
Delhi,160479,25970,11276,8529,114704
Goa,14594,2976,647,7763,3208
Gujarat,394053,33957,220941,23612,115543
Haryana,250909,41206,34132,28624,146947
Himachal Pradesh,101131,21735,10979,17133,51284
Jammu & Kashmir,167046,29616,61045,43789,32596
Jharkhand,206591,46987,85835,36174,37595
Karnataka,433942,47453,148203,167857,70429
Kerala,291096,46419,60406,42406,141865
Ladakh,6432,939,2739,1700,1054
Lakshadweep,911,227,224,0,460
Madhya Pradesh,639525,135507,242169,74063,187786
Maharashtra,738114,139199,200357,185633,212925
Manipur,40921,8842,7809,15089,9181
Meghalaya,55726,23665,14993,11111,5957
Mizoram,23013,5779,10629,4448,2157
Nagaland,32602,6588,8514,10023,7477
Odisha,335496,71734,125930,97993,39839
Puducherry,13202,1844,774,3022,7562
Punjab,273092,53908,26754,51665,140765
Rajasthan,775745,83893,223650,71384,396818
Sikkim,15489,3539,3885,3045,5020
Tamil Nadu,550558,113258,72459,68551,296290
Telangana,341460,48903,54742,179938,57877
Tripura,37661,7737,7531,8223,14170
Uttar Pradesh,1538479,563280,524037,86384,364778
Uttarakhand,130741,30974,32921,11565,55281
West Bengal,576557,301130,38711,37436,199280
