India/State/ UT,Total Schools,"Schools having PCs with functional Integrated TeachingLearning Devices","Percentage of Schools having PCs with functionalIntegrated Teaching Learning Devices",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1471891,1017660,80313,331108,42810,119765,45411,12096,60171,2087,8.1,4.5,15.1,18.2,4.9
Andaman & Nicobar Islands,412,340,2,70,0,61,37,0,24,0,14.8,10.9,0,34.3,0
Andhra Pradesh,61373,45000,991,15232,150,7163,1743,62,5336,22,11.7,3.9,6.3,35,14.7
Arunachal Pradesh,3490,2847,72,529,42,290,151,9,127,3,8.3,5.3,12.5,24,7.1
Assam,56630,45008,2267,5725,3630,1851,1289,5,550,7,3.3,2.9,0.2,9.6,0.2
Bihar,94686,78120,723,9167,6676,2709,767,7,1465,470,2.9,1,1,16,7
Chandigarh,230,119,7,77,27,97,42,3,44,8,42.2,35.3,42.9,57.1,29.6
Chhattisgarh,56615,48803,414,7153,245,1838,943,16,877,2,3.2,1.9,3.9,12.3,0.8
"Dadra & Nagar Haveli andDaman & Diu",432,360,8,63,1,59,22,4,33,0,13.7,6.1,50,52.4,0
Delhi,5497,2693,239,2565,0,2051,815,58,1178,0,37.3,30.3,24.3,45.9,0
Goa,1487,789,557,141,0,233,45,151,37,0,15.7,5.7,27.1,26.2,0
Gujarat,53626,34597,5535,13490,4,14278,6529,2069,5680,0,26.6,18.9,37.4,42.1,0
Haryana,23517,14374,5,8415,723,3113,815,2,2203,93,13.2,5.7,40,26.2,12.9
Himachal Pradesh,17826,15217,0,2607,2,1653,1008,0,645,0,9.3,6.6,0,24.7,0
Jammu & Kashmir,24296,18785,1,5452,58,1353,552,0,798,3,5.6,2.9,0,14.6,5.2
Jharkhand,44475,35795,1146,1634,5900,1831,969,29,399,434,4.1,2.7,2.5,24.4,7.4
Karnataka,75869,49306,7013,19542,8,7957,1927,712,5318,0,10.5,3.9,10.2,27.2,0
Kerala,15864,4809,7162,3082,811,2543,489,658,1242,154,16,10.2,9.2,40.3,19
Ladakh,995,841,40,114,0,84,57,1,26,0,8.4,6.8,2.5,22.8,0
Lakshadweep,37,37,0,0,0,10,10,0,0,0,27,27,0,0,0
Madhya Pradesh,123412,92439,581,28910,1482,4965,748,36,4137,44,4,0.8,6.2,14.3,3
Maharashtra,108237,65157,24173,18642,265,17641,4748,6398,6435,60,16.3,7.3,26.5,34.5,22.6
Manipur,4646,2934,584,1010,118,300,56,3,236,5,6.5,1.9,0.5,23.4,4.2
Meghalaya,14601,7779,4168,2152,502,356,93,155,87,21,2.4,1.2,3.7,4,4.2
Mizoram,3941,2587,230,1064,60,113,59,12,39,3,2.9,2.3,5.2,3.7,5
Nagaland,2725,1952,0,772,1,224,78,0,146,0,8.2,4,0,18.9,0
Odisha,61693,48671,5907,6042,1073,3904,1875,649,1213,167,6.3,3.9,11,20.1,15.6
Puducherry,735,420,33,282,0,226,84,10,132,0,30.7,20,30.3,46.8,0
Punjab,27404,19242,444,7704,14,7451,5008,57,2383,3,27.2,26,12.8,30.9,21.4
Rajasthan,107757,70233,0,34729,2795,7155,2655,0,4455,45,6.6,3.8,0,12.8,1.6
Sikkim,1254,864,16,374,0,263,182,3,78,0,21,21.1,18.8,20.9,0
Tamil Nadu,58722,37672,8314,12481,255,8780,4313,686,3729,52,15,11.4,8.3,29.9,20.4
Telangana,42901,30022,662,12126,91,5839,2961,45,2831,2,13.6,9.9,6.8,23.3,2.2
Tripura,4923,4238,42,395,248,238,151,4,77,6,4.8,3.6,9.5,19.5,2.4
Uttar Pradesh,255087,137102,8291,96635,13059,7273,617,214,6362,80,2.9,0.5,2.6,6.6,0.6
Uttarakhand,22551,16201,614,5252,484,1441,498,28,911,4,6.4,3.1,4.6,17.3,0.8
West Bengal,93945,82307,72,7480,4086,4422,3075,10,938,399,4.7,3.7,13.9,12.5,9.8
