India/State/ UT,Projected population by age group – Overall,,,,,,,,
"",Age 3-5,Age 6-10,Age 11-13,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,38736329,34928103,73664432,61250534,54763343,116013877,36806827,33541400,70348227
Andaman and Nicobar Islands,9111,8982,18093,14166,13463,27629,9438,8661,18099
Andhra Pradesh,919401,849561,1768962,1862870,1705741,3568611,1134008,1060949,2194957
Arunachal Pradesh,44130,41520,85650,64376,60985,125362,44163,43001,87163
Assam,816835,753831,1570666,1555557,1423041,2978598,969012,914513,1883526
Bihar,5231361,4712572,9943932,7068335,6400693,13469028,4254483,4003829,8258312
Chandigarh,29921,27308,57229,45951,38989,84940,29555,22808,52363
Chhattisgarh,1019400,960867,1980267,1426400,1349800,2776200,828600,794400,1623000
Dadra and Nagar Haveli and Daman and Diu,21619,20084,41703,29572,26304,55876,17895,15074,32969
Delhi,458015,395510,853525,909558,748637,1658195,546726,452360,999085
Goa,25009,24000,49009,49627,46928,96555,32636,29665,62301
Gujarat,1632468,1409492,3041960,3158456,2656473,5814929,1855343,1584780,3440123
Haryana,677733,581600,1259333,1351800,1124400,2476200,808400,667000,1475400
Himachal Pradesh,175267,160133,335400,259000,233600,492600,169800,151200,321000
Jammu and Kashmir,319133,299600,618733,482200,444000,926200,392200,343800,736000
Jharkhand,1008964,930496,1939460,1896877,1730979,3627855,1168760,1100857,2269617
Karnataka,1251467,1155200,2406667,2546600,2330200,4876800,1558600,1452600,3011200
Kerala,626470,601551,1228020,1217518,1164006,2381524,755098,724793,1479891
Ladakh,5586,5561,11147,10550,10223,20773,6786,6166,12952
Lakshadweep,1748,1697,3445,2668,2564,5232,1667,1792,3458
Madhya Pradesh,3150533,2909067,6059600,4393600,4033200,8426800,2499600,2327400,4827000
Maharashtra,3246401,2847699,6094100,4734301,4099869,8834170,3000856,2633425,5634281
Manipur,77578,70474,148052,111331,102074,213405,79616,74199,153814
Meghalaya,112774,106605,219380,143598,135645,279243,95888,92191,188080
Mizoram,32611,30796,63407,43771,41199,84969,29598,27879,57477
Nagaland,60991,55842,116834,90133,81897,172030,64202,58224,122426
Odisha,1288831,1214608,2503439,1822735,1718221,3540956,1137605,1075417,2213022
Puducherry,22013,21216,43229,44732,42362,87094,29603,27413,57017
Punjab,750686,662317,1413003,1102516,956397,2058912,693343,586820,1280163
Rajasthan,2101680,1851990,3953670,4121486,3585805,7707291,2413077,2150807,4563884
Sikkim,13496,12433,25929,21844,20747,42591,16999,16181,33181
Tamil Nadu,1268400,1169333,2437733,2609000,2375200,4984200,1617000,1498000,3115000
Telangana,707396,645967,1353363,1412424,1270759,2683183,865843,796026,1661869
Tripura,97098,90853,187951,126735,117875,244610,91549,86124,177674
Uttar Pradesh,8915871,7861139,16777009,12594849,11023666,23618515,7085278,6344645,13429922
Uttarakhand,244933,212000,456933,473200,396800,870000,296600,252400,549000
West Bengal,2371400,2226200,4597600,3452200,3250600,6702800,2207000,2116000,4323000
