India/State /UT,Number of teachers by Gender and Classes Taught – Government,,,,,,,,,,,
"",Total,Pre-Primary Only,Pre-Primary & Primary,Primary Only,,,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,2772396,2265275,5037671,1371,12487,13858,147105,113442,260547,1139007,1002628,2141635
Andaman & Nicobar Islands,1632,2814,4446,91,304,395,18,65,83,452,848,1300
Andhra Pradesh,107006,90372,197378,7,35,42,271,314,585,41945,37558,79503
Arunachal Pradesh,9005,7701,16706,5,22,27,79,94,173,3476,2872,6348
Assam,137033,88826,225859,68,72,140,4247,3552,7799,62259,41982,104241
Bihar,280094,206447,486541,0,2,2,2,2,4,107570,100997,208567
Chandigarh,1538,3722,5260,2,178,180,4,24,28,470,959,1429
Chhattisgarh,113262,75459,188721,1,56,57,36,106,142,48884,31548,80432
"Dadra & Nagar Haveli andDaman & Diu",1266,1814,3080,16,259,275,0,0,0,472,662,1134
Delhi,34141,52859,87000,50,1833,1883,62,205,267,8190,15775,23965
Goa,670,2447,3117,0,9,9,2,10,12,192,1343,1535
Gujarat,103360,95135,198495,37,65,102,315,441,756,55351,54307,109658
Haryana,52798,41061,93859,2,28,30,35,41,76,21128,14455,35583
Himachal Pradesh,39068,27013,66081,11,32,43,981,810,1791,10237,7769,18006
Jammu & Kashmir,60295,36085,96380,48,67,115,3163,1979,5142,20325,13476,33801
Jharkhand,82893,34833,117726,11,10,21,338,172,510,42193,17822,60015
Karnataka,94721,97637,192358,2,11,13,6,6,12,26270,26520,52790
Kerala,18535,64168,82703,9,4248,4257,3,77,80,4648,21294,25942
Ladakh,2480,2243,4723,5,21,26,198,190,388,312,604,916
Lakshadweep,390,521,911,3,42,45,3,4,7,114,188,302
Madhya Pradesh,204236,117136,321372,12,26,38,83,106,189,112225,63592,175817
Maharashtra,138953,89538,228491,7,190,197,21,101,122,99208,68375,167583
Manipur,8157,9355,17512,12,26,38,269,503,772,4524,4720,9244
Meghalaya,10498,12200,22698,37,149,186,674,1107,1781,4862,5489,10351
Mizoram,7259,6001,13260,1,3,4,29,30,59,2383,2324,4707
Nagaland,9157,9470,18627,15,108,123,411,578,989,4080,4300,8380
Odisha,117109,95072,212181,2,10,12,3,7,10,46435,38369,84804
Puducherry,1519,3214,4733,0,316,316,11,38,49,444,1231,1675
Punjab,45023,81113,126136,476,2897,3373,3876,8073,11949,12775,23038,35813
Rajasthan,284595,149466,434061,367,447,814,149,129,278,97842,61173,159015
Sikkim,4670,6905,11575,29,507,536,35,141,176,1856,2589,4445
Tamil Nadu,78350,155817,234167,35,427,462,0,3,3,19982,61275,81257
Telangana,77492,70964,148456,1,3,4,672,680,1352,26183,23616,49799
Tripura,19090,9620,28710,1,7,8,9,6,15,8042,3271,11313
Uttar Pradesh,320778,309297,630075,2,32,34,15,37,52,220266,227105,447371
Uttarakhand,34352,25039,59391,0,6,6,0,0,0,11477,11426,22903
West Bengal,270971,183911,454882,6,39,45,131085,93811,224896,11935,9756,21691
