India/State/UT
India/State/UT
"","able 3.1: Number of schools by level of school education, 2023-24",,,,,,,,,,,,,,,,
India/State/UT,Total,Primary,"UpperPrimary",Secondary,"HigherSecondary",,,,,,,,,,,,
"",,,,,,,,,,Upper,Higher,,,,,,
"",India/State/UT,Total,Primary,Secondary,,,,,,,,,,,,,
"",,,,,,,,,,Primary,Secondary,,,,,,
"",(1),,,(2),,,(3),,,(4),,,(5),,,(6),
"",ndia,,1471891,736611,432416,143978,158886,,,,,,,,,,
Andaman & Nicobar Islands,412,209,79,54,70,,,,,,,,,,,,
Andhra Pradesh,61373,37751,8274,11586,3762,,,,,,,,,,,,
Arunachal Pradesh,3490,1695,1283,331,181,,,,,,,,,,,,
Assam,56630,37481,9441,7073,2635,,,,,,,,,,,,
Bihar,94686,41660,40443,1933,10650,,,,,,,,,,,,
Chandigarh,230,14,42,70,104,,,,,,,,,,,,
Chhattisgarh,56615,32461,16570,2704,4880,,,,,,,,,,,,
"Dadra & Nagar Haveli andDaman & Diu",432,162,175,38,57,,,,,,,,,,,,
Delhi,5497,2481,806,340,1870,,,,,,,,,,,,
Goa,1487,862,77,423,125,,,,,,,,,,,,
Gujarat,53626,13537,27052,4449,8588,,,,,,,,,,,,
Haryana,23517,9632,4985,2765,6135,,,,,,,,,,,,
Himachal Pradesh,17826,10836,2492,1788,2710,,,,,,,,,,,,
Jammu & Kashmir,24296,10625,9175,3199,1297,,,,,,,,,,,,
Jharkhand,44475,23337,16062,3233,1843,,,,,,,,,,,,
Karnataka,75869,23436,30328,16324,5781,,,,,,,,,,,,
Kerala,15864,6416,4452,1977,3019,,,,,,,,,,,,
Ladakh,995,392,438,114,51,,,,,,,,,,,,
Lakshadweep,37,15,9,0,13,,,,,,,,,,,,
Madhya Pradesh,123412,60976,44108,8210,10118,,,,,,,,,,,,
Maharashtra,108237,49906,29252,17826,11253,,,,,,,,,,,,
Manipur,4646,2447,944,967,288,,,,,,,,,,,,
Meghalaya,14601,9156,3528,1494,423,,,,,,,,,,,,
Mizoram,3941,1465,1532,720,224,,,,,,,,,,,,
Nagaland,2725,1138,782,583,222,,,,,,,,,,,,
Odisha,61693,28635,20844,9415,2799,,,,,,,,,,,,
Puducherry,735,273,69,185,208,,,,,,,,,,,,
Punjab,27404,13468,4637,4014,5285,,,,,,,,,,,,
Rajasthan,107757,37757,34515,7356,28129,,,,,,,,,,,,
Sikkim,1254,668,315,144,127,,,,,,,,,,,,
Tamil Nadu,58722,33995,10044,5679,9004,,,,,,,,,,,,
Telangana,42901,20539,7482,11566,3314,,,,,,,,,,,,
Tripura,4923,2472,1247,671,533,,,,,,,,,,,,
Uttar Pradesh,255087,133331,86798,12092,22866,,,,,,,,,,,,
Uttarakhand,22551,12929,5503,1403,2716,,,,,,,,,,,,
West Bengal,93945,74454,8633,3252,7606,,,,,,,,,,,,
Total
Total
Primary
Primary
"UpperPrimary"
Upper
Primary
Secondary
Secondary
"HigherSecondary"
Higher
Secondary
