India/State/ UT,Total Schools,"Schools having functional Smart Classrooms used forteaching with Digital Boards/ Smart Boards/ VirtualClassrooms/ Smart TV availability","Percentage of Schools having functional SmartClassrooms used for teaching with Digital Boards/ SmartBoards/ Virtual Classrooms/ Smart TV availability",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1471891,1017660,80313,331108,42810,359457,215432,24870,114463,4692,24.4,21.2,31,34.6,11
Andaman & Nicobar Islands,412,340,2,70,0,186,149,2,35,0,45.1,43.8,100,50,0
Andhra Pradesh,61373,45000,991,15232,150,27274,18100,154,8989,31,44.4,40.2,15.5,59,20.7
Arunachal Pradesh,3490,2847,72,529,42,740,444,37,253,6,21.2,15.6,51.4,47.8,14.3
Assam,56630,45008,2267,5725,3630,6417,5539,18,850,10,11.3,12.3,0.8,14.8,0.3
Bihar,94686,78120,723,9167,6676,11485,6904,55,3298,1228,12.1,8.8,7.6,36,18.4
Chandigarh,230,119,7,77,27,215,116,7,72,20,93.5,97.5,100,93.5,74.1
Chhattisgarh,56615,48803,414,7153,245,10965,9042,40,1878,5,19.4,18.5,9.7,26.3,2
"Dadra & Nagar Haveli and Daman& Diu",432,360,8,63,1,299,249,7,43,0,69.2,69.2,87.5,68.3,0
Delhi,5497,2693,239,2565,0,4070,1884,146,2040,0,74,70,61.1,79.5,0
Goa,1487,789,557,141,0,375,65,242,68,0,25.2,8.2,43.4,48.2,0
Gujarat,53626,34597,5535,13490,4,32880,21888,3280,7710,2,61.3,63.3,59.3,57.2,50
Haryana,23517,14374,5,8415,723,10862,5432,2,5127,301,46.2,37.8,40,60.9,41.6
Himachal Pradesh,17826,15217,0,2607,2,5396,4090,0,1306,0,30.3,26.9,0,50.1,0
Jammu & Kashmir,24296,18785,1,5452,58,3487,1998,0,1481,8,14.4,10.6,0,27.2,13.8
Jharkhand,44475,35795,1146,1634,5900,4810,2875,84,717,1134,10.8,8,7.3,43.9,19.2
Karnataka,75869,49306,7013,19542,8,16970,7341,1407,8221,1,22.4,14.9,20.1,42.1,12.5
Kerala,15864,4809,7162,3082,811,9202,2999,3608,2284,311,58,62.4,50.4,74.1,38.3
Ladakh,995,841,40,114,0,303,254,2,47,0,30.5,30.2,5,41.2,0
Lakshadweep,37,37,0,0,0,25,25,0,0,0,67.6,67.6,0,0,0
Madhya Pradesh,123412,92439,581,28910,1482,21893,10756,82,10941,114,17.7,11.6,14.1,37.8,7.7
Maharashtra,108237,65157,24173,18642,265,65009,42941,11286,10661,121,60.1,65.9,46.7,57.2,45.7
Manipur,4646,2934,584,1010,118,558,99,6,434,19,12,3.4,1,43,16.1
Meghalaya,14601,7779,4168,2152,502,553,91,263,165,34,3.8,1.2,6.3,7.7,6.8
Mizoram,3941,2587,230,1064,60,292,181,16,92,3,7.4,7,7,8.6,5
Nagaland,2725,1952,0,772,1,837,579,0,257,1,30.7,29.7,0,33.3,100
Odisha,61693,48671,5907,6042,1073,17008,12505,2273,1968,262,27.6,25.7,38.5,32.6,24.4
Puducherry,735,420,33,282,0,484,259,22,203,0,65.9,61.7,66.7,72,0
Punjab,27404,19242,444,7704,14,21344,16841,115,4386,2,77.9,87.5,25.9,56.9,14.3
Rajasthan,107757,70233,0,34729,2795,21500,11606,0,9696,198,20,16.5,0,27.9,7.1
Sikkim,1254,864,16,374,0,520,379,3,138,0,41.5,43.9,18.8,36.9,0
Tamil Nadu,58722,37672,8314,12481,255,4615,418,2,4193,2,7.9,1.1,0,33.6,0.8
Telangana,42901,30022,662,12126,91,11333,5507,98,5726,2,26.4,18.3,14.8,47.2,2.2
Tripura,4923,4238,42,395,248,680,554,11,107,8,13.8,13.1,26.2,27.1,3.2
Uttar Pradesh,255087,137102,8291,96635,13059,36996,17037,1462,18097,400,14.5,12.4,17.6,18.7,3.1
Uttarakhand,22551,16201,614,5252,484,5449,3460,122,1840,27,24.2,21.4,19.9,35,5.6
West Bengal,93945,82307,72,7480,4086,4425,2825,18,1140,442,4.7,3.4,25,15.2,10.8
