India/State/ UT,Total Schools,Number of schools with ramps for CWSN,Percentage of Schools with ramps for CWSN,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1471891,1017660,80313,331108,42810,1134850,866465,59806,194538,14041,77.1,85.1,74.5,58.8,32.8
Andaman & Nicobar Islands,412,340,2,70,0,272,244,1,27,0,66,71.8,50,38.6,0
Andhra Pradesh,61373,45000,991,15232,150,54522,39847,856,13687,132,88.8,88.5,86.4,89.9,88
Arunachal Pradesh,3490,2847,72,529,42,947,806,18,112,11,27.1,28.3,25,21.2,26.2
Assam,56630,45008,2267,5725,3630,44109,42768,221,953,167,77.9,95,9.7,16.6,4.6
Bihar,94686,78120,723,9167,6676,48588,42924,249,3246,2169,51.3,54.9,34.4,35.4,32.5
Chandigarh,230,119,7,77,27,206,119,6,70,11,89.6,100,85.7,90.9,40.7
Chhattisgarh,56615,48803,414,7153,245,44187,40267,251,3567,102,78,82.5,60.6,49.9,41.6
"Dadra & Nagar Haveli andDaman & Diu",432,360,8,63,1,424,357,7,59,1,98.1,99.2,87.5,93.7,100
Delhi,5497,2693,239,2565,0,5494,2691,238,2565,0,99.9,99.9,99.6,100,0
Goa,1487,789,557,141,0,934,716,181,37,0,62.8,90.7,32.5,26.2,0
Gujarat,53626,34597,5535,13490,4,43664,33130,3513,7018,3,81.4,95.8,63.5,52,75
Haryana,23517,14374,5,8415,723,17124,12130,3,4744,247,72.8,84.4,60,56.4,34.2
Himachal Pradesh,17826,15217,0,2607,2,14978,14280,0,698,0,84,93.8,0,26.8,0
Jammu & Kashmir,24296,18785,1,5452,58,10254,8876,1,1369,8,42.2,47.3,100,25.1,13.8
Jharkhand,44475,35795,1146,1634,5900,30133,27660,379,658,1436,67.8,77.3,33.1,40.3,24.3
Karnataka,75869,49306,7013,19542,8,57530,43192,4255,10080,3,75.8,87.6,60.7,51.6,37.5
Kerala,15864,4809,7162,3082,811,13029,4581,6534,1578,336,82.1,95.3,91.2,51.2,41.4
Ladakh,995,841,40,114,0,583,546,5,32,0,58.6,64.9,12.5,28.1,0
Lakshadweep,37,37,0,0,0,36,36,0,0,0,97.3,97.3,0,0,0
Madhya Pradesh,123412,92439,581,28910,1482,116073,91664,492,23097,820,94.1,99.2,84.7,79.9,55.3
Maharashtra,108237,65157,24173,18642,265,101521,62864,22435,16028,194,93.8,96.5,92.8,86,73.2
Manipur,4646,2934,584,1010,118,1956,1576,151,212,17,42.1,53.7,25.9,21,14.4
Meghalaya,14601,7779,4168,2152,502,4706,3663,732,254,57,32.2,47.1,17.6,11.8,11.4
Mizoram,3941,2587,230,1064,60,1811,1551,68,178,14,46,60,29.6,16.7,23.3
Nagaland,2725,1952,0,772,1,1093,968,0,125,0,40.1,49.6,0,16.2,0
Odisha,61693,48671,5907,6042,1073,58174,47148,4744,5354,928,94.3,96.9,80.3,88.6,86.5
Puducherry,735,420,33,282,0,508,389,7,112,0,69.1,92.6,21.2,39.7,0
Punjab,27404,19242,444,7704,14,21755,17188,221,4341,5,79.4,89.3,49.8,56.3,35.7
Rajasthan,107757,70233,0,34729,2795,72926,53023,0,19317,586,67.7,75.5,0,55.6,21
Sikkim,1254,864,16,374,0,529,481,5,43,0,42.2,55.7,31.3,11.5,0
Tamil Nadu,58722,37672,8314,12481,255,58103,37645,8278,11956,224,98.9,99.9,99.6,95.8,87.8
Telangana,42901,30022,662,12126,91,31267,23257,261,7705,44,72.9,77.5,39.4,63.5,48.4
Tripura,4923,4238,42,395,248,3133,2904,29,117,83,63.6,68.5,69,29.6,33.5
Uttar Pradesh,255087,137102,8291,96635,13059,183525,123105,5273,50039,5108,71.9,89.8,63.6,51.8,39.1
Uttarakhand,22551,16201,614,5252,484,17043,13765,343,2775,160,75.6,85,55.9,52.8,33.1
West Bengal,93945,82307,72,7480,4086,73713,70104,49,2385,1175,78.5,85.2,68.1,31.9,28.8
