India/State/ UT,Net Enrolment Rate (NER),,,,,,,,,,,,,,
"",Primary (1 to 5),Upper Primary (6 to 8),Elementary (1 to 8),Secondary (9-10),Higher Secondary (11-12),,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,77.5,80.6,79.0,65.2,67.0,66.0,82.2,84.6,83.3,47.5,49.2,48.3,32.3,35.5,33.8
Andaman and Nicobar Islands,80.5,80.6,80.6,67.7,67.1,67.4,85.4,86.2,85.8,49.3,51.2,50.2,41.5,48.5,44.7
Andhra Pradesh,83.7,86.8,85.2,80.7,83.2,81.9,89.6,91.4,90.5,65.2,69.3,67.2,39.7,47.1,43.3
Arunachal Pradesh,87.1,89.4,88.2,51.8,57.0,54.4,86.1,89.9,87.9,33.1,36.3,34.7,21.3,24.3,22.8
Assam,78.5,85.2,81.7,48.6,57.3,52.8,82.5,89.5,85.8,29.5,38.3,33.8,16.1,20.4,18.2
Bihar,69.1,71.7,70.3,47.1,49.1,48.1,69.7,71.6,70.6,25.9,29.8,27.8,15.4,17.1,16.2
Chandigarh,92.6,98.8,95.5,89.8,100.0,94.6,100.0,100.0,100.0,68.3,77.2,72.2,66.3,78.0,71.2
Chhattisgarh,77.1,78.2,77.6,70.6,71.8,71.2,82.1,83.4,82.8,46.9,51.4,49.1,30.0,38.3,34.1
"Dadra and Nagar Haveli andDaman and Diu",95.5,98.2,96.8,83.0,86.4,84.5,99.4,100.0,100.0,65.9,78.4,71.4,27.0,45.1,33.9
Delhi,91.9,100.0,96.3,97.1,100.0,100.0,98.2,100.0,100.0,77.8,86.0,81.6,60.0,70.9,65.0
Goa,100.0,100.0,100.0,91.2,95.6,93.3,100.0,100.0,100.0,74.7,79.7,77.1,60.0,71.2,65.3
Gujarat,71.8,76.2,73.8,81.0,84.5,82.7,79.5,83.2,81.2,64.9,64.0,64.4,32.3,37.5,34.7
Haryana,75.0,78.1,76.4,74.2,76.6,75.3,84.8,87.0,85.8,58.4,61.5,59.8,41.4,47.3,44.1
Himachal Pradesh,84.8,84.9,84.8,63.6,62.8,63.2,92.2,93.0,92.6,40.0,37.9,39.0,30.2,28.8,29.5
Jammu and Kashmir,97.1,97.9,97.5,51.5,53.5,52.4,87.8,89.9,88.8,34.3,34.6,34.4,21.2,22.2,21.7
Jharkhand,67.9,70.5,69.1,46.3,49.4,47.8,73.2,75.2,74.2,28.9,32.3,30.6,18.3,20.3,19.3
Karnataka,91.7,94.3,92.9,84.1,85.9,85.0,97.4,99.3,98.3,70.9,74.9,72.8,36.9,47.5,42.0
Kerala,82.5,83.9,83.2,80.7,82.6,81.6,89.4,90.4,89.9,69.8,73.2,71.5,61.0,67.5,64.2
Ladakh,90.9,89.2,90.0,59.6,70.5,64.8,88.4,92.3,90.3,42.4,54.7,48.2,24.6,28.0,26.3
Lakshadweep,93.5,90.2,91.9,68.0,71.2,69.7,87.9,86.5,87.2,57.6,62.0,59.7,58.0,51.0,54.5
Madhya Pradesh,64.3,64.3,64.3,59.1,58.3,58.7,71.1,71.0,71.1,40.4,39.2,39.8,25.4,26.0,25.7
Maharashtra,87.4,93.2,90.1,74.4,73.3,73.9,91.3,95.3,93.2,56.5,54.0,55.3,40.7,40.0,40.4
Manipur,100.0,100.0,100.0,59.0,61.6,60.3,100.0,100.0,100.0,42.6,43.8,43.2,33.9,33.9,33.9
Meghalaya,100.0,100.0,100.0,63.1,77.5,70.1,100.0,100.0,100.0,34.6,48.6,41.5,16.0,24.6,20.2
Mizoram,100.0,100.0,100.0,81.8,88.5,85.1,100.0,100.0,100.0,57.0,66.6,61.7,32.3,39.5,35.8
Nagaland,74.4,78.4,76.3,48.0,54.0,50.9,72.2,77.0,74.5,33.9,40.7,37.1,22.7,28.3,25.5
Odisha,82.2,81.7,82.0,70.6,69.4,70.1,87.6,87.0,87.3,47.5,47.3,47.4,31.2,32.8,32.0
Puducherry,92.6,92.1,92.4,92.6,93.3,92.9,95.8,95.7,95.8,84.3,89.9,86.9,72.5,86.5,79.1
Punjab,91.7,91.8,91.7,75.6,74.4,75.1,96.1,96.5,96.3,54.0,52.4,53.3,45.6,44.4,45.0
Rajasthan,78.0,82.0,79.9,65.5,66.7,66.1,83.3,85.9,84.5,49.2,49.1,49.1,37.7,37.2,37.4
Sikkim,80.3,79.4,79.8,55.0,55.4,55.2,78.6,78.2,78.4,42.9,44.0,43.5,30.3,36.8,33.5
Tamil Nadu,83.5,86.6,85.0,85.0,86.9,85.9,91.2,93.5,92.3,72.9,75.7,74.2,58.5,68.7,63.4
Telangana,91.8,97.2,94.4,81.4,87.6,84.4,98.3,100.0,100.0,62.7,70.4,66.4,42.6,51.2,46.8
Tripura,100.0,100.0,100.0,81.0,87.2,84.0,100.0,100.0,100.0,59.2,64.3,61.6,41.5,47.9,44.5
Uttar Pradesh,65.6,68.5,67.0,48.7,50.2,49.4,70.9,73.2,72.0,31.0,30.4,30.7,24.3,23.3,23.8
Uttarakhand,89.7,97.0,93.0,76.6,81.4,78.8,96.7,100.0,99.3,61.0,66.1,63.3,50.5,56.9,53.5
West Bengal,100.0,100.0,100.0,84.4,87.1,85.7,100.0,100.0,100.0,65.6,70.7,68.1,38.3,49.0,43.6
