India/State/ UT,Enrolment – Government,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1-12),Total (Pre-Primary to Higher Secondary),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,8015438,8561590,16577028,4827229,5706328,10533557,60913662,63342763,124256425,62537625,64952574,127490199
Andaman and Nicobar Islands,4342,4352,8694,4176,4366,8542,21989,21757,43746,24498,24294,48792
Andhra Pradesh,423300,442989,866289,94884,136016,230900,1902898,2073472,3976370,1939211,2110905,4050116
Arunachal Pradesh,15398,17241,32639,11603,12678,24281,83474,95583,179057,87684,99950,187634
Assam,300201,390714,690915,154415,173517,327932,2271122,2498841,4769963,2395059,2622519,5017578
Bihar,1002718,1119820,2122538,649139,709449,1358588,8614818,8850472,17465290,8615560,8851014,17466574
Chandigarh,13446,12323,25769,13194,12654,25848,72707,67407,140114,80653,75099,155752
Chhattisgarh,298200,337125,635325,177761,242011,419772,1883461,2002152,3885613,1914010,2033160,3947170
"Dadra and Nagar Haveli andDaman and Diu",7804,7645,15449,3108,3901,7009,43565,43211,86776,46894,46439,93333
Delhi,242155,242899,485054,186884,208281,395165,1204143,1251420,2455563,1257571,1313833,2571404
Goa,2444,2380,4824,2070,1878,3948,20534,19347,39881,21482,20240,41722
Gujarat,89858,92552,182410,31343,39930,71273,2491409,2453296,4944705,2751067,2708084,5459151
Haryana,181707,185897,367604,131931,151768,283699,1075370,1121731,2197101,1090942,1139181,2230123
Himachal Pradesh,74111,73880,147991,69941,70694,140635,391457,390961,782418,415889,415956,831845
Jammu and Kashmir,105913,101350,207263,98473,93825,192298,619501,621234,1240735,709515,712128,1421643
Jharkhand,285244,325315,610559,173177,206296,379473,2352806,2452566,4805372,2372016,2471831,4843847
Karnataka,389858,415797,805655,131074,201374,332448,2390955,2573968,4964923,2401343,2584318,4985661
Kerala,157114,145934,303048,193201,191964,385165,841338,810611,1651949,917092,884478,1801570
Ladakh,1968,2412,4380,1704,2011,3715,9981,11915,21896,12178,14097,26275
Lakshadweep,836,833,1669,854,800,1654,5697,5594,11291,6357,6234,12591
Madhya Pradesh,679190,702410,1381600,410640,461965,872605,4229446,4422402,8651848,4239448,4432312,8671760
Maharashtra,121203,120417,241620,34304,37862,72166,2608164,2652001,5260165,2641341,2684230,5325571
Manipur,10703,11721,22424,10218,10640,20858,94121,95560,189681,101229,102279,203508
Meghalaya,4750,6140,10890,3119,4047,7166,173685,174623,348308,211822,209171,420993
Mizoram,7907,8470,16377,4194,4779,8973,59181,57141,116322,65693,63375,129068
Nagaland,7193,9344,16537,4980,6369,11349,53255,61084,114339,67419,74433,141852
Odisha,372813,373944,746757,58820,74149,132969,2609777,2598548,5208325,2610459,2599135,5209594
Puducherry,7304,7485,14789,5954,7650,13604,36669,39073,75742,40603,43134,83737
Punjab,208249,200981,409230,194221,185119,379340,1257667,1198011,2455678,1446483,1377098,2823581
Rajasthan,642407,726558,1368965,485507,552207,1037714,3959649,4384321,8343970,3978214,4403361,8381575
Sikkim,7204,7406,14610,6455,7533,13988,32773,33103,65876,35870,35969,71839
Tamil Nadu,452251,461039,913290,333150,412658,745808,2337226,2438634,4775860,2368929,2471105,4840034
Telangana,259154,284027,543181,130368,173806,304174,1326177,1449350,2775527,1328367,1451346,2779713
Tripura,37985,41969,79954,29873,33301,63174,242710,255877,498587,247561,260475,508036
Uttar Pradesh,172067,222420,394487,101811,150473,252284,7751064,8114104,15865168,7752930,8115651,15868581
Uttarakhand,69276,79102,148378,58651,71403,130054,417535,451539,869074,418113,452034,870147
West Bengal,1359165,1376699,2735864,826032,1048954,1874986,7427338,7551854,14979192,7924123,8043706,15967829
