India/State/ UT,Total Schools,Schools with hand wash facility,Percentage of Schools with hand wash facility,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1471891,1017660,80313,331108,42810,1393942,965138,74986,316437,37381,94.7,94.8,93.4,95.6,87.3
Andaman & Nicobar Islands,412,340,2,70,0,412,340,2,70,0,100,100,100,100,0
Andhra Pradesh,61373,45000,991,15232,150,61106,44748,983,15225,150,99.6,99.4,99.2,100,100
Arunachal Pradesh,3490,2847,72,529,42,1763,1160,69,497,37,50.5,40.7,95.8,94,88.1
Assam,56630,45008,2267,5725,3630,52307,43933,1533,5174,1667,92.4,97.6,67.6,90.4,45.9
Bihar,94686,78120,723,9167,6676,77311,62681,568,8246,5816,81.6,80.2,78.6,90,87.1
Chandigarh,230,119,7,77,27,230,119,7,77,27,100,100,100,100,100
Chhattisgarh,56615,48803,414,7153,245,55774,48021,412,7101,240,98.5,98.4,99.5,99.3,98
"Dadra & Nagar Haveli andDaman & Diu",432,360,8,63,1,432,360,8,63,1,100,100,100,100,100
Delhi,5497,2693,239,2565,0,5497,2693,239,2565,0,100,100,100,100,0
Goa,1487,789,557,141,0,1487,789,557,141,0,100,100,100,100,0
Gujarat,53626,34597,5535,13490,4,52551,34272,5154,13121,4,98,99.1,93.1,97.3,100
Haryana,23517,14374,5,8415,723,23465,14345,5,8394,721,99.8,99.8,100,99.8,99.7
Himachal Pradesh,17826,15217,0,2607,2,17736,15130,0,2604,2,99.5,99.4,0,99.9,100
Jammu & Kashmir,24296,18785,1,5452,58,22615,17210,1,5349,55,93.1,91.6,100,98.1,94.8
Jharkhand,44475,35795,1146,1634,5900,41775,33569,1033,1570,5603,93.9,93.8,90.1,96.1,95
Karnataka,75869,49306,7013,19542,8,70500,45393,6658,18441,8,92.9,92.1,94.9,94.4,100
Kerala,15864,4809,7162,3082,811,15844,4802,7155,3078,809,99.9,99.9,99.9,99.9,99.8
Ladakh,995,841,40,114,0,708,570,34,104,0,71.2,67.8,85,91.2,0
Lakshadweep,37,37,0,0,0,36,36,0,0,0,97.3,97.3,0,0,0
Madhya Pradesh,123412,92439,581,28910,1482,115446,85333,559,28136,1418,93.5,92.3,96.2,97.3,95.7
Maharashtra,108237,65157,24173,18642,265,106930,64097,24023,18545,265,98.8,98.4,99.4,99.5,100
Manipur,4646,2934,584,1010,118,3694,2231,452,921,90,79.5,76,77.4,91.2,76.3
Meghalaya,14601,7779,4168,2152,502,5942,3137,1772,815,218,40.7,40.3,42.5,37.9,43.4
Mizoram,3941,2587,230,1064,60,2934,2016,130,744,44,74.4,77.9,56.5,69.9,73.3
Nagaland,2725,1952,0,772,1,1850,1209,0,640,1,67.9,61.9,0,82.9,100
Odisha,61693,48671,5907,6042,1073,61341,48472,5811,6005,1053,99.4,99.6,98.4,99.4,98.1
Puducherry,735,420,33,282,0,735,420,33,282,0,100,100,100,100,0
Punjab,27404,19242,444,7704,14,27372,19220,443,7695,14,99.9,99.9,99.8,99.9,100
Rajasthan,107757,70233,0,34729,2795,103947,67723,0,33707,2517,96.5,96.4,0,97.1,90.1
Sikkim,1254,864,16,374,0,1226,842,14,370,0,97.8,97.5,87.5,98.9,0
Tamil Nadu,58722,37672,8314,12481,255,58106,37648,8278,11956,224,99,99.9,99.6,95.8,87.8
Telangana,42901,30022,662,12126,91,39507,27176,535,11723,73,92.1,90.5,80.8,96.7,80.2
Tripura,4923,4238,42,395,248,4416,3796,41,374,205,89.7,89.6,97.6,94.7,82.7
Uttar Pradesh,255087,137102,8291,96635,13059,244750,134752,7807,90372,11819,95.9,98.3,94.2,93.5,90.5
Uttarakhand,22551,16201,614,5252,484,22000,15771,601,5157,471,97.6,97.3,97.9,98.2,97.3
West Bengal,93945,82307,72,7480,4086,92197,81124,69,7175,3829,98.1,98.6,95.8,95.9,93.7
