India/State/ UT,Total Schools,"Number of schools having ramps with handrails forCWSN","Percentage of Schools having ramps with handrailsfor CWSN",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1471891,1017660,80313,331108,42810,769906,605858,46379,111639,6030,52.3,59.5,57.7,33.7,14.1
Andaman & Nicobar Islands,412,340,2,70,0,151,132,1,18,0,36.7,38.8,50,25.7,0
Andhra Pradesh,61373,45000,991,15232,150,36403,26495,537,9299,72,59.3,58.9,54.2,61,48
Arunachal Pradesh,3490,2847,72,529,42,688,602,13,65,8,19.7,21.1,18.1,12.3,19
Assam,56630,45008,2267,5725,3630,39132,38358,116,564,94,69.1,85.2,5.1,9.9,2.6
Bihar,94686,78120,723,9167,6676,20473,18118,88,1409,858,21.6,23.2,12.2,15.4,12.9
Chandigarh,230,119,7,77,27,131,76,4,48,3,57,63.9,57.1,62.3,11.1
Chhattisgarh,56615,48803,414,7153,245,31675,29494,161,1982,38,55.9,60.4,38.9,27.7,15.5
"Dadra & Nagar Haveli andDaman & Diu",432,360,8,63,1,413,349,6,57,1,95.6,96.9,75,90.5,100
Delhi,5497,2693,239,2565,0,5333,2630,215,2488,0,97,97.7,90,97,0
Goa,1487,789,557,141,0,841,696,120,25,0,56.6,88.2,21.5,17.7,0
Gujarat,53626,34597,5535,13490,4,32640,26630,1969,4040,1,60.9,77,35.6,29.9,25
Haryana,23517,14374,5,8415,723,10739,7326,3,3274,136,45.7,51,60,38.9,18.8
Himachal Pradesh,17826,15217,0,2607,2,12893,12380,0,513,0,72.3,81.4,0,19.7,0
Jammu & Kashmir,24296,18785,1,5452,58,3206,2787,0,418,1,13.2,14.8,0,7.7,1.7
Jharkhand,44475,35795,1146,1634,5900,17570,16411,139,373,647,39.5,45.8,12.1,22.8,11
Karnataka,75869,49306,7013,19542,8,47757,36992,3114,7648,3,62.9,75,44.4,39.1,37.5
Kerala,15864,4809,7162,3082,811,10637,4055,5245,1096,241,67.1,84.3,73.2,35.6,29.7
Ladakh,995,841,40,114,0,204,188,2,14,0,20.5,22.4,5,12.3,0
Lakshadweep,37,37,0,0,0,30,30,0,0,0,81.1,81.1,0,0,0
Madhya Pradesh,123412,92439,581,28910,1482,41178,30925,180,9873,200,33.4,33.5,31,34.2,13.5
Maharashtra,108237,65157,24173,18642,265,87665,55780,18859,12888,138,81,85.6,78,69.1,52.1
Manipur,4646,2934,584,1010,118,1065,909,70,81,5,22.9,31,12,8,4.2
Meghalaya,14601,7779,4168,2152,502,3307,2733,389,155,30,22.6,35.1,9.3,7.2,6
Mizoram,3941,2587,230,1064,60,746,680,13,50,3,18.9,26.3,5.7,4.7,5
Nagaland,2725,1952,0,772,1,490,434,0,56,0,18,22.2,0,7.3,0
Odisha,61693,48671,5907,6042,1073,51633,42666,4004,4272,691,83.7,87.7,67.8,70.7,64.4
Puducherry,735,420,33,282,0,366,307,4,55,0,49.8,73.1,12.1,19.5,0
Punjab,27404,19242,444,7704,14,16674,14220,88,2362,4,60.8,73.9,19.8,30.7,28.6
Rajasthan,107757,70233,0,34729,2795,35974,28241,0,7572,161,33.4,40.2,0,21.8,5.8
Sikkim,1254,864,16,374,0,327,315,2,10,0,26.1,36.5,12.5,2.7,0
Tamil Nadu,58722,37672,8314,12481,255,58090,37632,8278,11956,224,98.9,99.9,99.6,95.8,87.8
Telangana,42901,30022,662,12126,91,12923,7702,91,5102,28,30.1,25.7,13.7,42.1,30.8
Tripura,4923,4238,42,395,248,1831,1693,14,68,56,37.2,39.9,33.3,17.2,22.6
Uttar Pradesh,255087,137102,8291,96635,13059,126744,101111,2504,21415,1714,49.7,73.7,30.2,22.2,13.1
Uttarakhand,22551,16201,614,5252,484,10226,8522,141,1514,49,45.3,52.6,23,28.8,10.1
West Bengal,93945,82307,72,7480,4086,49751,48239,9,879,624,53,58.6,12.5,11.8,15.3
