India/State/ UT,New Admissions in Class 1 – All types of management,,,,,,,,,,,
"",Total,Boys,Girls,,,,,,,,,
"","Admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,,,,,,
"","sameschool","anotherschool","Anganwadi/ ECCECentre","sameschool","anotherschool","Anganwadi/ ECCECentre","sameschool","anotherschool","Anganwadi/ ECCECentre",,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,18738114,7372642,1270501,5031726,9812554,3946912,694556,2514832,8925560,3425730,575945,2516894
Andaman and Nicobar Islands,4332,2833,1046,262,2187,1419,527,137,2145,1414,519,125
Andhra Pradesh,641697,270155,89384,241385,331881,145359,48961,116560,309816,124796,40423,124825
Arunachal Pradesh,34503,18821,5004,4497,17724,9705,2588,2223,16779,9116,2416,2274
Assam,656752,414739,26203,133902,338237,215634,13776,66866,318515,199105,12427,67036
Bihar,1435878,405010,41908,418101,766758,236874,24196,210866,669120,168136,17712,207235
Chandigarh,9913,6305,1692,299,5216,3303,926,163,4697,3002,766,136
Chhattisgarh,493343,131434,22832,258238,252496,69821,12025,128798,240847,61613,10807,129440
"Dadra and Nagar Haveli andDaman and Diu",12032,3960,1137,1722,6409,2136,618,902,5623,1824,519,820
Delhi,309542,152933,43723,4198,161870,74049,26391,2244,147672,78884,17332,1954
Goa,22996,12619,2836,2869,12017,6532,1540,1483,10979,6087,1296,1386
Gujarat,340102,128268,39893,77062,188872,72483,22796,40807,151230,55785,17097,36255
Haryana,380308,190179,41800,35915,205726,105794,23218,17909,174582,84385,18582,18006
Himachal Pradesh,98603,61556,6989,14099,50990,31967,3734,6975,47613,29589,3255,7124
Jammu and Kashmir,222470,171386,17314,6228,115163,88489,9468,3148,107307,82897,7846,3080
Jharkhand,573451,186229,10413,201003,298953,102174,5840,100195,274498,84055,4573,100808
Karnataka,945325,329220,88818,391940,490102,176021,47278,196008,455223,153199,41540,195932
Kerala,432287,297248,53241,57564,219739,150956,27051,29020,212548,146292,26190,28544
Ladakh,4569,3938,407,99,2321,1982,219,45,2248,1956,188,54
Lakshadweep,1053,272,472,229,539,149,237,115,514,123,235,114
Madhya Pradesh,1255793,503371,72852,449962,655595,273095,40540,222615,600198,230276,32312,227347
Maharashtra,1777223,396903,134104,838519,922022,210624,72822,425385,855201,186279,61282,413134
Manipur,62357,37568,8601,9141,32513,19420,4589,4835,29844,18148,4012,4306
Meghalaya,121542,109315,5826,2554,62783,56375,3034,1319,58759,52940,2792,1235
Mizoram,35001,24580,3856,3914,17828,12590,1949,1987,17173,11990,1907,1927
Nagaland,36171,31242,4073,178,18572,16077,2054,85,17599,15165,2019,93
Odisha,646672,81670,19624,489256,332685,45207,10768,246517,313987,36463,8856,242739
Puducherry,16258,11755,3249,346,8405,6151,1581,186,7853,5604,1668,160
Punjab,428125,329493,49599,8456,227485,174871,26943,4436,200640,154622,22656,4020
Rajasthan,1357919,354672,48085,192308,726699,198106,26915,94384,631220,156566,21170,97924
Sikkim,8064,6482,1346,79,4237,3383,719,46,3827,3099,627,33
Tamil Nadu,900249,419603,94194,33657,463743,221427,49658,17151,436506,198176,44536,16506
Telangana,606501,306866,100740,137895,314411,161561,54119,67356,292090,145305,46621,70539
Tripura,52572,15093,3009,27154,26778,7892,1560,13558,25794,7201,1449,13596
Uttar Pradesh,3211554,891503,184197,806744,1707466,500238,103902,397645,1504088,391265,80295,409099
Uttarakhand,194186,70574,17487,51188,102897,38460,9475,25813,91289,32114,8012,25375
West Bengal,1408771,994847,24547,130763,721235,506588,12539,67050,687536,488259,12008,63713
