India/State/ UT,Total Schools,Schools with Kitchen Garden facility available,"Percentage of Schools with Kitchen Garden facilityavailable",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1471891,1017660,80313,331108,42810,533342,409597,35187,81968,6590,36.2,40.2,43.8,24.8,15.4
Andaman & Nicobar Islands,412,340,2,70,0,324,291,1,32,0,78.6,85.6,50,45.7,0
Andhra Pradesh,61373,45000,991,15232,150,44837,34918,801,9032,86,73.1,77.6,80.8,59.3,57.3
Arunachal Pradesh,3490,2847,72,529,42,923,594,45,273,11,26.4,20.9,62.5,51.6,26.2
Assam,56630,45008,2267,5725,3630,35558,33497,458,1118,485,62.8,74.4,20.2,19.5,13.4
Bihar,94686,78120,723,9167,6676,17037,13487,115,2215,1220,18,17.3,15.9,24.2,18.3
Chandigarh,230,119,7,77,27,183,115,5,56,7,79.6,96.6,71.4,72.7,25.9
Chhattisgarh,56615,48803,414,7153,245,29451,27161,229,1991,70,52,55.7,55.3,27.8,28.6
"Dadra & Nagar Haveli andDaman & Diu",432,360,8,63,1,345,317,6,22,0,79.9,88.1,75,34.9,0
Delhi,5497,2693,239,2565,0,4212,2222,184,1806,0,76.6,82.5,77,70.4,0
Goa,1487,789,557,141,0,1045,724,273,48,0,70.3,91.8,49,34,0
Gujarat,53626,34597,5535,13490,4,25777,22750,764,2263,0,48.1,65.8,13.8,16.8,0
Haryana,23517,14374,5,8415,723,9655,7239,1,2275,140,41.1,50.4,20,27,19.4
Himachal Pradesh,17826,15217,0,2607,2,13825,12747,0,1077,1,77.6,83.8,0,41.3,50
Jammu & Kashmir,24296,18785,1,5452,58,4664,3404,1,1247,12,19.2,18.1,100,22.9,20.7
Jharkhand,44475,35795,1146,1634,5900,10261,8207,365,496,1193,23.1,22.9,31.8,30.4,20.2
Karnataka,75869,49306,7013,19542,8,24569,16256,2903,5407,3,32.4,33,41.4,27.7,37.5
Kerala,15864,4809,7162,3082,811,11823,3930,5801,1731,361,74.5,81.7,81,56.2,44.5
Ladakh,995,841,40,114,0,161,121,10,30,0,16.2,14.4,25,26.3,0
Lakshadweep,37,37,0,0,0,36,36,0,0,0,97.3,97.3,0,0,0
Madhya Pradesh,123412,92439,581,28910,1482,22089,17174,90,4667,158,17.9,18.6,15.5,16.1,10.7
Maharashtra,108237,65157,24173,18642,265,48935,32769,11100,4996,70,45.2,50.3,45.9,26.8,26.4
Manipur,4646,2934,584,1010,118,1815,1064,216,512,23,39.1,36.3,37,50.7,19.5
Meghalaya,14601,7779,4168,2152,502,2113,1240,635,189,49,14.5,15.9,15.2,8.8,9.8
Mizoram,3941,2587,230,1064,60,1483,1290,35,150,8,37.6,49.9,15.2,14.1,13.3
Nagaland,2725,1952,0,772,1,1215,906,0,309,0,44.6,46.4,0,40,0
Odisha,61693,48671,5907,6042,1073,57332,47378,4941,4307,706,92.9,97.3,83.6,71.3,65.8
Puducherry,735,420,33,282,0,180,107,2,71,0,24.5,25.5,6.1,25.2,0
Punjab,27404,19242,444,7704,14,20671,16697,331,3636,7,75.4,86.8,74.5,47.2,50
Rajasthan,107757,70233,0,34729,2795,30211,23374,0,6532,305,28,33.3,0,18.8,10.9
Sikkim,1254,864,16,374,0,605,500,7,98,0,48.2,57.9,43.8,26.2,0
Tamil Nadu,58722,37672,8314,12481,255,22367,11305,3865,7150,47,38.1,30,46.5,57.3,18.4
Telangana,42901,30022,662,12126,91,5067,3985,49,1028,5,11.8,13.3,7.4,8.5,5.5
Tripura,4923,4238,42,395,248,1515,1375,10,103,27,30.8,32.4,23.8,26.1,10.9
Uttar Pradesh,255087,137102,8291,96635,13059,53293,36543,1543,14068,1139,20.9,26.7,18.6,14.6,8.7
Uttarakhand,22551,16201,614,5252,484,15226,12563,393,2122,148,67.5,77.5,64,40.4,30.6
West Bengal,93945,82307,72,7480,4086,14539,13311,8,911,309,15.5,16.2,11.1,12.2,7.6
