India/State/ UT,Gross Enrolment Ratio (GER) – All Social Groups,,,,,,,,,,,,,,
"",Primary (1 to 5),Upper Primary (6 to 8),Elementary (1 to 8),Secondary (9-10),Higher Secondary (11-12),,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,91.8,94.3,93.0,88.9,90.6,89.7,90.7,92.9,91.7,76.8,78.0,77.4,54.4,58.2,56.2
Andaman and Nicobar Islands,86.7,86.6,86.7,93.0,94.9,93.9,89.2,89.8,89.5,88.0,96.3,91.9,76.7,95.2,85.2
Andhra Pradesh,95.9,96.8,96.3,103.2,101.5,102.4,98.6,98.6,98.6,96.9,94.8,95.9,62.9,67.9,65.4
Arunachal Pradesh,113.6,115.7,114.6,85.7,92.9,89.3,102.2,106.3,104.2,65.1,70.5,67.8,43.2,48.6,45.9
Assam,107.6,113.8,110.5,86.2,98.7,92.3,99.3,107.9,103.5,68.3,85.5,76.7,35.4,39.9,37.6
Bihar,82.5,84.4,83.4,67.3,69.5,68.4,76.8,78.6,77.7,43.1,48.3,45.6,28.7,31.3,30.0
Chandigarh,97.7,104.0,100.6,114.7,129.3,121.1,104.4,113.3,108.4,103.0,118.3,109.7,100.1,122.1,109.3
Chhattisgarh,88.9,90.0,89.4,89.4,91.0,90.2,89.1,90.4,89.7,72.8,79.7,76.2,45.5,58.5,51.9
"Dadra and Nagar Haveli and Damanand Diu",106.9,108.5,107.7,105.7,110.0,107.7,106.5,109.1,107.7,97.7,114.1,105.0,42.3,74.2,54.5
Delhi,98.8,107.4,102.6,113.9,120.5,116.9,104.5,112.3,108.0,100.8,105.4,102.9,78.4,88.9,83.2
Goa,123.0,120.0,121.6,114.3,117.4,115.8,119.6,119.0,119.3,105.7,110.8,108.1,85.8,99.3,92.2
Gujarat,78.7,82.5,80.4,91.2,93.2,92.1,83.4,86.5,84.8,76.0,72.5,74.4,41.6,46.6,43.9
Haryana,90.6,91.5,91.0,101.1,100.9,101.0,94.5,95.0,94.7,90.6,89.0,89.9,63.5,68.1,65.6
Himachal Pradesh,105.3,107.0,106.1,102.8,104.9,103.8,104.3,106.1,105.2,98.4,102.1,100.1,78.8,84.8,81.6
Jammu and Kashmir,114.0,114.5,114.2,75.6,78.5,77.0,96.7,98.8,97.7,64.7,66.3,65.4,41.6,44.1,42.8
Jharkhand,92.0,93.2,92.6,82.4,84.2,83.3,88.4,89.7,89.0,59.8,64.7,62.2,39.8,42.8,41.3
Karnataka,105.8,107.8,106.8,105.1,104.8,105.0,105.6,106.6,106.1,100.2,101.7,100.9,53.1,64.3,58.5
Kerala,95.3,95.5,95.4,100.5,100.7,100.6,97.3,97.5,97.4,98.8,99.1,98.9,86.0,90.2,88.1
Ladakh,107.6,105.9,106.8,83.4,96.1,89.4,98.1,102.2,100.1,76.1,96.9,85.9,43.1,49.6,46.4
Lakshadweep,100.6,97.7,99.2,79.3,81.3,80.3,92.4,90.9,91.7,71.0,74.4,72.7,74.5,68.7,71.6
Madhya Pradesh,78.9,79.0,78.9,82.8,82.1,82.4,80.3,80.1,80.2,67.6,66.4,67.0,43.0,44.8,43.9
Maharashtra,100.1,107.0,103.3,97.6,98.8,98.2,99.2,103.8,101.3,93.0,92.1,92.6,68.6,69.9,69.2
Manipur,135.2,138.6,136.8,89.2,93.4,91.2,116.1,119.5,117.7,74.4,77.6,75.9,56.3,56.5,56.4
Meghalaya,176.5,180.4,178.4,105.8,125.2,115.3,148.2,158.1,153.0,73.0,96.7,84.7,32.6,47.3,39.8
Mizoram,151.2,152.4,151.8,111.5,116.0,113.7,135.2,137.7,136.4,92.7,103.7,98.1,49.4,57.5,53.3
Nagaland,92.0,95.7,93.8,68.5,75.7,72.0,82.3,87.4,84.7,55.5,65.2,60.2,36.8,44.2,40.4
Odisha,96.0,95.6,95.8,97.1,96.2,96.7,96.4,95.8,96.1,81.5,82.6,82.1,56.7,60.7,58.6
Puducherry,97.4,96.8,97.1,100.7,101.5,101.0,98.7,98.6,98.7,96.8,102.5,99.5,83.2,99.3,90.9
Punjab,107.3,107.6,107.5,102.0,103.1,102.5,105.3,105.9,105.6,90.4,94.2,92.1,77.2,81.6,79.2
Rajasthan,93.7,96.8,95.1,90.8,91.1,90.9,92.6,94.6,93.6,81.2,79.0,80.2,63.0,60.8,62.0
Sikkim,100.6,95.9,98.3,77.5,78.6,78.0,90.5,88.3,89.5,72.5,75.9,74.2,51.8,63.0,57.4
Tamil Nadu,94.6,97.1,95.8,102.3,102.9,102.6,97.6,99.4,98.4,96.9,98.1,97.5,77.3,88.8,82.9
Telangana,110.0,112.6,111.2,109.7,111.7,110.6,109.9,112.2,111.0,95.7,98.7,97.2,69.4,75.4,72.3
Tripura,118.7,123.2,120.9,95.0,100.3,97.6,108.8,113.6,111.1,75.9,82.6,79.2,53.1,60.5,56.6
Uttar Pradesh,82.0,84.0,82.9,77.6,80.2,78.8,80.4,82.6,81.4,65.0,62.4,63.8,54.5,51.7,53.2
Uttarakhand,110.5,116.6,113.3,102.5,106.8,104.5,107.4,112.8,109.9,90.8,95.6,93.0,73.9,81.5,77.5
West Bengal,108.8,110.4,109.6,101.2,103.2,102.2,105.8,107.6,106.7,98.5,104.2,101.3,57.0,75.5,66.1
