India/State/ UT,Percentage of Professionally Qualified Teachers – All Types of Management,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,63.4,46.6,52.4,90.0,87.0,88.2,89.2,88.8,89.0
Andaman & Nicobar Islands,39.3,38.8,38.9,95.9,95.9,95.9,92.5,91.7,92.0
Andhra Pradesh,15.5,23.5,22.2,96.5,95.7,96.0,91.9,93.6,92.7
Arunachal Pradesh,33.7,27.6,28.8,84.5,78.4,81.3,85.8,86.0,85.9
Assam,34.5,30.0,32.0,74.7,71.9,73.4,63.9,68.4,65.8
Bihar,31.0,29.4,29.8,87.1,85.6,86.4,83.8,83.1,83.5
Chandigarh,62.5,41.7,42.1,95.3,92.7,93.2,90.2,87.5,88.1
Chhattisgarh,31.1,25.7,26.2,92.2,81.2,86.2,93.9,85.6,89.9
"Dadra & Nagar Haveli and Daman &Diu",30.0,52.3,51.4,95.8,90.1,91.8,91.5,93.1,92.6
Delhi,49.1,61.4,61.1,97.8,96.3,96.6,96.2,96.4,96.4
Goa,69.2,63.5,63.6,97.4,97.3,97.3,95.5,97.8,97.3
Gujarat,53.1,48.4,48.9,96.7,93.0,94.3,94.6,93.2,93.8
Haryana,50.9,34.8,35.3,95.1,87.7,89.8,90.8,89.4,89.9
Himachal Pradesh,52.7,45.2,47.0,97.2,94.6,95.5,93.7,94.1,93.9
Jammu & Kashmir,9.1,13.2,11.8,76.4,61.9,68.6,77.3,66.9,72.5
Jharkhand,45.9,32.3,35.3,87.8,82.3,85.6,87.6,85.5,86.8
Karnataka,39.4,63.7,63.0,96.9,94.8,95.5,95.8,95.4,95.5
Kerala,67.4,85.0,84.9,98.0,97.7,97.8,95.9,96.6,96.5
Ladakh,17.8,24.1,22.0,82.4,76.5,79.2,84.4,79.7,82.2
Lakshadweep,16.7,97.8,88.5,95.4,95.1,95.2,93.9,94.2,94.1
Madhya Pradesh,22.3,21.0,21.2,92.3,83.5,87.7,91.0,85.2,87.9
Maharashtra,41.1,53.2,52.5,97.3,94.1,95.5,95.2,93.3,94.2
Manipur,40.2,44.7,43.9,77.4,75.8,76.4,71.8,77.9,75.1
Meghalaya,29.5,25.7,26.7,64.7,61.1,62.4,73.2,74.1,73.7
Mizoram,33.7,44.3,41.9,86.5,82.1,84.0,90.3,87.0,88.8
Nagaland,37.7,46.6,44.5,66.1,67.2,66.8,66.4,69.7,68.2
Odisha,29.8,28.7,28.8,95.4,92.2,93.7,95.3,94.2,94.7
Puducherry,57.9,52.9,53.0,94.4,94.9,94.8,88.3,94.1,92.7
Punjab,26.0,32.2,31.2,92.9,87.9,88.9,90.3,88.1,88.6
Rajasthan,24.5,26.1,25.8,92.7,85.2,89.1,93.9,90.1,92.4
Sikkim,25.0,36.1,35.1,75.4,74.9,75.1,77.5,80.6,79.3
Tamil Nadu,4.9,20.2,19.1,99.5,99.4,99.4,98.4,98.9,98.8
Telangana,24.4,37.4,36.1,95.0,87.5,89.6,90.9,89.9,90.3
Tripura,29.1,27.1,27.8,64.1,67.8,65.4,87.8,88.8,88.2
Uttar Pradesh,25.3,31.7,30.9,85.6,81.4,83.3,85.4,82.5,84.0
Uttarakhand,27.2,30.1,29.9,91.3,84.0,86.3,92.8,88.8,90.5
West Bengal,73.1,63.1,68.5,90.1,80.7,85.7,93.4,92.9,93.2
