India/State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,248045828,127490199,1392570,275714,120000,125701915,25547841,90036939,4970849
Andaman & Nicobar Islands,72119,48792,3017,828,0,44947,1818,21509,0
Andhra Pradesh,8741885,4050116,31417,6354,2365,4009980,125484,4553380,12905
Arunachal Pradesh,323717,187634,9769,5449,562,171854,21377,110521,4185
Assam,6922533,5017578,55500,13188,4328,4944562,172353,1572888,159714
Bihar,21348149,17466574,53052,17551,2052,17393919,124583,2665104,1091888
Chandigarh,265706,155752,7106,591,1627,146428,8657,93320,7977
Chhattisgarh,5776548,3947170,37156,10991,4362,3894661,69807,1751381,8190
"Dadra & Nagar Haveli andDaman & Diu",141282,93333,1556,1123,69,90585,6909,40894,146
Delhi,4506578,2571404,122864,705,0,2447835,139244,1795930,0
Goa,304735,41722,4612,767,0,36343,222203,40810,0
Gujarat,11496709,5459151,41616,12653,2260,5402622,1631947,4404561,1050
Haryana,5599742,2230123,35247,10381,2235,2182260,1570,3283671,84378
Himachal Pradesh,1426412,831845,15164,5798,2231,808652,0,594536,31
Jammu & Kashmir,2629949,1421643,29541,6725,0,1385377,184,1203064,5058
Jharkhand,7143255,4843847,34090,11620,6180,4791957,282701,1177005,839702
Karnataka,11926303,4985661,62509,14023,4806,4904323,1459389,5480677,576
Kerala,6281704,1801570,53930,7085,1108,1739447,2749252,1632854,98028
Ladakh,56642,26275,1020,866,209,24180,698,29669,0
Lakshadweep,12591,12591,328,185,0,12078,0,0,0
Madhya Pradesh,15361543,8671760,115339,24239,5459,8526723,94362,6538539,56882
Maharashtra,21375970,5325571,79005,14825,12278,5219463,9772608,6236610,41181
Manipur,647434,203508,5784,5320,4141,188263,26569,406852,10505
Meghalaya,1052884,420993,5200,4374,0,411419,345289,249096,37506
Mizoram,293763,129068,1859,1721,350,125138,20009,137989,6697
Nagaland,412975,141852,1759,2531,707,136855,0,271019,104
Odisha,7756910,5209594,64580,14433,5492,5125089,970759,1483582,92975
Puducherry,244828,83737,4672,1673,0,77392,22045,139046,0
Punjab,5988681,2823581,50685,10815,3690,2758391,182357,2981950,793
Rajasthan,16786065,8381575,72653,17208,3709,8288005,0,8261495,142995
Sikkim,121395,71839,857,1365,45,69572,776,48780,0
Tamil Nadu,12993050,4840034,62716,0,11406,4765912,2097347,6027396,28273
Telangana,7293644,2779713,36911,3752,8002,2731048,78945,4431380,3606
Tripura,689408,508036,7021,3051,0,497964,27015,140763,13594
Uttar Pradesh,41662794,15868581,171541,30622,13858,15652560,4711804,19750184,1332225
Uttarakhand,2372400,870147,41616,5914,2153,820464,149714,1290260,62279
West Bengal,18015525,15967829,70878,6988,14316,15875647,30066,1190224,827406
