India/State /UT,Number of teachers by Classes Taught – All types of Management,,,,,,,,,
"",Total,"Pre-PrimaryOnly","Pre-PrimaryandPrimary","PrimaryOnly","PrimaryandUpperPrimary","UpperPrimaryOnly","UpperPrimaryandSecondary","SecondaryOnly","SecondaryandHigherSecondary","HigherSecondaryOnly"
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,9807600,116407,425074,3514975,1081425,1665128,771984,1115711,464940,651956
Andaman & Nicobar Islands,5750,479,191,1716,336,606,986,457,368,611
Andhra Pradesh,338293,2883,13785,113744,27666,19618,94565,31147,3919,30966
Arunachal Pradesh,24700,252,677,9185,4662,4172,1570,2301,892,989
Assam,342199,1165,10758,134180,27122,62915,40593,37799,9296,18371
Bihar,657063,1770,3731,249328,102267,187378,8057,51424,23731,29377
Chandigarh,10237,635,182,2705,845,971,2471,693,727,1008
Chhattisgarh,278798,3630,5609,108972,19736,68735,7000,18426,33485,13205
"Dadra & Nagar Haveli andDaman & Diu",4995,443,49,1762,253,962,160,709,223,434
Delhi,160479,7205,968,52842,2358,29538,9316,28323,2646,27283
Goa,14594,608,133,4236,395,1284,3420,2087,121,2310
Gujarat,394053,4295,4860,161849,25289,102894,5794,46371,12067,30634
Haryana,250909,3487,2069,86104,18910,39299,23894,16258,47281,13607
Himachal Pradesh,101131,1339,3101,25692,6785,13477,19996,8754,7867,14120
Jammu & Kashmir,167046,3768,10704,56694,15086,42263,4726,22387,1212,10206
Jharkhand,206591,1467,3508,87961,35557,34860,9829,19594,5677,8138
Karnataka,433942,5487,3910,112127,119384,38986,19031,92116,2458,40443
Kerala,291096,17435,1550,86806,10851,59036,9077,60982,4942,40417
Ladakh,6432,153,537,1398,1784,783,780,437,166,394
Lakshadweep,911,45,7,302,77,94,63,132,82,109
Madhya Pradesh,639525,8938,15606,258116,112591,101082,30715,43454,41886,27137
Maharashtra,738114,5086,3760,306990,68398,105314,49973,122781,8851,66961
Manipur,40921,518,1810,15346,5977,4492,4350,3636,1380,3412
Meghalaya,55726,663,4275,21053,1450,14989,1690,8210,596,2800
Mizoram,23013,136,241,7261,1211,7858,100,4215,40,1951
Nagaland,32602,605,1672,11842,4313,5822,2632,3347,933,1436
Odisha,335496,1037,1870,115991,78741,38015,23408,53353,2728,20353
Puducherry,13202,802,239,4011,1304,1147,2127,1179,879,1514
Punjab,273092,10040,17391,72811,16433,37648,32863,41264,15111,29531
Rajasthan,775745,7406,11631,232869,131366,128200,95256,47718,82176,39123
Sikkim,15489,770,476,6256,778,2427,1187,1578,611,1406
Tamil Nadu,550558,5214,4638,186947,44018,79997,49474,126392,6959,46919
Telangana,341460,6038,10860,103074,45586,29446,72227,40514,5711,28004
Tripura,37661,160,582,14856,1513,7428,2323,5264,1518,4017
Uttar Pradesh,1538479,7918,10013,771031,125743,305017,51894,128492,70298,68073
Uttarakhand,130741,1994,2301,46709,11529,19924,10585,15474,9182,13043
West Bengal,576557,2536,271380,42209,11111,68451,79852,28443,58921,13654
