India/State/ UT,Age-Specific Enrolment Rate (ASER),,,,,,,,,,,,,,
"",Age 6-10 years,Age 11-13 years,Age 6-13 years,Age 14-15 years,Age 16-17 years,,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,82.7,88.2,85.3,88.4,90.0,89.2,84.8,88.9,86.7,75.9,78.2,77.0,74.3,76.7,75.5
Andaman and Nicobar Islands,94.6,96.1,95.4,93.5,96.6,95.0,94.2,96.3,95.2,84.5,94.8,89.4,44.8,50.7,47.5
Andhra Pradesh,85.2,89.3,87.1,99.7,98.1,98.9,90.6,92.6,91.6,94.0,91.6,92.9,64.4,64.2,64.3
Arunachal Pradesh,97.3,100.0,99.8,77.3,81.5,79.4,88.8,93.4,91.1,65.3,69.2,67.2,38.0,39.1,38.5
Assam,78.6,85.6,81.9,86.9,92.9,89.9,81.8,88.5,85.1,76.1,87.0,81.4,54.2,64.7,59.4
Bihar,72.0,79.3,75.4,63.5,67.8,65.5,68.8,74.9,71.6,46.1,53.6,49.6,22.8,26.9,24.7
Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,71.0,82.5,75.8
Chhattisgarh,85.3,87.3,86.2,91.5,93.4,92.5,87.5,89.5,88.5,65.2,73.3,69.2,35.9,43.1,39.4
"Dadra and Nagar Haveli andDaman and Diu",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.4,100.0,98.4,35.6,53.4,42.5
Delhi,93.1,100.0,97.7,100.0,100.0,100.0,99.8,100.0,100.0,100.0,100.0,100.0,80.6,88.4,84.2
Goa,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.4,100.0,95.6
Gujarat,74.2,79.0,76.4,96.8,97.9,97.4,82.5,86.1,84.1,85.1,81.8,83.5,44.5,47.0,45.7
Haryana,77.1,81.6,79.2,100.0,100.0,100.0,85.9,88.7,87.2,94.0,93.1,93.5,69.7,69.2,69.5
Himachal Pradesh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.9,95.0,92.3,31.5,29.8,30.7
Jammu and Kashmir,100.0,100.0,100.0,68.1,71.9,69.8,89.8,93.0,91.3,56.0,57.6,56.7,26.7,27.1,26.9
Jharkhand,68.9,71.9,70.3,80.7,80.6,80.7,73.5,75.3,74.4,76.9,77.0,77.0,49.2,51.0,50.1
Karnataka,90.4,93.0,91.7,100.0,100.0,100.0,96.8,98.4,97.6,100.0,100.0,100.0,64.9,72.7,68.6
Kerala,82.4,83.8,83.1,100.0,100.0,100.0,89.2,90.2,89.7,98.2,99.2,98.7,89.1,92.3,90.7
Ladakh,92.7,91.1,92.0,82.9,96.6,89.5,88.8,93.2,91.0,68.4,84.1,75.9,53.9,59.3,56.6
Lakshadweep,99.8,96.2,98.0,76.7,78.8,77.7,90.9,89.0,89.9,71.0,78.1,74.4,58.8,50.9,54.8
Madhya Pradesh,70.3,76.5,73.2,80.1,84.2,82.0,73.8,79.3,76.3,62.5,65.8,64.1,32.5,33.5,33.0
Maharashtra,100.0,100.0,100.0,97.7,97.4,97.5,99.2,100.0,100.0,82.2,82.8,82.5,44.0,42.2,43.2
Manipur,100.0,100.0,100.0,82.9,86.2,84.5,100.0,100.0,100.0,68.1,69.5,68.8,40.7,40.3,40.5
Meghalaya,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.7,97.4,88.9,47.4,61.3,54.2
Mizoram,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.1,96.0,93.0,57.0,60.9,58.9
Nagaland,79.1,84.5,81.7,63.1,68.6,65.7,72.2,77.6,74.8,54.0,61.5,57.5,36.6,41.4,38.9
Odisha,95.8,96.0,95.9,93.0,92.4,92.7,94.8,94.6,94.7,72.7,74.9,73.7,34.9,35.8,35.4
Puducherry,95.0,94.6,94.8,100.0,100.0,100.0,97.1,97.0,97.0,93.9,100.0,97.4,76.4,89.1,82.4
Punjab,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.3,92.5,90.2,53.0,50.0,51.7
Rajasthan,79.5,84.3,81.7,93.6,92.2,92.9,84.6,87.2,85.9,87.6,83.6,85.7,61.4,58.5,60.0
Sikkim,90.2,91.4,90.8,70.2,71.4,70.8,81.2,82.3,81.7,65.0,67.9,66.4,43.1,45.8,44.4
Tamil Nadu,83.0,86.3,84.6,100.0,100.0,100.0,91.1,93.4,92.2,99.2,100.0,99.7,77.6,85.5,81.5
Telangana,94.3,100.0,97.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,70.7,72.1,71.3
Tripura,100.0,100.0,100.0,88.8,94.6,91.7,100.0,100.0,100.0,73.0,76.8,74.8,49.2,54.6,51.8
Uttar Pradesh,74.2,80.7,77.2,78.3,79.3,78.7,75.6,80.2,77.7,65.0,64.9,64.9,35.2,33.7,34.5
Uttarakhand,92.4,100.0,96.2,100.0,100.0,100.0,98.1,100.0,100.0,96.7,99.6,98.0,72.2,76.5,74.1
West Bengal,100.0,100.0,100.0,96.8,99.4,98.1,100.0,100.0,100.0,80.8,88.1,84.4,50.8,59.9,55.2
