India/State /UT,Promotion Rate,,,,,,,,
"",Primary (1 to 5),Upper Primary (6-8),Secondary (9-10),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,95.7,96.4,96.1,93.0,93.2,93.1,80.5,84.4,82.4
Andaman and Nicobar Islands,98.2,98.7,98.4,98.3,99.7,99.0,88.5,94.9,91.7
Andhra Pradesh,95.9,97.0,96.4,97.3,98.3,97.8,81.7,86.4,84.0
Arunachal Pradesh,82.4,83.7,83.1,82.2,84.4,83.3,68.5,72.5,70.5
Assam,93.6,95.6,94.6,90.1,94.4,92.3,71.8,71.7,71.7
Bihar,89.0,89.6,89.3,72.7,73.1,72.9,71.9,72.9,72.4
Chandigarh,100.0,100.0,100.0,98.8,99.8,99.2,91.1,95.4,93.1
Chhattisgarh,96.3,97.1,96.7,92.9,95.1,94.0,69.4,80.9,75.2
Dadra and Nagar Haveli and Daman and Diu,97.7,98.5,98.1,95.5,96.3,95.9,72.7,83.3,77.8
Delhi,100.0,100.0,100.0,98.4,98.8,98.6,80.2,84.4,82.2
Goa,98.5,98.7,98.6,98.3,98.6,98.4,86.4,94.4,90.2
Gujarat,98.3,98.7,98.5,95.3,94.3,94.8,73.0,79.7,76.0
Haryana,98.6,99.5,99.0,94.7,96.3,95.4,78.2,84.2,80.8
Himachal Pradesh,99.2,99.3,99.2,98.8,99.2,99.0,90.2,93.7,91.9
Jammu and Kashmir,92.8,93.4,93.1,94.0,94.0,94.0,82.2,84.0,83.0
Jharkhand,95.1,96.1,95.5,87.0,88.1,87.5,79.0,79.7,79.4
Karnataka,97.7,98.2,97.9,96.9,97.5,97.2,73.9,79.4,76.6
Kerala,96.8,97.5,97.2,98.2,98.7,98.5,94.0,95.9,94.9
Ladakh,95.0,96.4,95.7,92.7,95.6,94.2,76.6,83.2,80.0
Lakshadweep,96.7,98.3,97.4,93.7,100.0,96.9,96.4,97.7,97.1
Madhya Pradesh,94.5,95.4,95.0,89.0,90.2,89.6,68.5,74.6,71.3
Maharashtra,100.0,100.0,100.0,98.8,99.1,99.0,86.5,89.4,87.9
Manipur,88.7,89.3,89.0,90.3,91.9,91.1,77.6,79.0,78.3
Meghalaya,80.6,85.2,82.8,74.1,79.7,77.1,59.0,63.5,61.5
Mizoram,85.4,86.7,86.0,85.4,89.3,87.3,70.1,73.2,71.7
Nagaland,84.8,87.4,86.1,81.8,85.2,83.5,71.7,74.7,73.2
Odisha,98.9,99.4,99.1,96.9,97.6,97.3,93.3,96.7,95.0
Puducherry,98.1,98.8,98.4,98.3,98.6,98.4,89.0,94.8,91.8
Punjab,97.5,98.0,97.7,95.5,96.7,96.0,91.5,94.4,92.8
Rajasthan,89.5,91.0,90.2,91.7,92.8,92.2,82.0,86.2,83.9
Sikkim,91.4,94.4,92.8,87.7,91.2,89.4,68.6,74.8,71.7
Tamil Nadu,100.0,100.0,100.0,100.0,100.0,100.0,89.2,95.6,92.3
Telangana,100.0,100.0,100.0,99.4,100.0,100.0,86.4,90.4,88.4
Tripura,96.5,97.3,96.9,93.1,94.8,93.9,83.6,85.5,84.5
Uttar Pradesh,95.0,95.3,95.2,94.1,92.7,93.4,85.7,89.5,87.4
Uttarakhand,97.3,97.8,97.5,96.2,97.2,96.7,86.8,91.8,89.2
West Bengal,100.0,100.0,100.0,98.6,97.8,98.2,72.3,79.0,75.7
