India/ State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,1471891,1017660,1251,650,255,1015504,80313,331108,42810
Andaman & Nicobar Islands,412,340,2,3,0,335,2,70,0
Andhra Pradesh,61373,45000,35,15,8,44942,991,15232,150
Arunachal Pradesh,3490,2847,20,17,3,2807,72,529,42
Assam,56630,45008,57,28,9,44914,2267,5725,3630
Bihar,94686,78120,49,39,5,78027,723,9167,6676
Chandigarh,230,119,4,1,2,112,7,77,27
Chhattisgarh,56615,48803,36,28,6,48733,414,7153,245
"Dadra & Nagar Haveli andDaman & Diu",432,360,2,3,1,354,8,63,1
Delhi,5497,2693,46,2,0,2645,239,2565,0
Goa,1487,789,5,2,0,782,557,141,0
Gujarat,53626,34597,46,34,5,34512,5535,13490,4
Haryana,23517,14374,35,21,4,14314,5,8415,723
Himachal Pradesh,17826,15217,26,12,8,15171,0,2607,2
Jammu & Kashmir,24296,18785,35,20,0,18730,1,5452,58
Jharkhand,44475,35795,41,26,11,35717,1146,1634,5900
Karnataka,75869,49306,52,31,14,49209,7013,19542,8
Kerala,15864,4809,38,14,3,4754,7162,3082,811
Ladakh,995,841,3,2,1,835,40,114,0
Lakshadweep,37,37,1,1,0,35,0,0,0
Madhya Pradesh,123412,92439,112,54,12,92261,581,28910,1482
Maharashtra,108237,65157,59,34,20,65044,24173,18642,265
Manipur,4646,2934,9,11,12,2902,584,1010,118
Meghalaya,14601,7779,7,12,0,7760,4168,2152,502
Mizoram,3941,2587,4,8,1,2574,230,1064,60
Nagaland,2725,1952,6,11,2,1933,0,772,1
Odisha,61693,48671,66,31,13,48561,5907,6042,1073
Puducherry,735,420,4,4,0,412,33,282,0
Punjab,27404,19242,53,23,10,19156,444,7704,14
Rajasthan,107757,70233,77,35,10,70111,0,34729,2795
Sikkim,1254,864,2,4,1,857,16,374,0
Tamil Nadu,58722,37672,45,0,19,37608,8314,12481,255
Telangana,42901,30022,35,9,9,29969,662,12126,91
Tripura,4923,4238,10,8,0,4220,42,395,248
Uttar Pradesh,255087,137102,122,76,20,136884,8291,96635,13059
Uttarakhand,22551,16201,45,13,7,16136,614,5252,484
West Bengal,93945,82307,62,18,39,82188,72,7480,4086
