"India/State/ UT",Total Schools,Schools with functional Desktop/PCs availability,"Percentage of Schools with functional Desktop/PCsavailability",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1471891,1017660,80313,331108,42810,476669,217404,47293,199439,12533,32.4,21.4,58.9,60.2,29.3
Andaman & Nicobar Islands,412,340,2,70,0,263,198,2,63,0,63.8,58.2,100,90,0
Andhra Pradesh,61373,45000,991,15232,150,22635,8425,344,13752,114,36.9,18.7,34.7,90.3,76
Arunachal Pradesh,3490,2847,72,529,42,953,469,63,400,21,27.3,16.5,87.5,75.6,50
Assam,56630,45008,2267,5725,3630,7265,4819,88,2307,51,12.8,10.7,3.9,40.3,1.4
Bihar,94686,78120,723,9167,6676,12636,5057,56,5120,2403,13.3,6.5,7.7,55.9,36
Chandigarh,230,119,7,77,27,228,119,7,77,25,99.1,100,100,100,92.6
Chhattisgarh,56615,48803,414,7153,245,9951,5737,146,4026,42,17.6,11.8,35.3,56.3,17.1
"Dadra & Nagar Haveli andDaman & Diu",432,360,8,63,1,372,300,8,63,1,86.1,83.3,100,100,100
Delhi,5497,2693,239,2565,0,5446,2661,236,2549,0,99.1,98.8,98.7,99.4,0
Goa,1487,789,557,141,0,730,125,490,115,0,49.1,15.8,88,81.6,0
Gujarat,53626,34597,5535,13490,4,37772,22012,4619,11139,2,70.4,63.6,83.5,82.6,50
Haryana,23517,14374,5,8415,723,11807,4397,4,6932,474,50.2,30.6,80,82.4,65.6
Himachal Pradesh,17826,15217,0,2607,2,6728,4542,0,2186,0,37.7,29.8,0,83.9,0
Jammu & Kashmir,24296,18785,1,5452,58,6469,3345,1,3098,25,26.6,17.8,100,56.8,43.1
Jharkhand,44475,35795,1146,1634,5900,7554,2969,276,1294,3015,17,8.3,24.1,79.2,51.1
Karnataka,75869,49306,7013,19542,8,28385,11211,3666,13504,4,37.4,22.7,52.3,69.1,50
Kerala,15864,4809,7162,3082,811,11087,3123,4379,2919,666,69.9,64.9,61.1,94.7,82.1
Ladakh,995,841,40,114,0,404,311,9,84,0,40.6,37,22.5,73.7,0
Lakshadweep,37,37,0,0,0,35,35,0,0,0,94.6,94.6,0,0,0
Madhya Pradesh,123412,92439,581,28910,1482,24294,6294,225,17400,375,19.7,6.8,38.7,60.2,25.3
Maharashtra,108237,65157,24173,18642,265,70075,32592,20667,16587,229,64.7,50,85.5,89,86.4
Manipur,4646,2934,584,1010,118,1027,236,32,715,44,22.1,8,5.5,70.8,37.3
Meghalaya,14601,7779,4168,2152,502,2088,639,785,545,119,14.3,8.2,18.8,25.3,23.7
Mizoram,3941,2587,230,1064,60,1455,726,130,566,33,36.9,28.1,56.5,53.2,55
Nagaland,2725,1952,0,772,1,1616,1005,0,610,1,59.3,51.5,0,79,100
Odisha,61693,48671,5907,6042,1073,15389,7843,2899,4092,555,24.9,16.1,49.1,67.7,51.7
Puducherry,735,420,33,282,0,721,413,33,275,0,98.1,98.3,100,97.5,0
Punjab,27404,19242,444,7704,14,25279,18321,370,6579,9,92.2,95.2,83.3,85.4,64.3
Rajasthan,107757,70233,0,34729,2795,39104,19259,0,19301,544,36.3,27.4,0,55.6,19.5
Sikkim,1254,864,16,374,0,812,492,9,311,0,64.8,56.9,56.3,83.2,0
Tamil Nadu,58722,37672,8314,12481,255,32490,17997,4029,10312,152,55.3,47.8,48.5,82.6,59.6
Telangana,42901,30022,662,12126,91,14484,5021,214,9232,17,33.8,16.7,32.3,76.1,18.7
Tripura,4923,4238,42,395,248,1728,1399,25,271,33,35.1,33,59.5,68.6,13.3
Uttar Pradesh,255087,137102,8291,96635,13059,45082,3893,3032,36312,1845,17.7,2.8,36.6,37.6,14.1
Uttarakhand,22551,16201,614,5252,484,12268,8170,399,3565,134,54.4,50.4,65,67.9,27.7
West Bengal,93945,82307,72,7480,4086,18037,13249,50,3138,1600,19.2,16.1,69.4,42,39.2
