India/State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,128744591,62537625,744864,159334,71336,61562091,13124709,50435526,2646731
Andaman & Nicobar Islands,36635,24498,1497,391,0,22610,930,11207,0
Andhra Pradesh,4531461,1939211,15805,3837,1571,1917998,57608,2528423,6219
Arunachal Pradesh,161488,87684,4928,2611,424,79721,10392,61077,2335
Assam,3407308,2395059,28757,7138,2461,2356703,81849,850220,80180
Bihar,10918597,8615560,29782,11386,1509,8572883,58965,1627406,616666
Chandigarh,140482,80653,3831,268,926,75628,4691,50492,4646
Chhattisgarh,2894205,1914010,19143,6138,2507,1886222,34730,940762,4703
"Dadra & Nagar Haveli andDaman & Diu",73921,46894,801,615,44,45434,3619,23262,146
Delhi,2370210,1257571,69753,419,0,1187399,71898,1040741,0
Goa,156643,21482,2465,372,0,18645,113299,21862,0
Gujarat,6121760,2751067,23147,7407,1412,2719101,834767,2535444,482
Haryana,3047542,1090942,18835,5704,1592,1064811,311,1908086,48203
Himachal Pradesh,744694,415889,8003,2843,1689,403354,0,328787,18
Jammu & Kashmir,1373223,709515,15749,4120,0,689646,86,660902,2720
Jharkhand,3660138,2372016,18373,7240,3881,2342522,130034,666776,491312
Karnataka,6110046,2401343,32050,8027,3310,2357956,748268,2960067,368
Kerala,3196874,917092,27113,3436,577,885966,1381070,847049,51663
Ladakh,28267,12178,499,382,146,11151,442,15647,0
Lakshadweep,6357,6357,156,88,0,6113,0,0,0
Madhya Pradesh,8022201,4239448,61240,14661,3097,4160450,50087,3703032,29634
Maharashtra,11226536,2641341,42348,8455,6985,2583553,5086594,3475860,22741
Manipur,331159,101229,2867,2627,2360,93375,13366,211017,5547
Meghalaya,515450,211822,2853,1992,0,206977,164493,121211,17924
Mizoram,147822,65693,984,865,310,63534,9205,69506,3418
Nagaland,208009,67419,960,1203,608,64648,0,140532,58
Odisha,3978729,2610459,34073,8310,3237,2564839,488729,825983,53558
Puducherry,125026,40603,2338,821,0,37444,7843,76580,0
Punjab,3207398,1446483,26415,4869,2000,1413199,100996,1659478,441
Rajasthan,8903667,3978214,40298,10852,2752,3924312,0,4851792,73661
Sikkim,61688,35870,469,539,24,34838,457,25361,0
Tamil Nadu,6657117,2368929,32386,0,6185,2330358,1007689,3265101,15398
Telangana,3767648,1328367,19066,2227,4228,1302846,30179,2407402,1700
Tripura,347145,247561,3526,1711,0,242324,15123,76485,7976
Uttar Pradesh,22028721,7752930,94394,19957,8726,7629853,2527705,11069376,678710
Uttarakhand,1251496,418113,22616,3609,1381,390507,74912,725400,33071
West Bengal,8984928,7924123,37344,4214,7394,7875171,14372,653200,393233
