India/ State/ UT,"Number of Government Schools withUpper Primary, Secondary and HigherSecondary sections having","Number of Government Aided Schools withUpper Primary, Secondary and HigherSecondary sections having","Percentage of Government Schoolswith Upper Primary, Secondary andHigher Secondary sections having","Percentage of Government AidedSchools with Upper Primary, Secondaryand Higher Secondary sections having",,,,,,
"",Total,ICT labs,"FunctionalICT Labs",Total,ICT labs,"FunctionalICT Labs",ICT labs,"Functional ICTLabs",ICT labs,"Functional ICTLabs"
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,394634,91289,76256,63431,16033,12151,23.1,19.3,25.3,19.2
Andaman & Nicobar Islands,158,133,131,2,0,0,84.2,82.9,0,0
Andhra Pradesh,11302,2005,1487,462,55,51,17.7,13.2,11.9,11
Arunachal Pradesh,1309,159,130,61,9,8,12.1,9.9,14.8,13.1
Assam,11068,4591,3556,2266,26,12,41.5,32.1,1.1,0.5
Bihar,37839,2597,2375,686,13,11,6.9,6.3,1.9,1.6
Chandigarh,115,111,106,7,7,6,96.5,92.2,100,85.7
Chhattisgarh,18094,2171,1452,211,3,2,12,8,1.4,0.9
"Dadra & Nagar Haveli andDaman & Diu",214,128,126,8,6,6,59.8,58.9,75,75
Delhi,1142,997,709,199,137,52,87.3,62.1,68.8,26.1
Goa,134,54,50,449,186,179,40.3,37.3,41.4,39.9
Gujarat,22242,10900,9755,5471,2094,1498,49,43.9,38.3,27.4
Haryana,5694,2831,2176,4,1,1,49.7,38.2,25,25
Himachal Pradesh,4850,2695,2583,0,0,0,55.6,53.3,0,0
Jammu & Kashmir,9820,2335,2089,1,0,0,23.8,21.3,0,0
Jharkhand,14521,2921,2626,673,36,22,20.1,18.1,5.3,3.3
Karnataka,28627,3579,2396,6831,819,309,12.5,8.4,12,4.5
Kerala,2425,1569,1501,3805,2601,2501,64.7,61.9,68.4,65.7
Ladakh,507,137,130,6,0,0,27,25.6,0,0
Lakshadweep,22,10,10,0,0,0,45.5,45.5,0,0
Madhya Pradesh,34161,2137,1957,388,7,5,6.3,5.7,1.8,1.3
Maharashtra,22565,1957,1507,21005,6857,5359,8.7,6.7,32.6,25.5
Manipur,980,338,221,185,14,9,34.5,22.6,7.6,4.9
Meghalaya,2354,138,104,1671,190,152,5.9,4.4,11.4,9.1
Mizoram,1313,201,165,230,10,4,15.3,12.6,4.3,1.7
Nagaland,926,167,105,0,0,0,18,11.3,0,0
Odisha,21711,6888,4923,5603,2042,1475,31.7,22.7,36.4,26.3
Puducherry,187,176,116,31,7,5,94.1,62,22.6,16.1
Punjab,6423,4678,4402,396,138,132,72.8,68.5,34.8,33.3
Rajasthan,37635,12562,9828,0,0,0,33.4,26.1,0,0
Sikkim,392,236,233,11,3,2,60.2,59.4,27.3,18.2
Tamil Nadu,13655,5831,5831,3517,0,0,42.7,42.7,0,0
Telangana,10288,4759,3158,393,5,5,46.3,30.7,1.3,1.3
Tripura,2144,659,637,35,4,4,30.7,29.7,11.4,11.4
Uttar Pradesh,49325,1077,658,8178,730,319,2.2,1.3,8.9,3.9
Uttarakhand,4929,901,628,605,30,19,18.3,12.7,5,3.1
West Bengal,15563,8661,8395,41,3,3,55.7,53.9,7.3,7.3
