India/State/ UT,Percentage of Schools with CWSN friendly toilet,Percentage of Schools with functional CWSN friendly toilet,,,,,,,,
"","Allmanagement",Government.,"Government.aided",Pvt. unaided,Others,"Allmanagement",Government.,"Government.aided",Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,34.4,33.2,44.4,37.9,18.7,32.2,30.6,43,36.3,17.5
Andaman & Nicobar Islands,27.9,27.9,0,28.6,0,27.2,27.1,0,28.6,0
Andhra Pradesh,23.1,18.1,17.2,38.2,29.3,22.4,17.3,16.8,37.7,26
Arunachal Pradesh,11.4,10.1,18.1,17.4,9.5,7.6,5.5,16.7,17.2,9.5
Assam,21.5,24.1,6.4,17.9,3.9,20.4,23,5.6,16.8,3.4
Bihar,15.3,13.8,13.7,26,18.3,14.7,13.3,13.6,25,17.8
Chandigarh,78.7,88.2,71.4,87,14.8,78.7,88.2,71.4,87,14.8
Chhattisgarh,65.8,67.6,50.5,55.1,46.9,56.4,57,48.1,53.1,44.5
"Dadra & Nagar Haveli andDaman & Diu",91.7,95,50,77.8,100,91,94.2,50,77.8,100
Delhi,100,100,100,100,0,100,100,100,100,0
Goa,8.8,5.4,12.7,12.1,0,8.5,5.1,12.4,12.1,0
Gujarat,37.1,46.6,20.7,19.3,25,36.3,45.7,20.2,18.9,25
Haryana,51,69,40,23.2,14.8,49.5,67.2,40,22.4,14.7
Himachal Pradesh,26.9,25.3,0,36.4,50,25.7,24.2,0,35,50
Jammu & Kashmir,7.8,4.8,100,17.8,10.3,6.9,4,100,16.5,10.3
Jharkhand,6.8,5.4,7.5,23.4,10.6,6.2,4.9,7.1,22,9.5
Karnataka,18.8,14.8,16.9,29.5,0,17.3,13.1,15.7,28.3,0
Kerala,35.4,56.6,26.7,27.4,16.3,32.7,51.4,25,26,14.9
Ladakh,18.7,20.3,2.5,12.3,0,18,19.6,2.5,11.4,0
Lakshadweep,62.2,62.2,0,0,0,62.2,62.2,0,0,0
Madhya Pradesh,22.7,14.9,41.8,47.4,18.4,21,13.6,39.9,44.6,17.2
Maharashtra,61.7,59.8,62.5,67.2,62.3,57.6,54.3,60.2,65.4,61.1
Manipur,7.5,3.5,2.6,21.9,7.6,6.8,2.8,2.4,21.1,7.6
Meghalaya,3.1,2.7,3,4.8,2.6,2.8,2.4,2.8,4.4,2.6
Mizoram,18.5,25.9,5.2,4.1,10,14,19.1,4.3,4,6.7
Nagaland,7.9,7.3,0,9.3,0,6.5,5.7,0,8.5,0
Odisha,75.4,78,64.5,67.7,61.7,73.7,76.1,63.3,66.8,59.8
Puducherry,42.3,50.2,21.2,33,0,39.5,45.7,21.2,32.3,0
Punjab,56.7,59.5,46.6,50.2,50,55.3,58,45.9,49.3,42.9
Rajasthan,22.4,14,0,40,14.8,20.3,12.7,0,36.6,11.9
Sikkim,26.2,32.8,0,12,0,24.4,30.2,0,12,0
Tamil Nadu,51.6,26.2,99.6,95.8,87.8,46.8,18.7,99.6,95.8,87.8
Telangana,7.2,5.9,2.3,10.6,1.1,6.3,4.8,2.3,10.3,1.1
Tripura,11.3,11.3,26.2,15.9,2.4,9.8,9.7,21.4,15.2,2
Uttar Pradesh,43.8,55.8,29.2,31.3,19.5,40.4,51,27.4,29.6,18
Uttarakhand,11.2,7.9,14,20.8,13,9.9,6.9,12.7,18.8,11
West Bengal,30.6,30.2,25,36.1,29.1,30.6,30.2,25,36.1,29.1
