India/State/ UT,Total Schools,Schools having Digital Library availability,Percentage of Schools having Digital Library availability,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1471891,1017660,80313,331108,42810,110877,62546,14677,32480,1174,7.5,6.1,18.3,9.8,2.7
Andaman & Nicobar Islands,412,340,2,70,0,9,8,0,1,0,2.2,2.4,0,1.4,0
Andhra Pradesh,61373,45000,991,15232,150,8144,4290,78,3756,20,13.3,9.5,7.9,24.7,13.3
Arunachal Pradesh,3490,2847,72,529,42,38,18,1,19,0,1.1,0.6,1.4,3.6,0
Assam,56630,45008,2267,5725,3630,517,404,6,102,5,0.9,0.9,0.3,1.8,0.1
Bihar,94686,78120,723,9167,6676,1214,500,9,529,176,1.3,0.6,1.2,5.8,2.6
Chandigarh,230,119,7,77,27,27,8,1,18,0,11.7,6.7,14.3,23.4,0
Chhattisgarh,56615,48803,414,7153,245,778,433,9,333,3,1.4,0.9,2.2,4.7,1.2
"Dadra & Nagar Haveli andDaman & Diu",432,360,8,63,1,4,2,0,2,0,0.9,0.6,0,3.2,0
Delhi,5497,2693,239,2565,0,370,148,4,218,0,6.7,5.5,1.7,8.5,0
Goa,1487,789,557,141,0,32,5,19,8,0,2.2,0.6,3.4,5.7,0
Gujarat,53626,34597,5535,13490,4,1371,512,67,792,0,2.6,1.5,1.2,5.9,0
Haryana,23517,14374,5,8415,723,722,125,0,575,22,3.1,0.9,0,6.8,3
Himachal Pradesh,17826,15217,0,2607,2,394,207,0,187,0,2.2,1.4,0,7.2,0
Jammu & Kashmir,24296,18785,1,5452,58,373,147,0,224,2,1.5,0.8,0,4.1,3.4
Jharkhand,44475,35795,1146,1634,5900,855,550,5,89,211,1.9,1.5,0.4,5.4,3.6
Karnataka,75869,49306,7013,19542,8,2960,697,232,2030,1,3.9,1.4,3.3,10.4,12.5
Kerala,15864,4809,7162,3082,811,3416,1014,1616,625,161,21.5,21.1,22.6,20.3,19.9
Ladakh,995,841,40,114,0,44,42,0,2,0,4.4,5,0,1.8,0
Lakshadweep,37,37,0,0,0,1,1,0,0,0,2.7,2.7,0,0,0
Madhya Pradesh,123412,92439,581,28910,1482,2648,823,8,1782,35,2.1,0.9,1.4,6.2,2.4
Maharashtra,108237,65157,24173,18642,265,9712,5221,2175,2297,19,9,8,9,12.3,7.2
Manipur,4646,2934,584,1010,118,59,16,1,39,3,1.3,0.5,0.2,3.9,2.5
Meghalaya,14601,7779,4168,2152,502,100,21,62,14,3,0.7,0.3,1.5,0.7,0.6
Mizoram,3941,2587,230,1064,60,3,3,0,0,0,0.1,0.1,0,0,0
Nagaland,2725,1952,0,772,1,32,12,0,19,1,1.2,0.6,0,2.5,100
Odisha,61693,48671,5907,6042,1073,8722,5950,1974,685,113,14.1,12.2,33.4,11.3,10.5
Puducherry,735,420,33,282,0,50,27,0,23,0,6.8,6.4,0,8.2,0
Punjab,27404,19242,444,7704,14,1503,1084,7,410,2,5.5,5.6,1.6,5.3,14.3
Rajasthan,107757,70233,0,34729,2795,1945,569,0,1364,12,1.8,0.8,0,3.9,0.4
Sikkim,1254,864,16,374,0,68,58,0,10,0,5.4,6.7,0,2.7,0
Tamil Nadu,58722,37672,8314,12481,255,58079,37621,8278,11956,224,98.9,99.9,99.6,95.8,87.8
Telangana,42901,30022,662,12126,91,1314,345,11,956,2,3.1,1.1,1.7,7.9,2.2
Tripura,4923,4238,42,395,248,131,123,0,6,2,2.7,2.9,0,1.5,0.8
Uttar Pradesh,255087,137102,8291,96635,13059,4547,1303,106,3020,118,1.8,1,1.3,3.1,0.9
Uttarakhand,22551,16201,614,5252,484,320,100,5,208,7,1.4,0.6,0.8,4,1.4
West Bengal,93945,82307,72,7480,4086,375,159,3,181,32,0.4,0.2,4.2,2.4,0.8
