India/State/UT,Total Enrolment,"Aadhaar NumberProvided"
(1),(2),(3)
India,248045828,197001059
Andaman & Nicobar Islands,72119,71401
Andhra Pradesh,8741885,8574678
Arunachal Pradesh,323717,226301
Assam,6922533,4079408
Bihar,21348149,8285743
Chandigarh,265706,251833
Chhattisgarh,5776548,5117361
Dadra & Nagar Haveli and Daman & Diu,141282,131556
Delhi,4506578,4052231
Goa,304735,279296
Gujarat,11496709,9684433
Haryana,5599742,5322753
Himachal Pradesh,1426412,1321813
Jammu & Kashmir,2629949,2240346
Jharkhand,7143255,5958289
Karnataka,11926303,10238523
Kerala,6281704,5749074
Ladakh,56642,39857
Lakshadweep,12591,12460
Madhya Pradesh,15361543,12284969
Maharashtra,21375970,20892428
Manipur,647434,335497
Meghalaya,1052884,254583
Mizoram,293763,213575
Nagaland,412975,219834
Odisha,7756910,6916691
Puducherry,244828,239101
Punjab,5988681,5203203
Rajasthan,16786065,10725517
Sikkim,121395,70026
Tamil Nadu,12993050,11591587
Telangana,7293644,6558231
Tripura,689408,562615
Uttar Pradesh,41662794,32439867
Uttarakhand,2372400,2054234
West Bengal,18015525,14801745
