India/State/ UT,Gross Enrolment Ratio (GER) – Scheduled Castes (SC),,,,,,,,,,,,,,
"",Primary (1 to 5),Upper Primary (6 to 8),Elementary (1 to 8),Secondary (9-10),Higher Secondary (11-12),,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,95.2,98.5,96.8,94.1,97.3,95.6,94.8,98.0,96.3,79.0,82.3,80.6,54.4,61.8,57.9
Andaman and Nicobar Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Andhra Pradesh,103.9,104.2,104.1,107.2,104.0,105.6,105.2,104.2,104.7,103.0,99.6,101.3,65.6,76.4,70.9
Arunachal Pradesh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Assam,113.6,119.8,116.6,90.7,97.1,93.8,104.3,110.5,107.3,70.7,81.2,75.9,34.4,37.6,35.9
Bihar,95.2,99.3,97.1,76.6,81.8,79.1,88.5,93.0,90.7,45.4,56.1,50.4,29.7,34.7,32.0
Chandigarh,21.4,23.4,22.3,31.9,34.0,32.9,25.4,27.4,26.3,38.9,43.0,40.8,39.2,46.1,42.3
Chhattisgarh,94.7,96.0,95.4,96.3,98.5,97.4,95.3,96.9,96.1,74.3,84.3,79.2,43.0,57.4,50.0
"Dadra and Nagar Haveli andDaman and Diu",96.2,90.0,93.3,93.4,80.2,87.1,95.1,85.9,90.7,97.7,119.2,107.0,73.8,91.9,82.0
Delhi,53.0,57.3,55.0,63.5,67.2,65.2,57.0,61.1,58.9,62.6,66.5,64.4,50.7,62.2,56.2
Goa,88.1,92.7,90.3,81.6,79.0,80.3,85.7,87.4,86.5,63.3,79.2,70.6,59.2,78.9,69.0
Gujarat,73.2,77.6,75.2,85.0,88.0,86.4,77.7,81.7,79.5,72.3,70.7,71.5,39.3,47.1,43.0
Haryana,80.8,83.5,82.0,97.0,102.8,99.7,86.8,90.6,88.6,88.8,93.7,91.1,52.0,67.6,59.2
Himachal Pradesh,98.0,99.5,98.7,99.3,102.9,101.0,98.5,100.8,99.6,98.8,102.0,100.3,74.6,82.9,78.6
Jammu and Kashmir,135.0,138.5,136.7,93.8,95.3,94.5,115.8,118.6,117.1,77.8,79.1,78.4,34.8,41.9,38.0
Jharkhand,91.9,93.3,92.6,83.7,87.5,85.5,88.9,91.1,90.0,55.2,64.0,59.4,33.8,40.0,36.7
Karnataka,99.5,101.5,100.4,102.1,102.1,102.1,100.5,101.7,101.1,98.5,102.5,100.4,49.8,63.0,56.1
Kerala,93.4,93.5,93.5,96.0,96.6,96.3,94.4,94.7,94.6,94.6,95.3,94.9,93.1,95.9,94.5
Ladakh,343.0,"1,081.7",578.1,344.9,256.8,306.9,343.7,662.6,460.8,536.7,578.2,556.7,208.2,394.4,299.8
Lakshadweep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Madhya Pradesh,82.3,84.1,83.2,86.9,88.5,87.7,84.0,85.7,84.8,71.8,72.6,72.2,41.1,44.1,42.5
Maharashtra,100.4,105.1,102.6,98.2,100.0,99.1,99.5,103.1,101.2,96.3,97.6,96.9,70.1,75.6,72.7
Manipur,165.4,169.1,167.2,125.9,135.5,130.5,149.1,155.2,152.0,111.0,115.8,113.3,80.6,91.5,85.9
Meghalaya,693.9,735.7,713.5,442.0,355.8,399.9,589.0,570.0,580.0,331.0,398.7,362.6,175.1,290.5,229.4
Mizoram,"2,024.0","1,960.1","1,993.9","1,723.8","2,678.2","2,117.5","1,901.5","2,212.8","2,041.2","2,302.2","1,072.5","1,512.8",562.4,734.1,640.4
Nagaland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Odisha,101.0,101.5,101.3,99.5,100.8,100.2,100.4,101.2,100.8,84.3,85.8,85.0,54.5,59.8,57.1
Puducherry,65.6,69.0,67.2,68.4,70.4,69.4,66.7,69.6,68.1,69.7,69.7,69.7,56.2,63.3,59.7
Punjab,107.6,106.8,107.2,101.9,101.8,101.9,105.4,104.9,105.2,90.4,93.5,91.9,76.2,82.3,79.0
Rajasthan,97.2,102.1,99.5,97.1,101.2,99.1,97.2,101.8,99.3,82.8,86.1,84.3,59.4,63.9,61.5
Sikkim,161.2,165.6,163.4,143.5,147.9,145.6,153.6,158.1,155.8,131.9,162.8,146.0,74.8,98.9,86.8
Tamil Nadu,96.8,99.4,98.1,105.5,104.9,105.2,100.2,101.6,100.8,98.8,99.4,99.1,74.2,89.2,81.6
Telangana,113.2,115.6,114.4,108.5,108.9,108.7,111.4,112.9,112.1,90.0,93.7,91.8,69.6,80.6,74.9
Tripura,128.0,134.6,131.2,104.4,109.9,107.0,118.0,124.0,120.9,85.8,89.9,87.8,56.6,62.9,59.6
Uttar Pradesh,87.8,92.2,89.8,88.4,94.5,91.3,88.0,93.0,90.4,62.5,63.2,62.8,49.7,50.7,50.1
Uttarakhand,105.3,111.4,108.2,98.3,104.5,101.2,102.6,108.7,105.5,91.1,99.1,94.9,68.9,85.2,76.5
West Bengal,121.5,121.6,121.6,116.5,116.0,116.2,119.5,119.4,119.5,117.6,117.1,117.4,68.7,83.0,75.8
