India/State /UT,Number of Schools – all types of management,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,1471891,736611,342988,89428,73372,42658,27948,75940,39892,26684,16370
Andaman & Nicobar Islands,412,209,79,0,51,3,0,49,15,6,0
Andhra Pradesh,61373,37751,8259,15,5530,6056,0,429,616,0,2717
Arunachal Pradesh,3490,1695,1250,33,269,62,0,83,60,38,0
Assam,56630,37481,4803,4638,3725,1988,1360,936,835,109,755
Bihar,94686,41660,40175,268,988,171,774,1423,97,8625,505
Chandigarh,230,14,42,0,70,0,0,100,3,1,0
Chhattisgarh,56615,32461,3350,13220,822,42,1840,2120,246,2502,12
"Dadra & Nagar Haveli andDaman & Diu",432,162,172,3,19,1,18,22,6,27,2
Delhi,5497,2481,779,27,250,84,6,1306,510,54,0
Goa,1487,862,71,6,194,227,2,16,2,0,107
Gujarat,53626,13537,26345,707,984,71,3394,2323,321,5186,758
Haryana,23517,9632,2748,2237,1809,956,0,3609,2520,4,2
Himachal Pradesh,17826,10836,646,1846,827,961,0,681,2011,9,9
Jammu & Kashmir,24296,10625,9073,102,2871,302,26,669,149,475,4
Jharkhand,44475,23337,16005,57,2303,556,374,696,490,326,331
Karnataka,75869,23436,30087,241,6556,1254,8514,698,146,964,3973
Kerala,15864,6416,3806,646,1460,359,158,1479,1005,474,61
Ladakh,995,392,428,10,89,24,1,14,9,27,1
Lakshadweep,37,15,9,0,0,0,0,4,4,5,0
Madhya Pradesh,123412,60976,36738,7370,5246,939,2025,6554,1417,2140,7
Maharashtra,108237,49906,29157,95,10905,5975,946,7277,1277,169,2530
Manipur,4646,2447,907,37,858,86,23,174,37,9,68
Meghalaya,14601,9156,248,3280,208,246,1040,60,65,77,221
Mizoram,3941,1465,451,1081,23,8,689,3,8,5,208
Nagaland,2725,1138,764,18,470,111,2,162,48,1,11
Odisha,61693,28635,18504,2340,3721,3285,2409,357,431,38,1973
Puducherry,735,273,68,1,153,32,0,142,52,8,6
Punjab,27404,13468,2010,2627,2292,1719,3,3009,2074,57,145
Rajasthan,107757,37757,34292,223,7278,69,9,27360,638,129,2
Sikkim,1254,668,315,0,141,3,0,115,12,0,0
Tamil Nadu,58722,33995,9961,83,1973,3700,6,4466,4471,50,17
Telangana,42901,20539,7482,0,6333,5233,0,930,502,0,1882
Tripura,4923,2472,1246,1,664,7,0,479,54,0,0
Uttar Pradesh,255087,133331,48633,38165,3499,4514,4079,6521,11298,5026,21
Uttarakhand,22551,12929,2541,2962,319,834,250,820,1731,142,23
West Bengal,93945,74454,1544,7089,472,2780,0,854,6732,1,19
