India/State/ UT,Enrolment – Private Unaided Recognized,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,5033193,4120579,9153772,21108522,16549832,37658354,11463473,8634017,20097490,32571995,25183849,57755844
Andaman and Nicobar Islands,2171,2021,4192,4699,4212,8911,2428,2181,4609,7127,6393,13520
Andhra Pradesh,284233,236073,520306,967060,773297,1740357,560162,409468,969630,1527222,1182765,2709987
Arunachal Pradesh,10654,9344,19998,31663,25873,57536,12610,8905,21515,44273,34778,79051
Assam,82711,68236,150947,389204,319031,708235,199706,168597,368303,588910,487628,1076538
Bihar,165753,104329,270082,760562,464408,1224970,369191,227918,597109,1129753,692326,1822079
Chandigarh,7306,6841,14147,17372,15015,32387,11207,9096,20303,28579,24111,52690
Chhattisgarh,205013,181111,386124,388345,334127,722472,185816,155522,341338,574161,489649,1063810
"Dadra and Nagar Haveli andDaman and Diu",2811,2255,5066,10965,8477,19442,4951,3449,8400,15916,11926,27842
Delhi,103367,86011,189378,464749,348429,813178,239208,159207,398415,703957,507636,1211593
Goa,4929,4136,9065,12133,10398,22531,2471,2208,4679,14604,12606,27210
Gujarat,216491,169833,386324,1046353,791439,1837792,688444,493620,1182064,1734797,1285059,3019856
Haryana,140831,113335,254166,747042,551640,1298682,491437,335402,826839,1238479,887042,2125521
Himachal Pradesh,60703,50306,111009,128934,106324,235258,71076,55714,126790,200010,162038,362048
Jammu and Kashmir,129087,109059,238146,280284,232090,512374,148237,118409,266646,428521,350499,779020
Jharkhand,43503,33075,76578,184901,133476,318377,142733,100784,243517,327634,234260,561894
Karnataka,139267,118957,258224,1352398,1125976,2478374,732256,600020,1332276,2084654,1725996,3810650
Kerala,134219,123480,257699,376863,348255,725118,185212,168262,353474,562075,516517,1078592
Ladakh,3362,2942,6304,6910,5984,12894,3376,3039,6415,10286,9023,19309
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,661139,535072,1196211,1482408,1150169,2632577,863023,639627,1502650,2345431,1789796,4135227
Maharashtra,114972,99981,214953,1671339,1365534,3036873,804856,610154,1415010,2476195,1975688,4451883
Manipur,25803,23143,48946,82470,75375,157845,50995,47509,98504,133465,122884,256349
Meghalaya,23767,23214,46981,57080,56820,113900,15683,16786,32469,72763,73606,146369
Mizoram,10912,10751,21663,31950,30989,62939,14738,14586,29324,46688,45575,92263
Nagaland,23438,21296,44734,55586,49727,105313,30242,27351,57593,85828,77078,162906
Odisha,36433,28601,65034,371443,291608,663051,178571,129231,307802,550014,420839,970853
Puducherry,10031,8786,18817,27540,22717,50257,17424,13483,30907,44964,36200,81164
Punjab,294429,239987,534416,622917,499518,1122435,361335,277777,639112,984252,777295,1761547
Rajasthan,538862,417733,956595,2055864,1526747,3582611,1092846,730974,1823820,3148710,2257721,5406431
Sikkim,7249,6561,13810,11662,10569,22231,4160,3731,7891,15822,14300,30122
Tamil Nadu,574087,512205,1086292,1303211,1124308,2427519,650526,516322,1166848,1953737,1640630,3594367
Telangana,267302,224851,492153,1022929,870822,1893751,520432,421478,941910,1543361,1292300,2835661
Tripura,13995,12356,26351,32597,27124,59721,16047,13127,29174,48644,40251,88895
Uttar Pradesh,560949,422925,983874,4457826,3319843,7777669,2467495,1900065,4367560,6925321,5219908,12145229
Uttarakhand,79359,65574,144933,311602,249172,560774,167698,125429,293127,479300,374601,853901
West Bengal,54055,46199,100254,339661,280339,620000,156881,124586,281467,496542,404925,901467
