India/State /UT,Number of Schools – Private Unaided Recognized,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,331108,75939,108455,15007,45462,10484,7319,42482,7849,7183,10928
Andaman & Nicobar Islands,70,27,22,0,8,0,0,13,0,0,0
Andhra Pradesh,15232,3487,4136,15,1884,3518,0,60,4,0,2128
Arunachal Pradesh,529,123,283,0,91,0,0,31,0,1,0
Assam,5725,604,1435,48,2564,36,116,561,35,66,260
Bihar,9167,485,6448,6,420,58,551,666,10,103,420
Chandigarh,77,3,15,0,12,0,0,46,1,0,0
Chhattisgarh,7153,1403,3160,77,748,11,24,1566,46,117,1
"Dadra & Nagar Haveli andDaman & Diu",63,16,15,0,13,0,0,19,0,0,0
Delhi,2565,890,761,5,216,4,0,680,7,2,0
Goa,141,99,7,0,14,5,0,10,0,0,6
Gujarat,13490,1117,6140,275,888,23,661,2225,66,1513,582
Haryana,8415,686,2325,4,1779,24,0,3532,60,3,2
Himachal Pradesh,2607,467,641,0,823,0,0,652,6,9,9
Jammu & Kashmir,5452,1634,1921,0,1437,0,1,442,4,11,2
Jharkhand,1634,8,191,3,394,309,93,379,8,2,247
Karnataka,19542,2571,5918,92,5797,86,1651,640,10,79,2698
Kerala,3082,377,543,18,1068,19,18,930,40,25,44
Ladakh,114,24,56,0,26,1,0,7,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,28910,2003,18306,24,3179,25,84,4934,99,249,7
Maharashtra,18642,4017,4256,86,3297,1667,682,2438,350,148,1701
Manipur,1010,39,273,7,492,4,7,115,5,4,64
Meghalaya,2152,1015,175,120,165,28,454,36,5,29,125
Mizoram,1064,186,416,69,21,1,237,0,0,2,132
Nagaland,772,111,176,0,327,0,0,147,0,0,11
Odisha,6042,837,3185,71,516,163,121,232,4,0,913
Puducherry,282,38,20,0,99,0,0,123,0,0,2
Punjab,7704,595,1965,1,2221,7,2,2704,19,54,136
Rajasthan,34729,2839,15920,11,6902,51,8,8715,212,69,2
Sikkim,374,191,141,0,22,0,0,20,0,0,0
Tamil Nadu,12481,5011,1050,12,1784,133,1,4201,270,4,15
Telangana,12126,488,4086,0,5877,194,0,94,2,0,1385
Tripura,395,141,110,0,75,1,0,68,0,0,0
Uttar Pradesh,96635,38110,20912,13389,1660,3992,2575,4900,6427,4651,19
Uttarakhand,5252,1394,2430,161,305,45,33,729,105,42,8
West Bengal,7480,4903,1017,513,338,79,0,567,54,0,9
