India/State/ UT,Retention Rate,,,,,,,,,,,
"",Primary (1 to 5),Elementary (1 to 8),Secondary (1 to 10),Higher Secondary (1 to 12),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,85.1,85.7,85.4,77.3,78.9,78.0,63.1,64.6,63.8,43.8,47.5,45.6
Andaman and Nicobar Islands,93.6,91.7,92.7,95.4,96.1,95.8,84.5,87.9,86.2,73.3,81.8,77.4
Andhra Pradesh,98.4,100.4,99.4,96.5,114.7,104.4,89.0,90.2,89.6,50.8,58.8,54.7
Arunachal Pradesh,54.6,56.0,55.3,43.9,50.5,47.1,30.1,34.3,32.2,17.1,20.9,19.0
Assam,75.6,78.7,77.1,60.4,69.9,65.0,41.4,51.5,46.3,23.3,25.6,24.4
Bihar,102.5,105.8,104.1,77.5,81.1,79.2,54.0,59.6,56.7,28.7,30.2,29.4
Chandigarh,118.6,118.4,118.5,133.8,130.3,132.2,106.2,112.2,109.1,119.2,121.5,120.3
Chhattisgarh,91.4,93.5,92.4,83.2,86.4,84.7,54.7,68.0,61.2,38.5,51.3,44.7
"Dadra and Nagar Haveli andDaman and Diu",95.8,94.4,95.1,95.0,95.4,95.2,75.1,84.1,79.4,63.0,76.1,68.6
Delhi,116.1,114.1,115.2,116.8,115.0,116.0,83.1,85.3,84.1,76.0,86.4,80.9
Goa,95.7,94.8,95.3,92.1,93.6,92.8,77.5,85.2,81.2,68.0,80.8,74.1
Gujarat,97.4,96.5,97.0,90.9,89.2,90.1,74.8,69.5,72.3,42.9,45.8,44.3
Haryana,97.7,97.6,97.7,99.4,100.8,100.0,84.8,86.4,85.5,62.9,68.6,65.5
Himachal Pradesh,95.1,94.9,95.0,94.8,95.2,95.0,88.8,91.0,89.8,76.0,82.1,78.9
Jammu and Kashmir,78.5,78.5,78.5,74.9,76.2,75.6,57.9,57.1,57.5,32.5,34.7,33.5
Jharkhand,81.0,83.8,82.3,73.8,79.6,76.5,46.6,51.7,49.1,31.0,33.7,32.3
Karnataka,97.4,98.4,97.9,92.3,95.4,93.8,87.0,89.7,88.3,50.0,61.9,55.8
Kerala,94.9,95.5,95.2,96.7,97.9,97.3,98.4,98.8,98.6,87.7,93.1,90.4
Ladakh,74.6,81.1,77.7,72.0,76.9,74.4,75.6,91.1,83.2,40.5,47.6,44.0
Lakshadweep,93.5,102.4,97.5,93.0,108.6,100.7,87.4,102.9,95.0,114.8,108.2,111.5
Madhya Pradesh,84.3,84.9,84.6,78.5,81.1,79.7,49.8,52.8,51.2,29.2,32.4,30.7
Maharashtra,92.4,93.0,92.7,90.7,91.4,91.1,83.9,84.8,84.3,67.5,68.5,68.0
Manipur,61.9,61.7,61.8,52.5,55.4,53.9,45.0,45.7,45.4,32.5,32.1,32.3
Meghalaya,52.0,58.1,55.0,41.3,54.1,47.5,26.3,37.1,31.6,15.8,23.9,19.8
Mizoram,58.0,59.6,58.8,53.4,58.7,56.0,38.1,45.9,41.9,22.9,27.6,25.2
Nagaland,64.5,66.7,65.6,57.5,62.3,59.9,36.6,42.8,39.6,25.1,31.2,28.1
Odisha,101.0,101.4,101.2,87.6,88.0,87.8,74.2,77.2,75.6,45.8,51.1,48.3
Puducherry,93.7,94.0,93.8,91.4,94.0,92.6,92.0,93.7,92.8,76.9,86.7,81.7
Punjab,91.4,91.9,91.6,85.8,88.5,87.0,74.1,78.1,75.9,65.6,69.6,67.4
Rajasthan,81.3,83.8,82.5,74.6,76.2,75.3,57.7,60.7,59.1,47.9,50.1,48.9
Sikkim,85.7,90.1,87.8,82.3,92.6,87.2,62.7,81.1,71.1,50.0,70.5,59.4
Tamil Nadu,100.6,100.7,100.7,97.6,96.5,97.1,88.3,88.5,88.4,62.5,75.1,68.6
Telangana,102.5,102.8,102.7,84.9,87.6,86.2,76.5,80.5,78.4,59.9,64.2,61.9
Tripura,92.2,93.5,92.8,81.8,85.7,83.7,61.9,68.6,65.2,49.6,53.5,51.5
Uttar Pradesh,79.7,79.4,79.6,69.3,69.3,69.3,58.4,54.7,56.6,38.2,35.7,37.0
Uttarakhand,86.6,87.3,87.0,81.4,83.7,82.5,69.2,74.2,71.5,55.3,62.7,58.7
West Bengal,84.6,86.6,85.6,83.4,87.3,85.3,77.4,87.5,82.3,36.8,51.4,43.9
