India/State/ UT,Percentage of Trained Teachers – All Types of Management,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,65.7,52.1,56.8,92.8,90.9,91.7,92.1,91.9,92.0
Andaman & Nicobar Islands,45.1,46.9,46.6,96.7,96.9,96.9,94.3,94.5,94.5
Andhra Pradesh,16.7,26.6,24.9,96.8,97.1,97.0,92.4,94.6,93.5
Arunachal Pradesh,38.2,40.7,40.3,90.9,86.4,88.5,91.9,91.0,91.5
Assam,41.7,39.3,40.3,85.4,82.4,84.0,78.0,79.6,78.7
Bihar,41.4,41.3,41.3,90.0,88.9,89.5,87.4,86.7,87.1
Chandigarh,62.5,42.2,42.6,95.3,93.2,93.6,90.0,87.7,88.2
Chhattisgarh,41.0,39.1,39.3,95.8,88.6,91.9,96.3,90.9,93.7
"Dadra & Nagar Haveli and Daman &Diu",40.0,57.4,56.7,96.7,93.2,94.2,95.6,95.2,95.3
Delhi,49.1,61.5,61.2,97.9,96.4,96.7,96.4,96.5,96.5
Goa,84.6,70.1,70.3,97.9,98.5,98.4,96.3,98.4,97.9
Gujarat,55.5,54.5,54.6,97.8,95.2,96.1,95.3,94.6,94.9
Haryana,53.4,40.2,40.6,96.3,90.6,92.2,92.7,91.4,91.9
Himachal Pradesh,53.1,48.8,49.8,97.8,96.0,96.7,94.7,95.1,95.0
Jammu & Kashmir,16.4,25.2,22.3,83.8,71.7,77.3,82.9,73.4,78.5
Jharkhand,53.6,42.6,45.0,91.6,88.7,90.4,91.8,90.6,91.4
Karnataka,45.1,68.9,68.1,98.2,96.8,97.2,97.0,97.0,97.0
Kerala,67.4,87.4,87.3,98.7,98.5,98.5,96.8,97.4,97.3
Ladakh,25.2,38.7,34.2,90.3,86.3,88.1,90.6,86.7,88.7
Lakshadweep,16.7,97.8,88.5,95.5,95.2,95.3,92.5,93.7,93.2
Madhya Pradesh,27.7,31.3,30.8,94.4,89.1,91.6,93.5,90.1,91.7
Maharashtra,44.0,59.6,58.7,97.9,96.1,96.9,96.0,95.0,95.5
Manipur,46.3,53.9,52.5,83.9,82.7,83.1,80.7,84.3,82.6
Meghalaya,37.3,32.6,33.8,72.1,68.4,69.8,79.2,79.3,79.3
Mizoram,37.2,50.2,47.2,89.4,85.9,87.4,92.9,89.2,91.2
Nagaland,41.8,51.5,49.2,74.7,75.1,74.9,75.0,77.4,76.3
Odisha,38.9,40.1,40.0,97.1,95.1,96.1,96.5,95.9,96.2
Puducherry,57.9,56.4,56.4,95.8,96.7,96.6,89.6,95.4,93.9
Punjab,27.1,36.2,34.7,94.6,91.9,92.4,92.4,91.2,91.5
Rajasthan,29.8,35.7,34.5,95.2,90.2,92.8,95.8,93.2,94.7
Sikkim,39.3,48.6,47.8,85.4,82.8,83.7,85.8,87.6,86.9
Tamil Nadu,4.9,20.2,19.1,99.4,99.4,99.4,98.4,98.9,98.8
Telangana,26.2,43.8,42.0,95.8,91.3,92.6,91.8,92.4,92.1
Tripura,37.6,36.4,36.8,73.6,76.4,74.6,92.0,91.7,91.9
Uttar Pradesh,32.8,41.0,40.0,89.4,86.9,88.0,89.2,87.3,88.3
Uttarakhand,31.5,40.8,40.2,94.1,89.9,91.2,94.9,92.7,93.6
West Bengal,74.6,66.6,71.0,92.0,84.6,88.5,95.1,94.6,94.9
