India/State/UT,Total Schools,"Number of Books available inLibrary/Book Bank/ReadingCorner","Number of Books available inLibrary/Book Bank/ReadingCorner per School"
India,1471891,1133415164,770
Andaman & Nicobar Islands,412,2013106,4886
Andhra Pradesh,61373,67934772,1106
Arunachal Pradesh,3490,1334072,382
Assam,56630,31855067,562
Bihar,94686,28541460,301
Chandigarh,230,2056124,8939
Chhattisgarh,56615,32433148,572
Dadra & Nagar Haveli and Daman & Diu,432,798845,1849
Delhi,5497,32754140,5958
Goa,1487,5003184,3364
Gujarat,53626,64295643,1198
Haryana,23517,51713528,2198
Himachal Pradesh,17826,18634550,1045
Jammu & Kashmir,24296,10173602,418
Jharkhand,44475,26007314,584
Karnataka,75869,122352980,1612
Kerala,15864,44150313,2783
Ladakh,995,541469,544
Lakshadweep,37,118342,3198
Madhya Pradesh,123412,53303477,431
Maharashtra,108237,125989219,1164
Manipur,4646,1660089,357
Meghalaya,14601,1622961,111
Mizoram,3941,669822,169
Nagaland,2725,1319766,484
Odisha,61693,76002364,1231
Puducherry,735,2516171,3423
Punjab,27404,45331585,1654
Rajasthan,107757,74547605,691
Sikkim,1254,600148,478
Tamil Nadu,58722,23892477,406
Telangana,42901,23500590,547
Tripura,4923,1739348,353
Uttar Pradesh,255087,124436635,487
Uttarakhand,22551,18935367,839
West Bengal,93945,14635881,155
