India/State/ UT,Adjusted Net Enrolment Rate (ANER),,,,,,,,,,,
"",Primary (1 to 5),Upper Primary (6 to 8),Elementary (1 to 8),Secondary (9-10),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,84.1,88.0,85.9,74.9,77.5,76.2,85.9,88.6,87.2,59.0,62.2,60.5
Andaman and Nicobar Islands,95.6,97.3,96.4,92.1,96.0,94.0,95.2,97.5,96.3,81.8,93.5,87.3
Andhra Pradesh,86.1,90.0,87.9,84.5,88.1,86.2,91.1,93.3,92.1,68.8,74.6,71.6
Arunachal Pradesh,97.9,103.1,100.4,65.4,73.4,69.3,91.6,96.7,94.1,46.3,52.5,49.4
Assam,79.1,86.0,82.4,49.3,58.4,53.7,82.8,89.9,86.2,29.9,38.8,34.2
Bihar,75.7,78.6,77.1,53.6,56.0,54.8,72.2,74.3,73.2,35.2,39.9,37.5
Chandigarh,105.5,113.1,109.0,110.6,126.5,117.5,109.0,119.3,113.6,99.3,116.4,106.8
Chhattisgarh,85.4,87.5,86.4,83.9,87.4,85.6,87.0,89.2,88.1,58.4,68.1,63.2
Dadra and Nagar Haveli and Daman and Diu,104.4,108.2,106.2,97.8,103.7,100.5,105.0,109.1,106.9,78.6,98.7,87.4
Delhi,92.4,102.2,96.8,98.2,107.2,102.3,98.6,107.4,102.6,79.6,88.0,83.5
Goa,106.8,105.4,106.1,91.3,95.8,93.4,109.8,110.3,110.0,74.9,79.8,77.2
Gujarat,71.9,76.4,74.0,81.3,84.8,83.0,79.6,83.3,81.3,67.6,67.6,67.6
Haryana,77.5,81.6,79.4,77.1,80.6,78.6,85.9,88.5,87.1,62.0,67.3,64.4
Himachal Pradesh,109.4,111.3,110.3,103.2,106.3,104.7,107.9,110.1,108.9,89.0,94.7,91.7
Jammu and Kashmir,112.6,113.8,113.2,69.6,72.8,71.1,95.9,98.3,97.0,51.8,53.7,52.7
Jharkhand,68.7,71.4,70.0,47.3,50.5,48.8,73.6,75.7,74.6,30.4,34.1,32.2
Karnataka,91.8,94.4,93.0,84.5,86.5,85.5,97.6,99.5,98.5,71.1,75.3,73.2
Kerala,82.8,84.2,83.5,81.2,83.3,82.2,89.6,90.6,90.1,70.5,74.1,72.3
Ladakh,93.8,92.2,93.0,63.4,75.6,69.2,89.9,94.3,92.0,44.5,57.3,50.5
Lakshadweep,100.2,96.9,98.6,76.9,78.8,77.8,91.3,89.6,90.5,70.4,78.0,74.1
Madhya Pradesh,73.1,74.2,73.6,72.1,72.6,72.3,75.9,76.3,76.1,52.9,54.0,53.4
Maharashtra,100.7,108.5,104.3,96.8,97.9,97.3,100.0,105.0,102.3,79.9,81.7,80.8
Manipur,126.4,131.6,128.9,77.4,82.1,79.7,110.6,115.2,112.8,60.1,62.7,61.4
Meghalaya,129.4,138.4,133.8,68.8,86.2,77.3,123.9,133.1,128.4,38.2,54.7,46.4
Mizoram,118.8,123.8,121.2,88.3,98.3,93.1,118.9,123.8,121.3,61.6,74.0,67.6
Nagaland,79.6,85.1,82.2,53.7,62.2,57.8,74.6,80.4,77.3,39.0,48.3,43.5
Odisha,96.4,96.5,96.5,91.3,91.3,91.3,95.5,95.4,95.4,68.3,71.6,69.9
Puducherry,95.9,95.7,95.8,98.3,99.4,98.8,98.0,98.1,98.1,90.5,98.5,94.3
Punjab,103.6,105.8,104.6,95.6,99.5,97.4,103.8,106.0,104.8,79.2,85.3,82.0
Rajasthan,80.9,85.5,83.0,71.2,72.5,71.8,85.4,88.1,86.7,58.0,57.6,57.8
Sikkim,90.8,92.1,91.4,67.0,71.7,69.3,83.9,85.4,84.6,54.9,61.9,58.4
Tamil Nadu,84.6,87.8,86.1,87.7,89.8,88.7,92.3,94.7,93.4,76.7,80.9,78.7
Telangana,93.7,100.1,96.7,84.5,92.3,88.2,99.4,104.2,101.7,66.3,76.5,71.2
Tripura,111.0,117.0,113.9,86.7,95.0,90.7,104.3,110.5,107.3,65.2,71.9,68.5
Uttar Pradesh,75.8,79.9,77.7,63.5,65.3,64.4,76.3,78.8,77.5,50.9,50.5,50.7
Uttarakhand,92.4,100.2,96.0,81.8,87.4,84.4,98.7,104.7,101.5,68.9,75.5,72.0
West Bengal,112.3,114.7,113.5,96.0,100.0,98.0,107.0,109.6,108.3,75.1,84.2,79.5
