India/State /UT,Number of teachers by Gender and Classes Taught – Private Unaided Recognized,,,,,,,,,,,
"",Total,Pre-Primary Only,Pre-Primary & Primary,Primary Only,,,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,1253595,2476452,3730047,3238,89231,92469,26855,113360,140215,242156,877876,1120032
Andaman & Nicobar Islands,208,1018,1226,4,78,82,9,98,107,53,344,397
Andhra Pradesh,49772,86204,135976,194,2639,2833,2291,10832,13123,4402,28151,32553
Arunachal Pradesh,2390,4210,6600,5,199,204,78,374,452,619,1768,2387
Assam,37127,51100,88227,99,914,1013,689,2090,2779,7143,15896,23039
Bihar,65479,50787,116266,142,1058,1200,695,1872,2567,9665,16440,26105
Chandigarh,368,3882,4250,1,360,361,7,107,114,39,1061,1100
Chhattisgarh,23569,63280,86849,96,3469,3565,711,4751,5462,4529,22688,27217
"Dadra & Nagar Haveli andDaman & Diu",257,1419,1676,0,163,163,4,45,49,53,545,598
Delhi,8093,60603,68696,25,5279,5304,24,677,701,1999,26021,28020
Goa,189,2036,2225,0,286,286,9,77,86,27,965,992
Gujarat,40763,108793,149556,65,4115,4180,386,3695,4081,6555,44615,51170
Haryana,34565,117034,151599,26,3287,3313,82,1771,1853,5027,42307,47334
Himachal Pradesh,7858,27188,35046,10,1286,1296,68,1242,1310,927,6755,7682
Jammu & Kashmir,24351,45883,70234,218,3422,3640,1291,4242,5533,5758,16953,22711
Jharkhand,15678,20617,36295,8,559,567,33,591,624,1372,5889,7261
Karnataka,48317,153064,201381,50,5412,5462,223,3666,3889,6079,51505,57584
Kerala,7342,73322,80664,23,6720,6743,15,1081,1096,892,20041,20933
Ladakh,487,1139,1626,2,125,127,23,119,142,78,343,421
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,105638,203720,309358,448,8439,8887,2748,12611,15359,17899,61267,79166
Maharashtra,50346,182022,232368,54,4667,4721,323,2984,3307,10703,77157,87860
Manipur,8119,11740,19859,12,419,431,86,778,864,841,3558,4399
Meghalaya,3688,9170,12858,15,214,229,259,951,1210,989,3401,4390
Mizoram,3146,4343,7489,9,109,118,43,124,167,699,1757,2456
Nagaland,4528,9438,13966,15,467,482,100,579,679,721,2736,3457
Odisha,30361,52069,82430,46,856,902,170,1224,1394,5665,19814,25479
Puducherry,1437,6145,7582,1,446,447,6,176,182,79,2009,2088
Punjab,19119,122988,142107,53,6594,6647,205,5195,5400,1740,34221,35961
Rajasthan,165895,168232,334127,410,6147,6557,2723,8516,11239,20779,47440,68219
Sikkim,983,2812,3795,13,220,233,34,265,299,379,1406,1785
Tamil Nadu,35939,201332,237271,512,4070,4582,147,4410,4557,3125,75342,78467
Telangana,47697,141741,189438,102,5913,6015,933,8487,9420,4071,47833,51904
Tripura,3315,3570,6885,33,105,138,166,329,495,1090,1471,2561
Uttar Pradesh,358983,386088,745071,286,7554,7840,1860,7906,9766,110147,167067,277214
Uttarakhand,17114,46584,63698,27,1951,1978,220,2053,2273,3727,18382,22109
West Bengal,30474,52879,83353,234,1689,1923,10194,19442,29636,4285,10728,15013
