India/State /UT,Number of teachers by Gender and Classes Taught – Government,,,,,,,,
"",Primary & Upper Primary,Upper Primary Only,Upper Primary & Secondary,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22)
India,220868,159685,380553,520814,393782,914596,231073,175447,406520
Andaman & Nicobar Islands,69,101,170,175,316,491,325,528,853
Andhra Pradesh,6788,5117,11905,4530,3725,8255,39065,30551,69616
Arunachal Pradesh,1598,1111,2709,1453,1547,3000,570,483,1053
Assam,4933,3315,8248,25360,11680,37040,16970,13073,30043
Bihar,40407,24894,65301,76877,54189,131066,669,315,984
Chandigarh,82,115,197,169,301,470,468,1299,1767
Chhattisgarh,483,600,1083,36790,20700,57490,599,575,1174
"Dadra & Nagar Haveli andDaman & Diu",20,14,34,276,413,689,14,17,31
Delhi,55,131,186,6432,9049,15481,2705,4544,7249
Goa,4,12,16,117,271,388,171,353,524
Gujarat,2101,941,3042,39582,35207,74789,478,296,774
Haryana,23,49,72,10859,7582,18441,4893,3265,8158
Himachal Pradesh,29,45,74,5634,2880,8514,8388,6757,15145
Jammu & Kashmir,4290,2431,6721,16827,9958,26785,1113,565,1678
Jharkhand,14334,4340,18674,12565,4400,16965,1959,1256,3215
Karnataka,30819,41493,72312,6774,6939,13713,3437,2364,5801
Kerala,174,570,744,2900,11627,14527,196,429,625
Ladakh,850,550,1400,203,359,562,391,218,609
Lakshadweep,39,38,77,35,59,94,33,30,63
Madhya Pradesh,12897,5754,18651,34140,19865,54005,6314,3553,9867
Maharashtra,6051,4825,10876,25742,11177,36919,986,763,1749
Manipur,568,768,1336,503,658,1161,606,857,1463
Meghalaya,25,54,79,4242,4469,8711,97,113,210
Mizoram,10,6,16,3296,2411,5707,49,27,76
Nagaland,785,826,1611,2169,1903,4072,508,449,957
Odisha,29601,23967,53568,14612,9592,24204,7408,7315,14723
Puducherry,19,14,33,169,266,435,416,676,1092
Punjab,43,184,227,5554,9472,15026,7863,14830,22693
Rajasthan,39156,20937,60093,48054,27682,75736,37196,14441,51637
Sikkim,169,202,371,785,1083,1868,429,600,1029
Tamil Nadu,504,1084,1588,16746,30501,47247,9511,12757,22268
Telangana,4868,4882,9750,4232,4256,8488,27646,22322,49968
Tripura,301,152,453,4489,2014,6503,990,571,1561
Uttar Pradesh,18445,9819,28264,70930,61040,131970,1257,1127,2384
Uttarakhand,46,79,125,5281,3407,8688,3673,2315,5988
West Bengal,282,265,547,32312,22784,55096,43680,25813,69493
