India/State /UT,Number of teachers by Classes Taught – Government Aided,,,,,,,,,
"",Total,"Pre-PrimaryOnly","Pre-PrimaryandPrimary","PrimaryOnly","PrimaryandUpperPrimary","UpperPrimaryOnly","UpperPrimaryandSecondary","SecondaryOnly","SecondaryandHigherSecondary","HigherSecondaryOnly"
(1),(2),(3),(4),(5),( 6),(7),( 8),(9),(10),(11)
India,775574,6665,1855,139269,44890,127689,60378,243570,20566,130692
Andaman & Nicobar Islands,78,2,1,19,1,8,17,5,3,22
Andhra Pradesh,4440,5,35,1529,216,337,1056,740,0,522
Arunachal Pradesh,1033,3,12,246,299,118,175,94,56,30
Assam,15955,0,3,52,35,9674,336,4599,55,1201
Bihar,3257,0,1,279,297,1075,228,1030,152,195
Chandigarh,323,11,7,49,25,9,84,16,40,82
Chhattisgarh,2512,8,4,858,142,536,122,231,356,255
"Dadra & Nagar Haveli andDaman & Diu",217,5,0,30,8,51,20,45,2,56
Delhi,4783,18,0,857,41,1085,312,1035,169,1266
Goa,9252,313,35,1709,190,787,2689,1594,0,1935
Gujarat,45951,8,16,1009,159,1894,7,24916,2597,15345
Haryana,71,0,0,10,5,3,14,7,26,6
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,15,0,0,4,4,5,2,0,0,0
Jharkhand,6021,17,83,1878,1423,1030,795,584,44,167
Karnataka,40176,12,9,1739,9573,912,124,21995,170,5642
Kerala,120575,5806,114,36318,804,29862,763,29790,239,16879
Ladakh,83,0,7,61,5,9,1,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,4197,12,10,912,404,551,251,488,1039,530
Maharashtra,275475,109,264,50435,28174,41506,30255,76579,2136,46017
Manipur,2526,6,48,1232,212,380,348,200,7,93
Meghalaya,17747,193,944,5531,54,4815,708,4322,225,955
Mizoram,1873,0,0,0,0,540,0,969,0,364
Nagaland,0,0,0,0,0,0,0,0,0,0
Odisha,32503,0,1,1175,267,2700,3073,16611,0,8676
Puducherry,887,39,8,248,139,48,194,80,36,95
Punjab,4765,20,25,992,186,467,310,1261,399,1105
Rajasthan,0,0,0,0,0,0,0,0,0,0
Sikkim,119,1,1,26,4,15,14,34,4,20
Tamil Nadu,77590,40,2,26287,1102,12901,6018,22835,32,8373
Telangana,3321,16,78,1238,224,270,703,548,0,244
Tripura,1064,0,0,165,1,87,46,279,96,390
Uttar Pradesh,92492,1,12,4103,848,15011,10799,31301,11520,18897
Uttarakhand,5263,0,1,146,30,941,764,1236,920,1225
West Bengal,1010,20,134,132,18,62,150,146,243,105
