India/State /UT,Number of teachers by Gender and Classes Taught – Private Unaided Recognized,,,,,,,,
"",Primary & Upper Primary,Upper Primary Only,Upper Primary & Secondary,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22)
India,197088,418324,615412,217221,345106,562327,129564,166762,296326
Andaman & Nicobar Islands,40,125,165,13,94,107,19,97,116
Andhra Pradesh,4651,10691,15342,3642,7326,10968,12211,11669,23880
Arunachal Pradesh,665,945,1610,509,490,999,171,171,342
Assam,7548,11192,18740,7218,7429,14647,5174,4811,9985
Bihar,14954,10547,25501,19462,13256,32718,4419,2109,6528
Chandigarh,67,485,552,24,403,427,75,531,606
Chhattisgarh,5282,13209,18491,3281,7198,10479,2214,3490,5704
"Dadra & Nagar Haveli andDaman & Diu",45,156,201,31,190,221,25,83,108
Delhi,304,1827,2131,1655,11317,12972,323,1432,1755
Goa,25,164,189,13,96,109,36,171,207
Gujarat,5474,16608,22082,7276,18928,26204,1965,3046,5011
Haryana,3547,14700,18247,4710,14916,19626,4523,11160,15683
Himachal Pradesh,1293,5418,6711,1310,3653,4963,1341,3510,4851
Jammu & Kashmir,3348,4940,8288,6248,9150,15398,1730,1303,3033
Jharkhand,1806,3116,4922,1908,2619,4527,2647,2255,4902
Karnataka,7794,29700,37494,4844,19514,24358,3695,9409,13104
Kerala,803,7598,8401,1180,12061,13241,994,6514,7508
Ladakh,148,231,379,75,137,212,73,97,170
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,34639,57276,91915,17776,28052,45828,8732,11863,20595
Maharashtra,6764,22405,29169,5724,20935,26659,5371,12550,17921
Manipur,1762,2445,4207,1401,1388,2789,1388,1151,2539
Meghalaya,332,808,1140,400,847,1247,214,428,642
Mizoram,501,611,1112,702,858,1560,12,12,24
Nagaland,885,1817,2702,673,1077,1750,734,941,1675
Odisha,8067,15130,23197,4428,5929,10357,2475,2926,5401
Puducherry,174,958,1132,110,554,664,211,630,841
Punjab,1881,14137,16018,2819,19317,22136,1751,8108,9859
Rajasthan,31695,38665,70360,27658,24163,51821,26755,16762,43517
Sikkim,100,303,403,193,351,544,74,70,144
Tamil Nadu,5539,35622,41161,2070,17618,19688,7197,13977,21174
Telangana,7473,28064,35537,4569,16109,20678,8509,13045,21554
Tripura,508,527,1035,444,357,801,420,282,702
Uttar Pradesh,33097,53820,86917,76776,68429,145205,20279,16152,36431
Uttarakhand,2737,8465,11202,3094,6723,9817,1431,2386,3817
West Bengal,3140,5619,8759,4985,3622,8607,2376,3621,5997
