India/State/ UT,New Admissions in Class 1 – Government Aided,,,,,,,,,,,
"",Total,Boys,Girls,,,,,,,,,
"","admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,,,,,,
"",,"sameschool","anotherschool","Anganwadi/ ECCECentre","sameschool","anotherschool","Anganwadi/ ECCECentre","sameschool","anotherschool","Anganwadi/ ECCECentre",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,816244,243937,56392,211731,407713,122050,27548,108397,408531,121887,28844,103334
Andaman and Nicobar Islands,81,44,36,1,42,20,21,1,39,24,15,0
Andhra Pradesh,7286,1179,1074,3199,3461,593,552,1453,3825,586,522,1746
Arunachal Pradesh,1873,685,919,80,882,321,427,37,991,364,492,43
Assam,397,348,20,1,194,170,11,1,203,178,9,0
Bihar,3111,411,121,1081,1404,179,52,519,1707,232,69,562
Chandigarh,334,193,122,8,159,76,71,4,175,117,51,4
Chhattisgarh,4754,694,199,2368,2455,329,114,1216,2299,365,85,1152
"Dadra and Nagar Haveli andDaman and Diu",127,48,40,2,66,23,20,2,61,25,20,0
Delhi,6498,1022,1084,33,2837,468,413,24,3661,554,671,9
Goa,12777,8454,1590,609,6619,4301,867,316,6158,4153,723,293
Gujarat,2507,731,261,615,1344,412,116,358,1163,319,145,257
Haryana,97,64,6,0,49,37,3,0,48,27,3,0
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,18,18,0,0,7,7,0,0,11,11,0,0
Jharkhand,22320,10097,1079,3278,10683,4829,565,1569,11637,5268,514,1709
Karnataka,58971,13052,3444,27315,29927,6422,1730,14199,29044,6630,1714,13116
Kerala,158321,97362,17781,32660,79350,48938,8852,16234,78971,48424,8929,16426
Ladakh,92,32,43,10,50,18,20,5,42,14,23,5
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,4256,1711,345,1112,2091,854,178,503,2165,857,167,609
Maharashtra,345907,60267,12299,121152,176463,30427,6391,62962,169444,29840,5908,58190
Manipur,4583,1912,561,1197,2362,977,285,627,2221,935,276,570
Meghalaya,31245,28375,1522,658,16133,14621,800,343,15112,13754,722,315
Mizoram,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,5289,734,259,3597,2838,465,124,1866,2451,269,135,1731
Puducherry,1194,706,393,10,405,269,76,7,789,437,317,3
Punjab,9521,4337,1170,428,4950,2251,601,213,4571,2086,569,215
Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,6,6,0,0,4,4,0,0,2,2,0,0
Tamil Nadu,97692,1783,9503,10149,46948,836,4112,4893,50744,947,5391,5256
Telangana,6594,3704,1004,599,2698,1371,430,285,3896,2333,574,314
Tripura,1277,114,213,460,666,59,124,222,611,55,89,238
Uttar Pradesh,26814,4664,1112,921,11684,2278,521,466,15130,2386,591,455
Uttarakhand,1217,408,95,124,448,165,42,45,769,243,53,79
West Bengal,1085,782,97,64,494,330,30,27,591,452,67,37
