India/State /UT,Number of teachers by Gender and Classes Taught – Government Aided,,,,,,,,,,,
"",Total,Pre-Primary Only,Pre-Primary & Primary,Primary Only,,,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,415522,360052,775574,72,6593,6665,495,1360,1855,45018,94251,139269
Andaman & Nicobar Islands,17,61,78,0,2,2,0,1,1,3,16,19
Andhra Pradesh,2060,2380,4440,0,5,5,2,33,35,716,813,1529
Arunachal Pradesh,569,464,1033,0,3,3,3,9,12,80,166,246
Assam,11217,4738,15955,0,0,0,0,3,3,12,40,52
Bihar,2232,1025,3257,0,0,0,0,1,1,145,134,279
Chandigarh,52,271,323,0,11,11,0,7,7,4,45,49
Chhattisgarh,1225,1287,2512,0,8,8,2,2,4,382,476,858
"Dadra & Nagar Haveli andDaman & Diu",81,136,217,0,5,5,0,0,0,2,28,30
Delhi,1199,3584,4783,0,18,18,0,0,0,71,786,857
Goa,1865,7387,9252,0,313,313,2,33,35,134,1575,1709
Gujarat,28897,17054,45951,1,7,8,5,11,16,316,693,1009
Haryana,8,63,71,0,0,0,0,0,0,0,10,10
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,7,8,15,0,0,0,0,0,0,1,3,4
Jharkhand,2618,3403,6021,0,17,17,30,53,83,634,1244,1878
Karnataka,26234,13942,40176,0,12,12,3,6,9,798,941,1739
Kerala,29249,91326,120575,31,5775,5806,3,111,114,7572,28746,36318
Ladakh,64,19,83,0,0,0,2,5,7,50,11,61
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,1841,2356,4197,1,11,12,0,10,10,348,564,912
Maharashtra,173051,102424,275475,14,95,109,113,151,264,24050,26385,50435
Manipur,1336,1190,2526,1,5,6,21,27,48,672,560,1232
Meghalaya,7915,9832,17747,17,176,193,247,697,944,2080,3451,5531
Mizoram,1128,745,1873,0,0,0,0,0,0,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,25074,7429,32503,0,0,0,0,1,1,690,485,1175
Puducherry,129,758,887,0,39,39,1,7,8,13,235,248
Punjab,1146,3619,4765,1,19,20,0,25,25,98,894,992
Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,68,51,119,0,1,1,1,0,1,15,11,26
Tamil Nadu,21037,56553,77590,4,36,40,1,1,2,3646,22641,26287
Telangana,849,2472,3321,1,15,16,9,69,78,262,976,1238
Tripura,686,378,1064,0,0,0,0,0,0,103,62,165
Uttar Pradesh,70341,22151,92492,0,1,1,5,7,12,2088,2015,4103
Uttarakhand,2997,2266,5263,0,0,0,0,1,1,16,130,146
West Bengal,330,680,1010,1,19,20,45,89,134,17,115,132
