India/State /UT,Number of teachers by Gender and Classes Taught – All Types of Management,,,,,,,,
"",Primary & Upper Primary,Upper Primary Only,Upper Primary & Secondary,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22)
India,465253,616172,1081425,839873,825255,1665128,404119,367865,771984
Andaman & Nicobar Islands,109,227,336,189,417,606,346,640,986
Andhra Pradesh,11629,16037,27666,8360,11258,19618,51746,42819,94565
Arunachal Pradesh,2454,2208,4662,2070,2102,4172,843,727,1570
Assam,12565,14557,27122,40756,22159,62915,22503,18090,40593
Bihar,63015,39252,102267,111749,75629,187378,5476,2581,8057
Chandigarh,171,674,845,204,767,971,556,1915,2471
Chhattisgarh,5846,13890,19736,40400,28335,68735,2869,4131,7000
"Dadra & Nagar Haveli andDaman & Diu",80,173,253,323,639,962,48,112,160
Delhi,366,1992,2358,8353,21185,29538,3093,6223,9316
Goa,69,326,395,271,1013,1284,832,2588,3420
Gujarat,7651,17638,25289,47768,55126,102894,2448,3346,5794
Haryana,3728,15182,18910,15941,23358,39299,9427,14467,23894
Himachal Pradesh,1322,5463,6785,6944,6533,13477,9729,10267,19996
Jammu & Kashmir,7680,7406,15086,23116,19147,42263,2848,1878,4726
Jharkhand,22313,13244,35557,22265,12595,34860,5498,4331,9829
Karnataka,44277,75107,119384,12061,26925,38986,7199,11832,19031
Kerala,1290,9561,10851,11621,47415,59036,1456,7621,9077
Ladakh,1003,781,1784,284,499,783,465,315,780
Lakshadweep,39,38,77,35,59,94,33,30,63
Madhya Pradesh,48237,64354,112591,52442,48640,101082,15146,15569,30715
Maharashtra,29777,38621,68398,57802,47512,105314,27289,22684,49973
Manipur,2538,3439,5977,2208,2284,4492,2168,2182,4350
Meghalaya,421,1029,1450,7205,7784,14989,662,1028,1690
Mizoram,544,667,1211,4311,3547,7858,61,39,100
Nagaland,1670,2643,4313,2842,2980,5822,1242,1390,2632
Odisha,38264,40477,78741,21536,16479,38015,12296,11112,23408
Puducherry,211,1093,1304,288,859,1147,663,1464,2127
Punjab,1947,14486,16433,8480,29168,37648,9672,23191,32863
Rajasthan,71432,59934,131366,76091,52109,128200,64014,31242,95256
Sikkim,273,505,778,989,1438,2427,511,676,1187
Tamil Nadu,6360,37658,44018,22610,57387,79997,18965,30509,49474
Telangana,12433,33153,45586,8889,20557,29446,36351,35876,72227
Tripura,827,686,1513,5019,2409,7428,1460,863,2323
Uttar Pradesh,57350,68393,125743,166824,138193,305017,31154,20740,51894
Uttarakhand,2870,8659,11529,9178,10746,19924,5512,5073,10585
West Bengal,4492,6619,11111,40449,28002,68451,49538,30314,79852
