India/State/ UT,Percentage of Trained Teachers– All Types of Management,,,,,
"",Secondary (9-10),Higher Secondary (11-12),,,,
"",Male,Female,Total,Male,Female,Total
(1),(11),(12),(13),(14),(15),(16)
India,92.2,93.8,92.9,91.4,93.2,92.2
Andaman & Nicobar Islands,95.7,95.0,95.3,96.0,95.5,95.7
Andhra Pradesh,91.1,91.2,91.1,83.0,83.8,83.3
Arunachal Pradesh,88.1,90.5,89.2,93.6,94.6,94.0
Assam,62.7,71.5,66.4,64.2,67.5,65.7
Bihar,92.9,94.0,93.3,90.0,92.9,90.9
Chandigarh,98.6,98.8,98.8,98.2,99.0,98.8
Chhattisgarh,86.2,88.7,87.4,87.9,90.8,89.2
Dadra & Nagar Haveli and Daman & Diu,96.8,96.3,96.5,94.9,94.8,94.8
Delhi,98.6,98.4,98.5,99.5,99.5,99.5
Goa,98.0,97.8,97.9,97.0,98.5,98.1
Gujarat,97.4,97.1,97.2,97.5,97.4,97.5
Haryana,94.9,95.7,95.3,95.6,96.5,96.1
Himachal Pradesh,96.0,96.7,96.3,96.6,97.6,97.0
Jammu & Kashmir,91.3,91.5,91.4,91.8,92.3,92.0
Jharkhand,95.0,96.0,95.4,92.4,95.1,93.5
Karnataka,88.1,90.9,89.5,92.5,91.3,92.0
Kerala,97.5,97.8,97.8,98.5,98.8,98.7
Ladakh,92.5,91.6,92.1,90.7,92.6,91.4
Lakshadweep,95.2,94.6,94.9,98.9,96.9,97.9
Madhya Pradesh,79.1,82.9,80.9,86.7,89.2,87.8
Maharashtra,98.2,97.4,97.8,98.4,97.3,97.9
Manipur,72.6,80.7,76.4,80.4,83.7,82.0
Meghalaya,64.1,66.8,65.6,64.6,61.4,62.5
Mizoram,82.2,81.7,82.0,80.4,84.2,82.2
Nagaland,69.5,73.6,71.6,79.9,78.6,79.1
Odisha,96.1,96.5,96.3,79.0,80.0,79.4
Puducherry,98.1,98.1,98.1,98.4,98.7,98.6
Punjab,97.7,97.2,97.3,97.7,97.0,97.2
Rajasthan,96.4,96.6,96.5,97.3,97.8,97.5
Sikkim,85.7,87.6,86.7,88.9,93.0,91.2
Tamil Nadu,100.0,100.0,100.0,100.0,100.0,100.0
Telangana,98.0,96.9,97.4,64.4,75.8,69.5
Tripura,82.3,87.6,84.3,92.3,92.7,92.5
Uttar Pradesh,89.0,88.8,88.9,88.5,88.3,88.4
Uttarakhand,97.1,96.5,96.8,97.2,97.1,97.2
West Bengal,97.4,97.0,97.2,97.9,97.5,97.7
