India/State/ UT,Total Schools,"Schools with Functional Rain Water Harvesting facilityavailable","Percentage of Schools with Functional Rain WaterHarvesting  facility available",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1471891,1017660,80313,331108,42810,418030,267708,31530,112767,6025,28.4,26.3,39.3,34.1,14.1
Andaman & Nicobar Islands,412,340,2,70,0,92,73,0,19,0,22.3,21.5,0,27.1,0
Andhra Pradesh,61373,45000,991,15232,150,52125,37242,859,13895,129,84.9,82.8,86.7,91.2,86
Arunachal Pradesh,3490,2847,72,529,42,182,57,10,112,3,5.2,2,13.9,21.2,7.1
Assam,56630,45008,2267,5725,3630,2730,2266,29,406,29,4.8,5,1.3,7.1,0.8
Bihar,94686,78120,723,9167,6676,12290,9370,65,1904,951,13,12,9,20.8,14.2
Chandigarh,230,119,7,77,27,129,71,3,52,3,56.1,59.7,42.9,67.5,11.1
Chhattisgarh,56615,48803,414,7153,245,20467,17392,190,2829,56,36.2,35.6,45.9,39.5,22.9
"Dadra & Nagar Haveli andDaman & Diu",432,360,8,63,1,337,307,4,26,0,78,85.3,50,41.3,0
Delhi,5497,2693,239,2565,0,5130,2508,198,2424,0,93.3,93.1,82.8,94.5,0
Goa,1487,789,557,141,0,60,18,28,14,0,4,2.3,5,9.9,0
Gujarat,53626,34597,5535,13490,4,12251,7228,938,4084,1,22.8,20.9,16.9,30.3,25
Haryana,23517,14374,5,8415,723,8645,5662,1,2861,121,36.8,39.4,20,34,16.7
Himachal Pradesh,17826,15217,0,2607,2,6029,5356,0,672,1,33.8,35.2,0,25.8,50
Jammu & Kashmir,24296,18785,1,5452,58,1209,656,0,549,4,5,3.5,0,10.1,6.9
Jharkhand,44475,35795,1146,1634,5900,10181,7610,259,812,1500,22.9,21.3,22.6,49.7,25.4
Karnataka,75869,49306,7013,19542,8,22204,10116,2519,9566,3,29.3,20.5,35.9,49,37.5
Kerala,15864,4809,7162,3082,811,5064,1659,1934,1264,207,31.9,34.5,27,41,25.5
Ladakh,995,841,40,114,0,6,3,0,3,0,0.6,0.4,0,2.6,0
Lakshadweep,37,37,0,0,0,22,22,0,0,0,59.5,59.5,0,0,0
Madhya Pradesh,123412,92439,581,28910,1482,20805,11697,150,8794,164,16.9,12.7,25.8,30.4,11.1
Maharashtra,108237,65157,24173,18642,265,34397,17129,9795,7426,47,31.8,26.3,40.5,39.8,17.7
Manipur,4646,2934,584,1010,118,1052,421,78,517,36,22.6,14.3,13.4,51.2,30.5
Meghalaya,14601,7779,4168,2152,502,1411,677,411,253,70,9.7,8.7,9.9,11.8,13.9
Mizoram,3941,2587,230,1064,60,1769,1182,99,461,27,44.9,45.7,43,43.3,45
Nagaland,2725,1952,0,772,1,943,637,0,306,0,34.6,32.6,0,39.6,0
Odisha,61693,48671,5907,6042,1073,39311,32325,3635,2898,453,63.7,66.4,61.5,48,42.2
Puducherry,735,420,33,282,0,303,138,11,154,0,41.2,32.9,33.3,54.6,0
Punjab,27404,19242,444,7704,14,5140,2890,85,2161,4,18.8,15,19.1,28.1,28.6
Rajasthan,107757,70233,0,34729,2795,32642,21951,0,10333,358,30.3,31.3,0,29.8,12.8
Sikkim,1254,864,16,374,0,127,97,0,30,0,10.1,11.2,0,8,0
Tamil Nadu,58722,37672,8314,12481,255,58097,37639,8278,11956,224,98.9,99.9,99.6,95.8,87.8
Telangana,42901,30022,662,12126,91,11476,6749,190,4525,12,26.7,22.5,28.7,37.3,13.2
Tripura,4923,4238,42,395,248,159,100,1,53,5,3.2,2.4,2.4,13.4,2
Uttar Pradesh,255087,137102,8291,96635,13059,44429,21545,1656,19861,1367,17.4,15.7,20,20.6,10.5
Uttarakhand,22551,16201,614,5252,484,2914,1738,96,1014,66,12.9,10.7,15.6,19.3,13.6
West Bengal,93945,82307,72,7480,4086,3902,3177,8,533,184,4.2,3.9,11.1,7.1,4.5
