India/State /UT,Number of teachers by Gender and Classes Taught – All Types of Management,,,,,,,,
"",Secondary Only,Secondary & Higher Secondary,Higher Secondary Only,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(23),(24),(25),(26),(27),(28),(29),(30),(31)
India,583644,532067,1115711,266060,198880,464940,351137,300819,651956
Andaman & Nicobar Islands,163,294,457,145,223,368,275,336,611
Andhra Pradesh,16526,14621,31147,1735,2184,3919,19133,11833,30966
Arunachal Pradesh,1200,1101,2301,548,344,892,561,428,989
Assam,23499,14300,37799,4842,4454,9296,10078,8293,18371
Bihar,35708,15716,51424,16590,7141,23731,20176,9201,29377
Chandigarh,143,550,693,152,575,727,233,775,1008
Chhattisgarh,9860,8566,18426,17381,16104,33485,7136,6069,13205
"Dadra & Nagar Haveli andDaman & Diu",317,392,709,109,114,223,202,232,434
Delhi,10041,18282,28323,940,1706,2646,10219,17064,27283
Goa,497,1590,2087,40,81,121,649,1661,2310
Gujarat,27574,18797,46371,6656,5411,12067,17902,12732,30634
Haryana,5899,10359,16258,21132,26149,47281,5507,8100,13607
Himachal Pradesh,4230,4524,8754,4154,3713,7867,8313,5807,14120
Jammu & Kashmir,13087,9300,22387,753,459,1212,6466,3740,10206
Jharkhand,11702,7892,19594,3669,2008,5677,4906,3232,8138
Karnataka,48831,43285,92116,1058,1400,2458,22420,18023,40443
Kerala,15299,45683,60982,854,4088,4942,11643,28774,40417
Ladakh,266,171,437,93,73,166,250,144,394
Lakshadweep,69,63,132,45,37,82,49,60,109
Madhya Pradesh,24450,19004,43454,23044,18842,41886,15488,11649,27137
Maharashtra,70350,52431,122781,4057,4794,8851,38705,28256,66961
Manipur,2023,1613,3636,754,626,1380,1686,1726,3412
Meghalaya,3744,4466,8210,244,352,596,969,1831,2800
Mizoram,2557,1658,4215,32,8,40,991,960,1951
Nagaland,1694,1653,3347,373,560,933,522,914,1436
Odisha,34139,19214,53353,1661,1067,2728,12791,7562,20353
Puducherry,377,802,1179,342,537,879,649,865,1514
Punjab,11081,30183,41264,4879,10232,15111,10021,19510,29531
Rajasthan,32002,15716,47718,58283,23893,82176,27513,11610,39123
Sikkim,725,853,1578,268,343,611,593,813,1406
Tamil Nadu,45630,80762,126392,248,6711,6959,14112,32807,46919
Telangana,17629,22885,40514,2511,3200,5711,16027,11977,28004
Tripura,3367,1897,5264,851,667,1518,2211,1806,4017
Uttar Pradesh,83239,45253,128492,46861,23437,70298,47076,20997,68073
Uttarakhand,8806,6668,15474,4943,4239,9182,8099,4944,13043
West Bengal,16920,11523,28443,35813,23108,58921,7566,6088,13654
