India/State /UT,Number of Teachers – all types of management,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,9807600,2356362,2477786,330693,1056717,378570,156628,1823285,774265,283618,169676
Andaman & Nicobar Islands,5750,996,971,0,961,47,0,2127,430,218,0
Andhra Pradesh,338293,96824,47222,76,80423,63992,0,10500,10520,0,28736
Arunachal Pradesh,24700,4710,10273,261,4296,803,0,2064,1289,1004,0
Assam,342199,111632,42872,27150,63672,25514,10343,27161,19360,1632,12863
Bihar,657063,157250,357402,1951,14980,930,5210,35082,1455,75651,7152
Chandigarh,10237,208,764,0,2677,0,0,6405,158,25,0
Chhattisgarh,278798,86816,29528,55871,11237,291,8844,53078,3233,29813,87
"Dadra & Nagar Haveli andDaman & Diu",4995,661,1816,30,366,14,155,1081,188,679,5
Delhi,160479,25970,10972,304,6257,2252,20,85647,28134,923,0
Goa,14594,2976,625,22,4509,3250,4,945,47,0,2216
Gujarat,394053,33957,217594,3347,11659,514,11439,57411,4183,50620,3329
Haryana,250909,41206,25300,8832,22088,6536,0,104544,42336,46,21
Himachal Pradesh,101131,21735,5439,5540,10261,6872,0,17778,33318,100,88
Jammu & Kashmir,167046,29616,60488,557,40390,3170,229,19810,2769,9942,75
Jharkhand,206591,46987,85603,232,28975,4742,2457,24536,4659,4455,3945
Karnataka,433942,47453,147617,586,104328,9045,54484,21676,1941,12749,34063
Kerala,291096,46419,54006,6400,33109,7384,1913,69935,51038,20283,609
Ladakh,6432,939,2682,57,1411,277,12,379,171,486,18
Lakshadweep,911,227,224,0,0,0,0,132,154,174,0
Madhya Pradesh,639525,135507,225759,16410,59008,5825,9230,146210,20082,21450,44
Maharashtra,738114,139199,200018,339,150715,30599,4319,170400,14290,1451,26784
Manipur,40921,8842,7625,184,14232,745,112,6171,1398,306,1306
Meghalaya,55726,23665,2009,12984,3035,2790,5286,1673,1403,954,1927
Mizoram,23013,5779,4055,6574,309,63,4076,104,135,48,1870
Nagaland,32602,6588,8397,117,8483,1517,23,5859,1425,33,160
Odisha,335496,71734,119800,6130,55301,26589,16103,15036,5994,415,18394
Puducherry,13202,1844,757,17,2613,409,0,6023,1259,176,104
Punjab,273092,53908,17430,9324,33216,18442,7,93992,44474,589,1710
Rajasthan,775745,83893,222657,993,70934,411,39,385396,9769,1641,12
Sikkim,15489,3539,3885,0,3009,36,0,4794,226,0,0
Tamil Nadu,550558,113258,71992,467,31249,37275,27,168007,127815,273,195
Telangana,341460,48903,54742,0,125922,54016,0,25525,8970,0,23382
Tripura,37661,7737,7529,2,8156,67,0,13017,1153,0,0
Uttar Pradesh,1538479,563280,389741,134296,36309,29072,21003,180274,138277,46004,223
Uttarakhand,130741,30974,23533,9388,4785,5487,1293,28207,25480,1471,123
West Bengal,576557,301130,16459,22252,7842,29594,0,32306,166732,7,235
