India/State /UT,Number of teachers in Others Schools,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,264308,89554,117722,4679,24956,3224,3363,12620,6807,310,1073
Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,499,65,359,0,72,3,0,0,0,0,0
Arunachal Pradesh,361,169,192,0,0,0,0,0,0,0,0
Assam,12158,6823,227,1304,352,420,2339,54,26,68,545
Bihar,50999,5831,41397,6,1393,20,90,2029,26,104,103
Chandigarh,404,78,257,0,53,0,0,16,0,0,0
Chhattisgarh,716,422,81,210,0,0,0,3,0,0,0
"Dadra & Nagar Haveli andDaman & Diu",22,0,0,0,0,0,0,22,0,0,0
Delhi,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0
Gujarat,51,15,0,0,7,0,0,29,0,0,0
Haryana,5380,1591,3402,7,200,0,0,180,0,0,0
Himachal Pradesh,4,4,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,417,122,186,0,92,0,0,5,0,12,0
Jharkhand,46549,8328,32530,135,4767,366,75,289,2,1,56
Karnataka,27,10,0,0,17,0,0,0,0,0,0
Kerala,7154,1914,3723,25,1329,9,5,114,17,12,6
Ladakh,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,4598,1290,3248,31,11,0,0,18,0,0,0
Maharashtra,1780,718,814,0,167,22,46,9,0,0,4
Manipur,1024,370,651,3,0,0,0,0,0,0,0
Meghalaya,2423,888,360,96,296,69,452,60,16,0,186
Mizoram,391,24,233,4,0,0,99,0,0,0,31
Nagaland,9,9,0,0,0,0,0,0,0,0,0
Odisha,8382,3115,3729,87,706,197,121,325,0,0,102
Puducherry,0,0,0,0,0,0,0,0,0,0,0
Punjab,84,33,49,0,2,0,0,0,0,0,0
Rajasthan,7557,5057,2073,0,198,6,0,196,4,23,0
Sikkim,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,1530,798,518,4,177,4,0,29,0,0,0
Telangana,245,101,126,0,18,0,0,0,0,0,0
Tripura,1002,865,69,0,21,0,0,47,0,0,0
Uttar Pradesh,70841,29308,18399,956,14048,196,55,7656,147,64,12
Uttarakhand,2389,1219,619,361,43,15,81,0,4,19,28
West Bengal,37312,20387,4480,1450,987,1897,0,1539,6565,7,0
