India/ State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"OtherCentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,1228869,302969,6395,6915,2456,287203,145615,757839,22446
Andaman and Nicobar Islands,849,514,6,20,0,488,16,319,0
Andhra Pradesh,47469,11112,189,155,64,10704,712,35554,91
Arunachal Pradesh,3827,1729,65,174,19,1471,266,1776,56
Assam,31678,17269,263,360,41,16605,1737,11878,794
Bihar,37681,11748,261,511,30,10946,260,21524,4149
Chandigarh,2240,774,27,13,43,691,83,1296,87
Chhattisgarh,37790,20677,131,253,116,20177,540,16539,34
"Dadra and Nagar Haveli andDaman and Diu",894,320,8,23,17,272,47,521,6
Delhi,34713,11476,438,21,0,11017,1419,21818,0
Goa,4219,386,24,16,0,346,3133,700,0
Gujarat,44223,3346,171,274,110,2791,8505,32366,6
Haryana,50077,11382,164,264,99,10855,11,37815,869
Himachal Pradesh,27343,18369,155,135,74,18005,0,8973,1
Jammu and Kashmir,29016,10349,206,235,0,9908,6,18586,75
Jharkhand,20088,4468,222,245,40,3961,528,9490,5602
Karnataka,62193,8355,206,278,120,7751,5580,48248,10
Kerala,33932,8411,206,129,51,8025,8864,15528,1129
Ladakh,1424,704,6,24,0,674,5,715,0
Lakshadweep,123,123,2,8,0,113,0,0,0
Madhya Pradesh,81208,15620,557,596,90,14377,1165,64018,405
Maharashtra,144665,6464,263,335,194,5672,69005,68574,622
Manipur,5683,1291,39,139,102,1011,206,4081,105
Meghalaya,4393,1493,27,118,0,1348,1615,1170,115
Mizoram,684,353,11,74,8,260,108,219,4
Nagaland,3817,1390,9,93,61,1227,0,2423,4
Odisha,44665,10926,241,278,147,10260,12478,19492,1769
Puducherry,2583,805,17,45,0,743,166,1612,0
Punjab,47207,10713,264,283,93,10073,897,35562,35
Rajasthan,91418,30908,377,416,135,29980,0,60187,323
Sikkim,4489,3722,15,42,3,3662,56,711,0
Tamil Nadu,23946,7006,122,0,34,6850,4208,12696,36
Telangana,56373,15538,174,101,69,15194,590,40226,19
Tripura,3329,1935,36,77,0,1822,213,1165,16
Uttar Pradesh,178300,17533,859,773,310,15591,21407,135535,3825
Uttarakhand,23337,6902,260,137,46,6459,1590,14698,147
West Bengal,42993,28858,374,270,340,27874,199,11824,2112
