India/State /UT,Number of teachers by Gender and Classes Taught – Others,,,,,,,,
"",Primary & Upper Primary,Upper Primary Only,Upper Primary & Secondary,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22)
India,21846,18724,40570,36195,24321,60516,6072,2688,8760
Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0
Andhra Pradesh,70,133,203,25,33,58,6,7,13
Arunachal Pradesh,26,18,44,31,24,55,0,0,0
Assam,70,29,99,1070,484,1554,136,93,229
Bihar,7452,3716,11168,14684,7835,22519,224,93,317
Chandigarh,15,56,71,10,55,65,1,13,14
Chhattisgarh,11,9,20,66,164,230,0,0,0
"Dadra & Nagar Haveli andDaman & Diu",10,0,10,1,0,1,1,0,1
Delhi,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0
Gujarat,1,5,6,2,5,7,1,1,2
Haryana,158,428,586,372,857,1229,11,28,39
Himachal Pradesh,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,40,33,73,37,38,75,5,8,13
Jharkhand,5504,5034,10538,7250,5088,12338,566,351,917
Karnataka,2,3,5,1,2,3,1,1,2
Kerala,73,829,902,105,1301,1406,27,154,181
Ladakh,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,585,1036,1621,268,430,698,0,2,2
Maharashtra,37,142,179,51,179,230,15,33,48
Manipur,110,112,222,93,69,162,0,0,0
Meghalaya,43,134,177,58,158,216,31,99,130
Mizoram,33,50,83,26,25,51,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,446,1263,1709,282,472,754,81,130,211
Puducherry,0,0,0,0,0,0,0,0,0
Punjab,2,0,2,14,5,19,0,1,1
Rajasthan,581,332,913,379,264,643,63,39,102
Sikkim,0,0,0,0,0,0,0,0,0
Tamil Nadu,20,147,167,16,145,161,2,12,14
Telangana,29,46,75,2,8,10,1,1,2
Tripura,17,7,24,34,3,37,14,0,14
Uttar Pradesh,5363,4351,9714,7946,4885,12831,1443,837,2280
Uttarakhand,82,90,172,239,239,478,8,8,16
West Bengal,1066,721,1787,3133,1553,4686,3435,777,4212
