India/State/ UT,Total Schools,Schools with functional Laptop/Notebook availability,"Percentage of Schools with functional Laptop/Notebookavailability",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1471891,1017660,80313,331108,42810,256392,91689,21499,135040,8164,17.4,9,26.8,40.8,19.1
Andaman & Nicobar Islands,412,340,2,70,0,39,12,0,27,0,9.5,3.5,0,38.6,0
Andhra Pradesh,61373,45000,991,15232,150,12989,4490,127,8335,37,21.2,10,12.8,54.7,24.7
Arunachal Pradesh,3490,2847,72,529,42,512,148,45,300,19,14.7,5.2,62.5,56.7,45.2
Assam,56630,45008,2267,5725,3630,3401,1578,54,1737,32,6,3.5,2.4,30.3,0.9
Bihar,94686,78120,723,9167,6676,6524,516,22,4237,1749,6.9,0.7,3,46.2,26.2
Chandigarh,230,119,7,77,27,109,26,5,60,18,47.4,21.8,71.4,77.9,66.7
Chhattisgarh,56615,48803,414,7153,245,6675,4318,53,2293,11,11.8,8.8,12.8,32.1,4.5
"Dadra & Nagar Haveli andDaman & Diu",432,360,8,63,1,102,46,7,48,1,23.6,12.8,87.5,76.2,100
Delhi,5497,2693,239,2565,0,2146,283,51,1812,0,39,10.5,21.3,70.6,0
Goa,1487,789,557,141,0,499,48,356,95,0,33.6,6.1,63.9,67.4,0
Gujarat,53626,34597,5535,13490,4,22473,15498,959,6016,0,41.9,44.8,17.3,44.6,0
Haryana,23517,14374,5,8415,723,6320,294,1,5622,403,26.9,2,20,66.8,55.7
Himachal Pradesh,17826,15217,0,2607,2,1402,164,0,1238,0,7.9,1.1,0,47.5,0
Jammu & Kashmir,24296,18785,1,5452,58,4286,1727,0,2538,21,17.6,9.2,0,46.6,36.2
Jharkhand,44475,35795,1146,1634,5900,4083,665,150,927,2341,9.2,1.9,13.1,56.7,39.7
Karnataka,75869,49306,7013,19542,8,17492,6929,1460,9100,3,23.1,14.1,20.8,46.6,37.5
Kerala,15864,4809,7162,3082,811,14637,4729,7054,2355,499,92.3,98.3,98.5,76.4,61.5
Ladakh,995,841,40,114,0,203,151,4,48,0,20.4,18,10,42.1,0
Lakshadweep,37,37,0,0,0,24,24,0,0,0,64.9,64.9,0,0,0
Madhya Pradesh,123412,92439,581,28910,1482,17134,3727,78,13195,134,13.9,4,13.4,45.6,9
Maharashtra,108237,65157,24173,18642,265,24245,6195,7377,10544,129,22.4,9.5,30.5,56.6,48.7
Manipur,4646,2934,584,1010,118,752,105,7,604,36,16.2,3.6,1.2,59.8,30.5
Meghalaya,14601,7779,4168,2152,502,510,82,166,215,47,3.5,1.1,4,10,9.4
Mizoram,3941,2587,230,1064,60,428,132,31,246,19,10.9,5.1,13.5,23.1,31.7
Nagaland,2725,1952,0,772,1,548,132,0,416,0,20.1,6.8,0,53.9,0
Odisha,61693,48671,5907,6042,1073,4024,1112,570,2033,309,6.5,2.3,9.6,33.6,28.8
Puducherry,735,420,33,282,0,227,58,14,155,0,30.9,13.8,42.4,55,0
Punjab,27404,19242,444,7704,14,6249,1827,55,4362,5,22.8,9.5,12.4,56.6,35.7
Rajasthan,107757,70233,0,34729,2795,24663,11001,0,13617,45,22.9,15.7,0,39.2,1.6
Sikkim,1254,864,16,374,0,801,601,2,198,0,63.9,69.6,12.5,52.9,0
Tamil Nadu,58722,37672,8314,12481,255,24794,16951,1641,6100,102,42.2,45,19.7,48.9,40
Telangana,42901,30022,662,12126,91,6075,834,50,5186,5,14.2,2.8,7.6,42.8,5.5
Tripura,4923,4238,42,395,248,1025,851,12,148,14,20.8,20.1,28.6,37.5,5.6
Uttar Pradesh,255087,137102,8291,96635,13059,32444,2495,1027,27336,1586,12.7,1.8,12.4,28.3,12.1
Uttarakhand,22551,16201,614,5252,484,2987,610,100,2196,81,13.2,3.8,16.3,41.8,16.7
West Bengal,93945,82307,72,7480,4086,5570,3330,21,1701,518,5.9,4,29.2,22.7,12.7
