India/State /UT,Number of teachers by Gender and Classes Taught – All Types of Management,,,,,,,,,,,
"",Total,Pre-Primary Only,Pre-Primary & Primary,Primary Only,,,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,4577026,5230574,9807600,5046,111361,116407,182636,242438,425074,1479258,2035717,3514975
Andaman & Nicobar Islands,1857,3893,5750,95,384,479,27,164,191,508,1208,1716
Andhra Pradesh,159024,179269,338293,201,2682,2883,2570,11215,13785,47124,66620,113744
Arunachal Pradesh,12096,12604,24700,11,241,252,167,510,677,4242,4943,9185
Assam,193403,148796,342199,169,996,1165,5051,5707,10758,73940,60240,134180
Bihar,378265,278798,657063,258,1512,1770,1081,2650,3731,124212,125116,249328
Chandigarh,1989,8248,10237,3,632,635,13,169,182,514,2191,2705
Chhattisgarh,138324,140474,278798,97,3533,3630,750,4859,5609,53985,54987,108972
"Dadra & Nagar Haveli andDaman & Diu",1626,3369,4995,16,427,443,4,45,49,527,1235,1762
Delhi,43433,117046,160479,75,7130,7205,86,882,968,10260,42582,52842
Goa,2724,11870,14594,0,608,608,13,120,133,353,3883,4236
Gujarat,173047,221006,394053,108,4187,4295,713,4147,4860,62227,99622,161849
Haryana,88484,162425,250909,29,3458,3487,132,1937,2069,26689,59415,86104
Himachal Pradesh,46928,54203,101131,21,1318,1339,1049,2052,3101,11166,14526,25692
Jammu & Kashmir,84863,82183,167046,268,3500,3768,4464,6240,10704,26181,30513,56694
Jharkhand,122791,83800,206591,103,1364,1467,992,2516,3508,51343,36618,87961
Karnataka,169282,264660,433942,52,5435,5487,232,3678,3910,33152,78975,112127
Kerala,55477,235619,291096,67,17368,17435,28,1522,1550,13219,73587,86806
Ladakh,3031,3401,6432,7,146,153,223,314,537,440,958,1398
Lakshadweep,390,521,911,3,42,45,3,4,7,114,188,302
Madhya Pradesh,313398,326127,639525,462,8476,8938,2847,12759,15606,131282,126834,258116
Maharashtra,362608,375506,738114,77,5009,5086,466,3294,3760,134085,172905,306990
Manipur,18006,22915,40921,27,491,518,396,1414,1810,6206,9140,15346
Meghalaya,22587,33139,55726,74,589,663,1225,3050,4275,8043,13010,21053
Mizoram,11687,11326,23013,11,125,136,75,166,241,3105,4156,7261
Nagaland,13686,18916,32602,30,575,605,511,1161,1672,4802,7040,11842
Odisha,174766,160730,335496,52,985,1037,244,1626,1870,53783,62208,115991
Puducherry,3085,10117,13202,1,801,802,18,221,239,536,3475,4011
Punjab,65342,207750,273092,530,9510,10040,4090,13301,17391,14642,58169,72811
Rajasthan,455219,320526,775745,784,6622,7406,2913,8718,11631,122187,110682,232869
Sikkim,5721,9768,15489,42,728,770,70,406,476,2250,4006,6256
Tamil Nadu,135431,415127,550558,553,4661,5214,148,4490,4638,26805,160142,186947
Telangana,126135,215325,341460,104,5934,6038,1616,9244,10860,30575,72499,103074
Tripura,23835,13826,37661,42,118,160,216,366,582,9842,5014,14856
Uttar Pradesh,791481,746998,1538479,300,7618,7918,1945,8068,10013,356732,414299,771031
Uttarakhand,55656,75085,130741,29,1965,1994,228,2073,2301,15991,30718,46709
West Bengal,321349,255208,576557,345,2191,2536,148030,123350,271380,18196,24013,42209
