India/State/ UT,Enrolment – Government Aided,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,174380,172501,346881,2512851,2498468,5011319,3588474,3379682,6968156,6101325,5878150,11979475
Andaman and Nicobar Islands,29,25,54,256,231,487,205,215,420,461,446,907
Andhra Pradesh,754,719,1473,21081,23554,44635,16807,21224,38031,37888,44778,82666
Arunachal Pradesh,411,444,855,5225,5503,10728,3086,3053,6139,8311,8556,16867
Assam,221,259,480,1041,1089,2130,42967,45008,87975,44008,46097,90105
Bihar,0,0,0,15505,16570,32075,18030,20445,38475,33535,37015,70550
Chandigarh,255,378,633,980,1054,2034,762,799,1561,1742,1853,3595
Chhattisgarh,143,188,331,13153,12045,25198,9446,9131,18577,22599,21176,43775
"Dadra and Nagar Haveli andDaman and Diu",108,96,204,610,518,1128,1230,1018,2248,1840,1536,3376
Delhi,541,636,1177,17414,20620,38034,24768,20524,45292,42182,41144,83326
Goa,9662,9790,19452,37138,34685,71823,30598,28773,59371,67736,63458,131194
Gujarat,3609,3421,7030,23243,21251,44494,50862,40158,91020,74105,61409,135514
Haryana,0,0,0,109,245,354,58,298,356,167,543,710
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,15,20,35,36,52,88,21,17,38,57,69,126
Jharkhand,5597,5841,11438,60532,66688,127220,38718,45881,84599,99250,112569,211819
Karnataka,1249,1121,2370,181921,173741,355662,197086,177547,374633,379007,351288,730295
Kerala,100357,98820,199177,462695,457721,920416,368289,363596,731885,830984,821317,1652301
Ladakh,2,2,4,342,173,515,78,61,139,420,234,654
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,1233,1120,2353,11565,12174,23739,8650,8137,16787,20215,20311,40526
Maharashtra,19302,19386,38688,1152339,1089272,2241611,1568322,1412166,2980488,2720661,2501438,5222099
Manipur,729,727,1456,7895,7657,15552,2637,2899,5536,10532,10556,21088
Meghalaya,23987,22567,46554,65330,63624,128954,40113,47338,87451,105443,110962,216405
Mizoram,0,0,0,695,733,1428,2348,2724,5072,3043,3457,6500
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,11,3,14,14455,12993,27448,67212,60777,127989,81667,73770,155437
Puducherry,723,1009,1732,2514,4614,7128,2473,4052,6525,4987,8666,13653
Punjab,2323,2349,4672,25091,23836,48927,25418,21116,46534,50509,44952,95461
Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,9,3,12,39,20,59,188,134,322,227,154,381
Tamil Nadu,1288,1503,2791,290506,307541,598047,316857,327352,644209,607363,634893,1242256
Telangana,1309,1598,2907,13346,20219,33565,7974,13783,21757,21320,34002,55322
Tripura,83,72,155,3742,3514,7256,3652,2698,6350,7394,6212,13606
Uttar Pradesh,154,100,254,77753,107127,184880,711890,671194,1383084,789643,778321,1567964
Uttarakhand,15,25,40,2225,4805,7030,24163,23642,47805,26388,28447,54835
West Bengal,261,279,540,4075,4599,8674,3566,3922,7488,7641,8521,16162
