"","Table 5.2: Enrolment of students by school management and level of school education, 2023-24: Government",,,,,,,,,,,,,,,,,,,,,,
India/ State /UT,,Enrolment – Government Schools,,,,,,,,,,,,,,,,,,,,,
"",,,Total,,"Pre-Primary","Primary(1 to 5)",,Upper,,"Elementary(1-8)","Secondary(9-10)",,Higher,,,,,,,,,,
"",India/ State /UT,Pre-,Primary,Elementary,Secondary,,,,,,,,,,,,,,,,,,
"",,,(Pre-primary,Primary,Secondary,,,,,,,,,,,,,,,,,,
"",,,,,,Primary,(1 to 5),(1-8),(9-10),,,,,,,,,,,,,,
"",,,to 12),(6-8),(11-12),,,,,,,,,,,,,,,,,,
"",(1),,,(2),,,(3),,,(4),,,(5),,,(6),,,(7),,,(8),
India,127490199,3233774,62218741,34927099,97145840,16577028,10533557,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,48792,5046,14548,11962,26510,8694,8542,,,,,,,,,,,,,,,,
Andhra Pradesh,4050116,73746,1644372,1234809,2879181,866289,230900,,,,,,,,,,,,,,,,
Arunachal Pradesh,187634,8577,72542,49595,122137,32639,24281,,,,,,,,,,,,,,,,
Assam,5017578,247615,2484109,1267007,3751116,690915,327932,,,,,,,,,,,,,,,,
Bihar,17466574,1284,9249158,4735006,13984164,2122538,1358588,,,,,,,,,,,,,,,,
Chandigarh,155752,15638,47499,40998,88497,25769,25848,,,,,,,,,,,,,,,,
Chhattisgarh,3947170,61557,1729178,1101338,2830516,635325,419772,,,,,,,,,,,,,,,,
"Dadra and Nagar Haveli andDaman and Diu",93333,6557,39476,24842,64318,15449,7009,,,,,,,,,,,,,,,,
Delhi,2571404,115841,850840,724504,1575344,485054,395165,,,,,,,,,,,,,,,,
Goa,41722,1841,23041,8068,31109,4824,3948,,,,,,,,,,,,,,,,
Gujarat,5459151,514446,2794774,1896248,4691022,182410,71273,,,,,,,,,,,,,,,,
Haryana,2230123,33022,900031,645767,1545798,367604,283699,,,,,,,,,,,,,,,,
Himachal Pradesh,831845,49427,287348,206444,493792,147991,140635,,,,,,,,,,,,,,,,
Jammu and Kashmir,1421643,180908,542483,298691,841174,207263,192298,,,,,,,,,,,,,,,,
Jharkhand,4843847,38475,2463773,1351567,3815340,610559,379473,,,,,,,,,,,,,,,,
Karnataka,4985661,20738,2372955,1453865,3826820,805655,332448,,,,,,,,,,,,,,,,
Kerala,1801570,149621,571370,392366,963736,303048,385165,,,,,,,,,,,,,,,,
Ladakh,26275,4379,8771,5030,13801,4380,3715,,,,,,,,,,,,,,,,
Lakshadweep,12591,1300,5190,2778,7968,1669,1654,,,,,,,,,,,,,,,,
Madhya Pradesh,8671760,19912,3955817,2441826,6397643,1381600,872605,,,,,,,,,,,,,,,,
Maharashtra,5325571,65406,3818664,1127715,4946379,241620,72166,,,,,,,,,,,,,,,,
Manipur,203508,13827,111197,35202,146399,22424,20858,,,,,,,,,,,,,,,,
Meghalaya,420993,72685,237510,92742,330252,10890,7166,,,,,,,,,,,,,,,,
Mizoram,129068,12746,61283,29689,90972,16377,8973,,,,,,,,,,,,,,,,
Nagaland,141852,27513,55957,30496,86453,16537,11349,,,,,,,,,,,,,,,,
Odisha,5209594,1269,2642108,1686491,4328599,746757,132969,,,,,,,,,,,,,,,,
Puducherry,83737,7995,27169,20180,47349,14789,13604,,,,,,,,,,,,,,,,
Punjab,2823581,367903,1040618,626490,1667108,409230,379340,,,,,,,,,,,,,,,,
Rajasthan,8381575,37605,3632560,2304731,5937291,1368965,1037714,,,,,,,,,,,,,,,,
Sikkim,71839,5963,19596,17682,37278,14610,13988,,,,,,,,,,,,,,,,
Tamil Nadu,4840034,64174,1734417,1382345,3116762,913290,745808,,,,,,,,,,,,,,,,
Telangana,2779713,4186,1054294,873878,1928172,543181,304174,,,,,,,,,,,,,,,,
Tripura,508036,9449,218520,136939,355459,79954,63174,,,,,,,,,,,,,,,,
Uttar Pradesh,15868581,3413,10645633,4572764,15218397,394487,252284,,,,,,,,,,,,,,,,
Uttarakhand,870147,1073,372786,217856,590642,148378,130054,,,,,,,,,,,,,,,,
West Bengal,15967829,988637,6489154,3879188,10368342,2735864,1874986,,,,,,,,,,,,,,,,
India/ State /UT
India/ State /UT
"Pre-Primary"
Pre-
Primary
"Primary(1 to 5)"
Primary
(1 to 5)
"Elementary(1-8)"
Elementary
(1-8)
"Secondary(9-10)"
Secondary
(9-10)
India
India
