"","Table 5.3: Enrolment of students by school management and level of school education, 2022-23: Government Aided",,,,,,,,,,,,,,,,,,,,,,
India/ State /UT,,Enrolment – Government Aided Schools,,,,,,,,,,,,,,,,,,,,,
"",,,Total,,"Pre-Primary","Primary(1 to 5)",,Upper,,"Elementary(1-8)","Secondary(9-10)",,Higher,,,,,,,,,,
"",India/ State /UT,Pre-,Primary,Elementary,Secondary,,,,,,,,,,,,,,,,,,
"",,,(Pre-primary,Primary,Secondary,,,,,,,,,,,,,,,,,,
"",,,,,,Primary,(1 to 5),(1-8),(9-10),,,,,,,,,,,,,,
"",,,to 12),(6-8),(11-12),,,,,,,,,,,,,,,,,,
"",(1),,,(2),,,(3),,,(4),,,(5),,,(6),,,(7),,,(8),
India,26233480,307856,5180381,7190458,12370839,7488824,6065961,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,1895,60,501,438,939,399,497,,,,,,,,,,,,,,,,
Andhra Pradesh,162899,1050,55698,42824,98522,28137,35190,,,,,,,,,,,,,,,,
Arunachal Pradesh,21500,985,10825,5869,16694,2834,987,,,,,,,,,,,,,,,,
Assam,324992,505,2310,180848,183158,83412,57917,,,,,,,,,,,,,,,,
Bihar,155345,107,38806,45142,83948,46561,24729,,,,,,,,,,,,,,,,
Chandigarh,9132,586,2131,1628,3759,1395,3392,,,,,,,,,,,,,,,,
Chhattisgarh,71751,271,25983,17855,43838,13462,14180,,,,,,,,,,,,,,,,
"Dadra and Nagar Haveli andDaman and Diu",7051,38,1226,2338,3564,1601,1848,,,,,,,,,,,,,,,,
Delhi,149575,1129,39773,46395,86168,31139,31139,,,,,,,,,,,,,,,,
Goa,225739,19847,73572,58850,132422,38965,34505,,,,,,,,,,,,,,,,
Gujarat,1709745,219,52026,90695,142721,951137,615668,,,,,,,,,,,,,,,,
Haryana,2604,0,658,545,1203,586,815,,,,,,,,,,,,,,,,
Himachal Pradesh,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Jammu and Kashmir,201,46,85,38,123,32,0,,,,,,,,,,,,,,,,
Jharkhand,290174,10302,129523,88348,217871,45322,16679,,,,,,,,,,,,,,,,
Karnataka,1511537,3397,373423,391056,764479,492245,251416,,,,,,,,,,,,,,,,
Kerala,2782767,170772,974569,740862,1715431,506441,390123,,,,,,,,,,,,,,,,
Ladakh,569,0,403,124,527,42,0,,,,,,,,,,,,,,,,
Lakshadweep,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Madhya Pradesh,101752,830,25807,17094,42901,27741,30280,,,,,,,,,,,,,,,,
Maharashtra,9753430,33322,2237522,2994866,5232388,2431477,2056243,,,,,,,,,,,,,,,,
Manipur,29249,1346,16913,6345,23258,3303,1342,,,,,,,,,,,,,,,,
Meghalaya,356964,50851,126627,92759,219386,60325,26402,,,,,,,,,,,,,,,,
Mizoram,21028,0,1691,5357,7048,8894,5086,,,,,,,,,,,,,,,,
Nagaland,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Odisha,938874,18,28297,128098,156395,352875,429586,,,,,,,,,,,,,,,,
Puducherry,23316,1691,7709,6651,14360,4875,2390,,,,,,,,,,,,,,,,
Punjab,188500,3686,53099,47414,100513,37204,47097,,,,,,,,,,,,,,,,
Rajasthan,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Sikkim,3860,228,926,1168,2094,767,771,,,,,,,,,,,,,,,,
Tamil Nadu,2139309,2903,639269,644375,1283644,454139,398623,,,,,,,,,,,,,,,,
Telangana,86664,2902,37473,23340,60813,13823,9126,,,,,,,,,,,,,,,,
Tripura,26893,87,7381,6072,13453,5136,8217,,,,,,,,,,,,,,,,
Uttar Pradesh,4952318,132,201081,1446973,1648054,1789123,1515009,,,,,,,,,,,,,,,,
Uttarakhand,157625,121,7181,49062,56243,50381,50880,,,,,,,,,,,,,,,,
West Bengal,26222,425,7893,7029,14922,5051,5824,,,,,,,,,,,,,,,,
India/ State /UT
India/ State /UT
"Pre-Primary"
Pre-
Primary
"Primary(1 to 5)"
Primary
(1 to 5)
"Elementary(1-8)"
Elementary
(1-8)
"Secondary(9-10)"
Secondary
(9-10)
India
India
