India/State/ UT,New Admissions in Class 1 – All types of management,,,,,,,,,,,
"",Total,Boys,Girls,,,,,,,,,
"","Admittedin class 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,,,,,,
"",,"sameschool","anotherschool","Anganwadi/ ECCECentre","sameschool","anotherschool","Anganwadi/ ECCECentre","sameschool","anotherschool","Anganwadi/ ECCECentre",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,21645260,7863156,2315233,6526740,11314225,4169076,1227998,3298410,10331035,3694080,1087235,3228330
Andaman and Nicobar Islands,4999,3258,716,718,2640,1703,364,386,2359,1555,352,332
Andhra Pradesh,639391,62460,433786,106999,334809,33638,227983,52425,304582,28822,205803,54574
Arunachal Pradesh,35993,16608,4061,8435,18344,8617,2119,4124,17649,7991,1942,4311
Assam,706587,489135,20305,139555,363369,252090,10773,70730,343218,237045,9532,68825
Bihar,2043060,506079,69680,772733,1076523,282278,39193,392437,966537,223801,30487,380296
Chandigarh,17074,10081,2634,625,8873,5235,1383,313,8201,4846,1251,312
Chhattisgarh,497103,128318,20392,265825,254181,68090,10701,132510,242922,60228,9691,133315
"Dadra and Nagar Haveli andDaman and Diu",12426,2836,1126,2597,6513,1594,591,1298,5913,1242,535,1299
Delhi,308953,127743,54376,2733,162340,61285,30690,1428,146613,66458,23686,1305
Goa,23675,10299,3671,4364,12339,5279,1962,2220,11336,5020,1709,2144
Gujarat,1085284,184243,246071,576881,572483,99294,134597,296808,512801,84949,111474,280073
Haryana,380353,154754,30280,68689,203011,86266,16799,34911,177342,68488,13481,33778
Himachal Pradesh,99224,46881,5850,30714,51642,24695,3179,15559,47582,22186,2671,15155
Jammu and Kashmir,239255,166257,11547,14829,124383,86983,6266,7400,114872,79274,5281,7429
Jharkhand,701275,257257,35158,274818,365920,137969,19197,138880,335355,119288,15961,135938
Karnataka,1026402,676712,34259,292167,531510,351801,18071,149591,494892,324911,16188,142576
Kerala,418594,284717,31620,80659,214093,145897,16146,40791,204501,138820,15474,39868
Ladakh,4910,4361,278,140,2594,2304,146,73,2316,2057,132,67
Lakshadweep,1064,196,465,399,562,109,232,220,502,87,233,179
Madhya Pradesh,1327184,801973,64558,310826,687785,420946,35347,153532,639399,381027,29211,157294
Maharashtra,1809516,382146,108599,901457,940374,204646,58844,460247,869142,177500,49755,441210
Manipur,71115,41185,8157,14060,36732,21353,4217,7195,34383,19832,3940,6865
Meghalaya,119248,101065,8041,5267,62062,52327,4292,2841,57186,48738,3749,2426
Mizoram,31184,12885,1640,14172,16146,6563,887,7412,15038,6322,753,6760
Nagaland,33764,30842,2334,110,17515,16016,1193,53,16249,14826,1141,57
Odisha,654549,71553,17832,517735,337842,39600,9877,262950,316707,31953,7955,254785
Puducherry,16081,10318,3403,493,8276,5459,1579,268,7805,4859,1824,225
Punjab,433108,329555,46621,17014,230791,175433,25551,8718,202317,154122,21070,8296
Rajasthan,1708938,266738,420140,152519,910005,147122,207159,74027,798933,119616,212981,78492
Sikkim,8403,7162,940,78,4454,3750,497,40,3949,3412,443,38
Tamil Nadu,896957,281754,236661,378542,460865,146710,126907,187248,436092,135044,109754,191294
Telangana,561964,127522,190492,150715,293682,67807,100334,76174,268282,59715,90158,74541
Tripura,55237,16971,1522,30467,28460,9107,824,15286,26777,7864,698,15181
Uttar Pradesh,4080200,1047244,161597,1219028,2153994,579590,90843,613591,1926206,467654,70754,605437
Uttarakhand,198321,73540,19213,54993,105158,40191,10510,27621,93163,33349,8703,27372
West Bengal,1393869,1128508,17208,115384,713955,577329,8745,59103,679914,551179,8463,56281
