India/State/ UT,Projected population by age group – Overall,,,,,,,,
"",Age 6-13,Age 14-15,Age 16-17,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(11),(12),(13),(14),(15),(16),(17),(18),(19)
India,99257381,88043082,187299628,25151910,22762376,47919989,25683007,23201244,48887349
Andaman and Nicobar Islands,23851,22393,46234,6660,5966,12620,6675,5682,12349
Andhra Pradesh,3011200,2787000,5798800,776400,738200,1514600,811400,769200,1580400
Arunachal Pradesh,111973,107605,219578,33518,32642,66159,31750,31026,62776
Assam,2554000,2375000,4928200,672800,649400,1323000,684400,658600,1342200
Bihar,11869975,10323912,22197555,2948313,2624743,5576563,2954931,2615601,5572746
Chandigarh,76053,62239,138224,20980,16245,37207,22647,16120,38749
Chhattisgarh,2242000,2137600,4379800,547600,529200,1076800,551600,534000,1085600
"Dadra and Nagar Haveli andDaman and Diu",47367,41379,88741,11671,9212,20870,13453,8273,21682
Delhi,1438951,1191045,2628301,370876,321006,691886,394493,333660,727971
Goa,82835,77202,160186,22485,20271,42791,22445,20143,42623
Gujarat,4840859,4105672,8944730,1190705,1037165,2227808,1218784,1056530,2275055
Haryana,2159600,1787200,3945800,541200,448600,990200,554000,461400,1015200
Himachal Pradesh,436400,391400,828400,120000,106200,226200,123400,109400,233200
Jammu and Kashmir,933200,832400,1766000,293400,254800,548200,298200,260200,558400
Jharkhand,3069600,2845200,5915400,798200,769800,1568000,807600,779000,1586800
Karnataka,4139600,3826400,7963800,1052800,994800,2048400,1075600,1012000,2088200
Kerala,1982000,1898000,3880600,514800,492800,1006800,518000,496000,1014000
Ladakh,17534,16575,34091,4937,4414,9347,4634,4629,9258
Lakshadweep,4353,4386,8745,1182,1127,2311,1150,1172,2325
Madhya Pradesh,7091287,6117812,13209718,1696947,1475792,3173087,1710431,1480437,3191156
Maharashtra,7797000,6813200,14610400,2088200,1853800,3942000,2139000,1899400,4037600
Manipur,197099,182490,379589,59265,56677,115942,57197,56266,113462
Meghalaya,246876,235553,482429,67744,65854,133598,69503,67107,136610
Mizoram,75647,71418,147066,21542,20557,42099,23317,22390,45706
Nagaland,159298,145029,304327,47744,43635,91379,48490,46174,94664
Odisha,2984000,2816400,5800200,784600,746600,1532000,800400,764800,1565600
Puducherry,75003,70594,145630,20990,18815,39800,20415,18424,38836
Punjab,1804600,1544400,3348800,492400,409200,901200,515000,424000,938000
Rajasthan,6593800,5792200,12386200,1588600,1443600,3032200,1606200,1464200,3070600
Sikkim,40160,38290,78450,12733,12423,25156,14012,13631,27643
Tamil Nadu,4279000,3928600,8207400,1099600,1036200,2135800,1120800,1058000,2178000
Telangana,2261000,2054800,4317600,590800,553800,1144600,614800,577400,1193200
Tripura,225349,211237,436587,67670,64028,131698,75516,69038,144553
Uttar Pradesh,19859910,17061049,36919847,4807747,4212605,9020470,4930965,4316142,9248386
Uttarakhand,774400,654600,1428200,208600,182800,391600,216800,190600,408200
West Bengal,5751600,5472800,11224000,1568200,1509400,3077600,1625000,1560600,3185600
