India/State/ UT,Enrolment – Others,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1-12),Total (Pre-Primary to Higher Secondary),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,183528,206452,389980,65486,108174,173660,2509513,2258968,4768481,2755792,2435148,5190940
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,156,165,321,0,0,0,7157,7471,14628,7693,7947,15640
Arunachal Pradesh,0,0,0,0,0,0,2047,1625,3672,2546,2084,4630
Assam,16027,19546,35573,7755,9249,17004,108057,108997,217054,113619,114377,227996
Bihar,11842,15294,27136,5470,6646,12116,609200,489650,1098850,701462,545827,1247289
Chandigarh,38,31,69,6,10,16,2215,1591,3806,3776,2708,6484
Chhattisgarh,0,0,0,0,0,0,5529,4154,9683,5529,4154,9683
"Dadra and Nagar Haveli andDaman and Diu",11,0,11,19,0,19,178,0,178,178,0,178
Delhi,0,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,121,117,238,20,69,89,504,604,1108,504,604,1108
Haryana,334,232,566,115,60,175,44239,31512,75751,50435,36578,87013
Himachal Pradesh,0,0,0,0,0,0,25,20,45,25,20,45
Jammu and Kashmir,228,284,512,0,51,51,3275,2697,5972,3939,3340,7279
Jharkhand,15020,12372,27392,922,889,1811,400371,282635,683006,493020,348817,841837
Karnataka,32,23,55,0,0,0,373,241,614,405,273,678
Kerala,529,511,1040,92,62,154,34057,30410,64467,46126,41120,87246
Ladakh,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,39,52,91,4,14,18,32639,30595,63234,32747,30689,63436
Maharashtra,1248,753,2001,26,37,63,20535,16661,37196,21175,17225,38400
Manipur,0,0,0,0,0,0,4624,4335,8959,6036,5596,11632
Meghalaya,2120,3147,5267,844,1586,2430,13216,15453,28669,17592,19533,37125
Mizoram,570,571,1141,232,189,421,2912,2757,5669,3451,3313,6764
Nagaland,0,0,0,0,0,0,25,22,47,47,41,88
Odisha,3422,2501,5923,1312,1093,2405,45875,33493,79368,47834,34975,82809
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,0,0,0,0,0,0,409,297,706,505,385,890
Rajasthan,1051,1413,2464,497,590,1087,74712,70145,144857,75910,71298,147208
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,212,143,355,43,26,69,9607,7908,17515,14742,12204,26946
Telangana,32,22,54,0,0,0,1929,2159,4088,1975,2193,4168
Tripura,241,43,284,91,38,129,6958,4818,11776,8214,5957,14171
Uttar Pradesh,41793,42359,84152,10053,10568,20621,697550,679021,1376571,701703,682614,1384317
Uttarakhand,824,802,1626,213,281,494,29903,26389,56292,30171,26645,56816
West Bengal,87638,106071,193709,37772,76716,114488,351392,403308,754700,364433,414631,779064
